LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0065,Seat Frame Curing,WU1,S01,000010000001,,
L01,PR-0131,Build - Seat Frame,WU2,S01,000010000002,,
L01,PR-0049,Door Module Grinding,WU3,S02,000010000003,,
L01,PR-0148,Stamping - Fender Panel,WU4,S02,000010000004,,
L01,PR-0007,Base Coat Spray,WU5,S03,000010000005,,
L01,PR-0121,Fastening - Fuel Rail,WU6,S03,000010000006,,
L01,PR-0097,Die Stamping - Rear Axle,WU7,S04,000010000007,,
L01,PR-0050,QC Review - Steering Column,WU8,S04,000010000008,,
L01,PR-0076,Cutting - Center Console,WU9,S04,000010000009,,
L02,PR-0041,Finishing - Body Panel,WU10,S01,000010000010,,
L02,PR-0011,EOL Functional Check,WU11,S01,000010000011,,
L02,PR-0014,Alignment Check,WU12,S01,000010000012,,
L02,PR-0007,Base Coat Spray,WU13,S02,000010000013,,
L03,PR-0028,Gear Hobbing,WU14,S01,000010000014,,
L03,PR-0004,AOI Check,WU15,S01,000010000015,,
L03,PR-0043,Inspection - Door Module,WU16,S02,000010000016,,
L03,PR-0011,EOL Functional Check,WU17,S02,000010000018,,
L03,PR-0004,AOI Check,WU18,S02,000010000019,,
L04,PR-0001,Dispensing Sealing Compound,WU19,S01,000010000020,,
L04,PR-0003,Torque Fastening,WU20,S01,000010000021,,
L04,PR-0024,Circuit Board Assembly,WU21,S01,000010000022,,
L04,PR-0005,Pressure Decay Test,WU22,S02,000010000023,,
L04,PR-0001,Dispensing Sealing Compound,WU23,S02,000010000024,,
L04,PR-0004,AOI Check,WU24,S02,000010000025,,
L04,PR-0005,Pressure Decay Test,WU25,S03,000010000026,,
L04,PR-0002,RSW Operation,WU26,S03,,,
L04,PR-0003,Torque Fastening,WU27,S03,000010000027,,
L04,PR-0035,Transmission Housing Sealing,WU28,S04,000010000028,,
L04,PR-0045,Stamping - Center Console,WU29,S04,000010000029,,
L05,PR-0157,Cutting - Fuel Rail,WU30,S01,000010000030,,
L05,PR-0001,Dispensing Sealing Compound,WU31,S01,000010000031,,
L05,PR-0003,Torque Fastening,WU32,S01,000010000032,,
L05,PR-0001,Dispensing Sealing Compound,WU33,S02,000010000033,,
L05,PR-0021,Foam Molding,WU34,S02,000010000034,,
L06,PR-0001,Dispensing Sealing Compound,WU35,S01,000010000035,,
L06,PR-0002,RSW Operation,WU36,S01,000010000036,,
L06,PR-0018,Deep Drawing,WU37,S02,000010000037,,
L06,PR-0005,Pressure Decay Test,WU38,S03,000010000038,,
L06,PR-0014,Alignment Check,WU39,S03,000010000039,,
L06,PR-0024,Circuit Board Assembly,WU40,S03,000010000040,,
L07,PR-0078,Assembly - Floor Pan,WU41,S01,000010000041,,
L07,PR-0006,Cathodic Dip Coating,WU42,S01,000010000042,,
L07,PR-0003,Torque Fastening,WU43,S02,000010000043,,
L07,PR-0013,Door Fitment,WU44,S02,000010000044,,
L07,PR-0001,Dispensing Sealing Compound,WU45,S03,000010000045,,
L07,PR-0001,Dispensing Sealing Compound,WU46,S03,000010000046,,
L07,PR-0008,Clear Coat Spray,WU47,S03,000010000047,,
L07,PR-0002,RSW Operation,WU48,S04,000010000048,,
L07,PR-0001,Dispensing Sealing Compound,WU49,S04,000010000049,,
L08,PR-0030,Cylinder Boring,WU50,S01,000010000050,,
L08,PR-0068,Packaging - Dashboard Assembly,WU51,S01,000010000051,,
L08,PR-0001,Dispensing Sealing Compound,WU52,S02,000010000052,,
L08,PR-0015,Motor Coil Winding,WU53,S03,000010000053,,
L09,PR-0182,Roof Rail Fastening,WU54,S01,000010000054,,
L09,PR-0003,Torque Fastening,WU55,S01,000010000055,,
