QualityRecordID,Part_No,Defect_Type,Station_Ref,DispositionCode,PPM,EightD_Stage
NCR-DE-00001,MER-REAR-SUSPENSION-0011,PAINT-ORANGE-PEEL,EN-S01,Scrap,383,Closed
NCR-DE-00002,MER-FRONT-SUSPENSION-0010,ASSY-CROSS-THREAD,EN-S03,Scrap,214,Closed
NCR-DE-00003,MER-CLUTCH-ASSEMBLY-0033,MATERIAL-CONTAMINATION,EN-S01,Rework,173,Open-D7
NCR-DE-00004,MER-SEATS-0016,SEAL-LEAK,EN-S01,Scrap,50,Open-D3
NCR-DE-00005,MER-GEARBOX-HOUSING-0032,ASSY-MISSING-FASTENER,EN-S04,Use-As-Is,114,Open-D2
NCR-DE-00006,MER-MUFFLER-0041,SURFACE-SCRATCH,EN-S01,Scrap,381,Open-D4
NCR-DE-00007,MER-WIRING-HARNESS-0022,SURFACE-SCRATCH,EN-S01,Rework,437,Closed
NCR-DE-00008,MER-FUEL-PUMP-0037,ELEC-OPEN-CIRCUIT,EN-S02,Rework,155,Open-D7
NCR-DE-00009,MER-CATALYTIC-CONVER-0040,MATERIAL-CONTAMINATION,EN-S04,Rework,301,Open-D3
NCR-DE-00010,MER-FUEL-PUMP-0037,ASSY-CROSS-THREAD,EN-S03,Rework,458,Closed
NCR-DE-00011,MER-BRAKE-SYSTEM-0012,SEAL-LEAK,EN-S01,Rework,153,Open-D5
NCR-DE-00012,MER-HEADLINER-0020,ASSY-CROSS-THREAD,EN-S02,Rework,149,Closed
NCR-DE-00013,MER-FUEL-TANK-0036,PAINT-ORANGE-PEEL,EN-S01,Rework,179,Open-D8
NCR-DE-00014,MER-FRONT-SUSPENSION-0010,PAINT-BLISTER,EN-S02,Rework,376,Closed
NCR-DE-00015,MER-LOW-VOLTAGE-BATT-0023,ELEC-SHORT-CIRCUIT,EN-S01,Rework,378,Closed
NCR-DE-00016,MER-FENDERS-0008,PAINT-BLISTER,EN-S02,Rework,349,Open-D6
NCR-DE-00017,MER-LOW-VOLTAGE-BATT-0023,DIM-GAP-FLUSH,EN-S03,Rework,433,Closed
NCR-DE-00018,MER-CYLINDER-HEAD-0028,DIM-GAP-FLUSH,EN-S04,Rework,95,Open-D8
NCR-DE-00019,MER-BUMPER-REAR-0007,PAINT-RUNS,EN-S02,Scrap,131,Closed
NCR-DE-00020,MER-VEH-COMPACT-0001,ELEC-CONNECTOR-MISMATE,EN-S02,Scrap,46,Closed
NCR-DE-00021,MER-INFOTAINMENT-UNI-0025,SURFACE-SCRATCH,EN-S01,Scrap,75,Open-D1
NCR-DE-00022,MER-CYLINDER-HEAD-0028,PAINT-RUNS,EN-S01,Rework,309,Open-D7
NCR-DE-00023,MER-LIGHTING-SYSTEM-0024,DIM-GAP-FLUSH,EN-S03,Rework,384,Open-D4
NCR-DE-00024,MER-LOW-VOLTAGE-BATT-0023,PAINT-RUNS,EN-S01,Rework,202,Closed
NCR-DE-00025,MER-BRAKE-SYSTEM-0012,ASSY-MISSING-FASTENER,EN-S01,Rework,316,Open-D6
NCR-DE-00026,MER-WIRING-HARNESS-0022,DIM-GAP-FLUSH,EN-S01,Scrap,224,Open-D6
