CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,172.394,174.924,170.362,1.31
K1001,S01,172.233,174.924,170.362,1.31
K1002,S01,197.015,200.915,192.315,1.69
K1002,S01,197.486,200.915,192.315,1.69
K1002,S01,196.43,200.915,192.315,1.69
K1002,S01,196.501,200.915,192.315,1.69
K1002,S01,195.085,200.915,192.315,1.69
K1003,S01,147.822,149.498,145.246,1.05
K1003,S01,147.9,149.498,145.246,1.05
K1004,S02,144.645,145.218,143.71,2.2
K1004,S02,144.556,145.218,143.71,2.2
K1004,S02,144.33,145.218,143.71,2.2
K1005,S02,130.074,132.715,127.479,0.86
K1005,S02,129.149,132.715,127.479,0.86
K1005,S02,129.605,132.715,127.479,0.86
K1005,S02,129.202,132.715,127.479,0.86
K1005,S02,129.954,132.715,127.479,0.86
K1006,S02,172.718,176.634,167.203,1.27
K1006,S02,171.379,176.634,167.203,1.27
K1006,S02,172.064,176.634,167.203,1.27
K1006,S02,170.665,176.634,167.203,1.27
K1006,S02,174.011,176.634,167.203,1.27
K1007,S03,178.872,182.582,173.114,1.04
K1007,S03,177.283,182.582,173.114,1.04
K1007,S03,177.924,182.582,173.114,1.04
K1008,S04,26.091,27.784,25.1,0.76
K1008,S04,25.916,27.784,25.1,0.76
K1008,S04,26.063,27.784,25.1,0.76
K1008,S04,25.782,27.784,25.1,0.76
K1009,S04,88.946,91.587,86.744,1.71
K1009,S04,89.624,91.587,86.744,1.71
K1010,S04,46.808,51.5,43.446,1.77
K1010,S04,47.797,51.5,43.446,1.77
K1010,S04,47.634,51.5,43.446,1.77
K1010,S04,47.579,51.5,43.446,1.77
K1010,S04,47.698,51.5,43.446,1.77
K1011,S01,139.898,142.785,137.44,2.11
K1011,S01,140.458,142.785,137.44,2.11
K1011,S01,140.049,142.785,137.44,2.11
K1012,S01,64.289,68.607,62.961,0.69
K1012,S01,67.532,68.607,62.961,0.69
K1012,S01,66.55,68.607,62.961,0.69
K1012,S01,65.139,68.607,62.961,0.69
K1013,S01,69.103,71.61,67.777,1.96
K1013,S01,69.417,71.61,67.777,1.96
K1013,S01,69.508,71.61,67.777,1.96
K1014,S02,145.532,148.175,138.181,0.64
K1014,S02,145.446,148.175,138.181,0.64
K1014,S02,139.39,148.175,138.181,0.64
K1014,S02,143.402,148.175,138.181,0.64
K1015,S01,74.243,78.438,70.701,0.84
K1015,S01,74.48,78.438,70.701,0.84
K1015,S01,76.666,78.438,70.701,0.84
K1015,S01,73.36,78.438,70.701,0.84
K1015,S01,73.9,78.438,70.701,0.84
K1016,S01,103.813,105.7,101.321,1.26
K1016,S01,103.729,105.7,101.321,1.26
K1017,S02,144.007,146.504,138.674,1.42
K1017,S02,141.968,146.504,138.674,1.42
K1017,S02,142.926,146.504,138.674,1.42
K1017,S02,143.498,146.504,138.674,1.42
K1017,S02,141.308,146.504,138.674,1.42
K1018,S01,44.647,46.736,42.54,1.89
K1018,S01,44.839,46.736,42.54,1.89
K1018,S01,44.286,46.736,42.54,1.89
K1018,S01,44.493,46.736,42.54,1.89
K1019,S01,95.979,100.07,91.605,1.13
K1019,S01,94.535,100.07,91.605,1.13
K1020,S01,30.135,35.059,25.292,1.43
K1020,S01,29.981,35.059,25.292,1.43
K1021,S02,174.397,176.628,169.014,1.12
K1021,S02,173.843,176.628,169.014,1.12
K1022,S02,153.035,155.563,148.704,1.71
K1022,S02,152.687,155.563,148.704,1.71
K1022,S02,151.228,155.563,148.704,1.71
K1022,S02,150.681,155.563,148.704,1.71
K1022,S02,151.395,155.563,148.704,1.71
K1023,S03,53.151,57.544,49.385,1.67
