Material_No,Bin_Location,Quantity,Kanban_ID,Ship_From,Ship_To
MAT-741706,F-16-2,3458,KANBAN-00001,Engine Plant DE,Assembly Plant IN
MAT-728010,F-23-5,412,KANBAN-00002,Engine Plant DE,Assembly Plant IN
MAT-389306,A-27-2,1736,KANBAN-00003,Engine Plant DE,Assembly Plant IN
MAT-784252,H-28-3,1419,KANBAN-00004,Engine Plant DE,Assembly Plant IN
MAT-640683,G-24-1,285,KANBAN-00005,Engine Plant DE,Assembly Plant IN
MAT-303768,F-27-4,2845,KANBAN-00006,Engine Plant DE,Assembly Plant IN
MAT-760466,E-02-3,4278,KANBAN-00007,Engine Plant DE,Assembly Plant IN
MAT-900978,B-03-2,1886,KANBAN-00008,Engine Plant DE,Assembly Plant IN
MAT-999235,H-28-5,3376,KANBAN-00009,Engine Plant DE,Assembly Plant IN
MAT-414648,G-09-4,734,KANBAN-00010,Engine Plant DE,Assembly Plant IN
MAT-624945,F-08-3,1632,KANBAN-00011,Engine Plant DE,Assembly Plant IN
MAT-472854,E-25-3,3777,KANBAN-00012,Engine Plant DE,Assembly Plant IN
MAT-777444,D-17-1,4195,KANBAN-00013,Engine Plant DE,Assembly Plant IN
MAT-880784,D-02-2,2363,KANBAN-00014,Engine Plant DE,Assembly Plant IN
MAT-640493,E-11-5,2263,KANBAN-00015,Engine Plant DE,Assembly Plant IN
MAT-911059,E-22-1,3961,KANBAN-00016,Engine Plant DE,Assembly Plant IN
MAT-601486,D-15-1,3212,KANBAN-00017,Engine Plant DE,Assembly Plant IN
MAT-340667,F-04-3,1681,KANBAN-00018,Engine Plant DE,Assembly Plant IN
MAT-810654,E-11-3,619,KANBAN-00019,Engine Plant DE,Assembly Plant IN
MAT-976054,H-17-3,1080,KANBAN-00020,Engine Plant DE,Assembly Plant IN
MAT-851791,F-12-2,2945,KANBAN-00021,Engine Plant DE,Assembly Plant IN
MAT-219912,C-08-1,2893,KANBAN-00022,Engine Plant DE,Assembly Plant IN
MAT-752504,F-20-1,3838,KANBAN-00023,Engine Plant DE,Assembly Plant IN
MAT-884814,D-23-5,291,KANBAN-00024,Engine Plant DE,Assembly Plant IN
MAT-656014,A-28-4,4564,KANBAN-00025,Engine Plant DE,Assembly Plant IN
MAT-564991,H-28-5,1738,KANBAN-00026,Engine Plant DE,Assembly Plant IN
MAT-896193,B-05-5,3056,KANBAN-00027,Engine Plant DE,Assembly Plant IN
MAT-511457,F-13-1,1794,KANBAN-00028,Engine Plant DE,Assembly Plant IN
MAT-727765,G-04-1,3450,KANBAN-00029,Engine Plant DE,Assembly Plant IN
MAT-166529,D-22-3,929,KANBAN-00030,Engine Plant DE,Assembly Plant IN
MAT-473153,A-20-3,1117,KANBAN-00031,Engine Plant DE,Assembly Plant IN
MAT-119493,C-02-2,790,KANBAN-00032,Engine Plant DE,Assembly Plant IN
MAT-166302,C-03-1,1355,KANBAN-00033,Engine Plant DE,Assembly Plant IN
