OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2020001,ASSET-00001,Preventive,0,,000020000001
WO-2020002,ASSET-00001,Preventive,0,,000020000001
WO-2020003,ASSET-00001,Emergency,376,1255,000020000001
WO-2020004,ASSET-00001,Emergency,231,1091,000020000001
WO-2020005,ASSET-00001,Corrective,180,1644,000020000001
WO-2020006,ASSET-00001,Emergency,292,1654,000020000001
WO-2020007,ASSET-00002,Preventive,0,,000020000002
WO-2020008,ASSET-00002,Preventive,0,,000020000002
WO-2020009,ASSET-00002,Corrective,162,1656,000020000002
WO-2020010,ASSET-00002,Preventive,0,,000020000002
WO-2020011,ASSET-00003,Corrective,126,636,000020000003
WO-2020012,ASSET-00003,Corrective,138,1606,000020000003
WO-2020013,ASSET-00003,Emergency,162,1879,000020000003
WO-2020014,ASSET-00003,Corrective,63,299,000020000003
WO-2020015,ASSET-00003,Corrective,49,1364,000020000003
WO-2020016,ASSET-00004,Preventive,0,,000020000004
WO-2020017,ASSET-00004,Preventive,0,,000020000004
WO-2020018,ASSET-00004,Preventive,0,,000020000004
WO-2020019,ASSET-00004,Emergency,542,1434,000020000004
WO-2020020,ASSET-00004,Preventive,0,,000020000004
WO-2020021,ASSET-00004,Preventive,0,,000020000004
WO-2020022,ASSET-00005,Corrective,47,1521,000020000005
WO-2020023,ASSET-00005,Preventive,0,,000020000005
WO-2020024,ASSET-00005,Preventive,0,,000020000005
WO-2020025,ASSET-00005,Preventive,0,,000020000005
WO-2020026,ASSET-00005,Preventive,0,,000020000005
WO-2020027,ASSET-00006,Preventive,0,,000020000006
WO-2020028,ASSET-00006,Corrective,115,1678,000020000006
WO-2020029,ASSET-00006,Emergency,253,817,000020000006
WO-2020030,ASSET-00006,Preventive,0,,000020000006
WO-2020031,ASSET-00006,Preventive,0,,000020000006
WO-2020032,ASSET-00006,Preventive,0,,000020000006
WO-2020033,ASSET-00006,Preventive,0,,000020000006
WO-2020034,ASSET-00007,Corrective,203,1025,000020000007
WO-2020035,ASSET-00007,Corrective,43,1798,000020000007
WO-2020036,ASSET-00007,Corrective,214,913,000020000007
WO-2020037,ASSET-00007,Preventive,0,,000020000007
WO-2020038,ASSET-00007,Preventive,0,,000020000007
WO-2020039,ASSET-00007,Preventive,0,,000020000007
WO-2020040,ASSET-00008,Corrective,193,680,000020000008
WO-2020041,ASSET-00008,Preventive,0,,000020000008
WO-2020042,ASSET-00008,Preventive,0,,000020000008
WO-2020043,ASSET-00008,Corrective,213,437,000020000008
WO-2020044,ASSET-00008,Corrective,123,1589,000020000008
WO-2020045,ASSET-00008,Preventive,0,,000020000008
WO-2020046,ASSET-00008,Corrective,198,602,000020000008
WO-2020047,ASSET-00009,Corrective,103,1115,000020000009
WO-2020048,ASSET-00009,Corrective,161,1846,000020000009
WO-2020049,ASSET-00009,Corrective,116,1753,000020000009
WO-2020050,ASSET-00010,Emergency,187,1471,
WO-2020051,ASSET-00010,Preventive,0,,
WO-2020052,ASSET-00010,Preventive,0,,
WO-2020053,ASSET-00011,Preventive,0,,000020000010
WO-2020054,ASSET-00011,Preventive,0,,000020000010
WO-2020055,ASSET-00011,Corrective,192,539,000020000010
WO-2020056,ASSET-00011,Preventive,0,,000020000010
WO-2020057,ASSET-00012,Corrective,218,1398,000020000011
WO-2020058,ASSET-00012,Emergency,439,609,000020000011
WO-2020059,ASSET-00012,Preventive,0,,000020000011
WO-2020060,ASSET-00012,Preventive,0,,000020000011
WO-2020061,ASSET-00013,Preventive,0,,000020000012
WO-2020062,ASSET-00013,Preventive,0,,000020000012
WO-2020063,ASSET-00013,Preventive,0,,000020000012
WO-2020064,ASSET-00013,Preventive,0,,000020000012
WO-2020065,ASSET-00013,Preventive,0,,000020000012
WO-2020066,ASSET-00013,Corrective,71,1743,000020000012
WO-2020067,ASSET-00014,Preventive,0,,000020000013
WO-2020068,ASSET-00014,Preventive,0,,000020000013
WO-2020069,ASSET-00014,Emergency,211,861,000020000013
WO-2020070,ASSET-00015,Preventive,0,,000020000014
WO-2020071,ASSET-00015,Emergency,472,631,000020000014
WO-2020072,ASSET-00015,Preventive,0,,000020000014
WO-2020073,ASSET-00015,Preventive,0,,000020000014
WO-2020074,ASSET-00015,Corrective,61,822,000020000014
WO-2020075,ASSET-00016,Corrective,135,1048,000020000015
WO-2020076,ASSET-00016,Preventive,0,,000020000015
WO-2020077,ASSET-00016,Corrective,35,878,000020000015
WO-2020078,ASSET-00016,Preventive,0,,000020000015
WO-2020079,ASSET-00016,Corrective,53,1396,000020000015
WO-2020080,ASSET-00017,Corrective,129,228,000020000016
WO-2020081,ASSET-00017,Preventive,0,,000020000016
WO-2020082,ASSET-00017,Preventive,0,,000020000016
WO-2020083,ASSET-00017,Preventive,0,,000020000016
WO-2020084,ASSET-00017,Corrective,226,207,000020000016
WO-2020085,ASSET-00017,Preventive,0,,000020000016
WO-2020086,ASSET-00018,Corrective,84,1603,000020000017
WO-2020087,ASSET-00018,Corrective,230,1191,000020000017
WO-2020088,ASSET-00019,Corrective,217,934,000020000018
WO-2020089,ASSET-00019,Preventive,0,,000020000018
WO-2020090,ASSET-00019,Preventive,0,,000020000018
WO-2020091,ASSET-00019,Preventive,0,,000020000018
WO-2020092,ASSET-00020,Preventive,0,,000020000019
WO-2020093,ASSET-00020,Preventive,0,,000020000019
WO-2020094,ASSET-00020,Preventive,0,,000020000019
WO-2020095,ASSET-00020,Corrective,130,478,000020000019
WO-2020096,ASSET-00020,Preventive,0,,000020000019
WO-2020097,ASSET-00020,Preventive,0,,000020000019
WO-2020098,ASSET-00021,Preventive,0,,000020000020
WO-2020099,ASSET-00021,Corrective,121,1335,000020000020
WO-2020100,ASSET-00021,Preventive,0,,000020000020
WO-2020101,ASSET-00021,Preventive,0,,000020000020
WO-2020102,ASSET-00021,Preventive,0,,000020000020
WO-2020103,ASSET-00022,Preventive,0,,000020000021
WO-2020104,ASSET-00022,Preventive,0,,000020000021
WO-2020105,ASSET-00022,Preventive,0,,000020000021
WO-2020106,ASSET-00022,Emergency,234,573,000020000021
WO-2020107,ASSET-00022,Emergency,245,1201,000020000021
WO-2020108,ASSET-00023,Corrective,211,735,000020000022
WO-2020109,ASSET-00023,Preventive,0,,000020000022
WO-2020110,ASSET-00023,Corrective,189,587,000020000022
WO-2020111,ASSET-00023,Preventive,0,,000020000022
WO-2020112,ASSET-00024,Corrective,181,1927,000020000023
WO-2020113,ASSET-00024,Corrective,32,956,000020000023
WO-2020114,ASSET-00024,Corrective,77,633,000020000023
WO-2020115,ASSET-00024,Preventive,0,,000020000023
WO-2020116,ASSET-00024,Corrective,175,317,000020000023
WO-2020117,ASSET-00025,Preventive,0,,000020000024
WO-2020118,ASSET-00025,Preventive,0,,000020000024
WO-2020119,ASSET-00025,Corrective,179,711,000020000024
WO-2020120,ASSET-00026,Corrective,131,1761,000020000025
WO-2020121,ASSET-00026,Preventive,0,,000020000025
WO-2020122,ASSET-00026,Preventive,0,,000020000025
WO-2020123,ASSET-00026,Preventive,0,,000020000025
WO-2020124,ASSET-00026,Emergency,583,1754,000020000025
WO-2020125,ASSET-00027,Preventive,0,,000020000026
WO-2020126,ASSET-00027,Corrective,65,1471,000020000026
WO-2020127,ASSET-00027,Preventive,0,,000020000026
WO-2020128,ASSET-00027,Corrective,94,677,000020000026
WO-2020129,ASSET-00027,Corrective,60,1569,000020000026
WO-2020130,ASSET-00027,Preventive,0,,000020000026
WO-2020131,ASSET-00027,Preventive,0,,000020000026
WO-2020132,ASSET-00028,Preventive,0,,000020000027
WO-2020133,ASSET-00028,Emergency,484,1179,000020000027
WO-2020134,ASSET-00028,Preventive,0,,000020000027
WO-2020135,ASSET-00029,Corrective,233,1336,
WO-2020136,ASSET-00029,Preventive,0,,
WO-2020137,ASSET-00029,Corrective,86,1197,
WO-2020138,ASSET-00030,Corrective,147,1977,000020000028
WO-2020139,ASSET-00030,Corrective,106,1318,000020000028
WO-2020140,ASSET-00030,Preventive,0,,000020000028
WO-2020141,ASSET-00030,Emergency,258,1950,000020000028
WO-2020142,ASSET-00030,Preventive,0,,000020000028
WO-2020143,ASSET-00031,Corrective,135,1240,000020000029
WO-2020144,ASSET-00031,Emergency,524,1582,000020000029
WO-2020145,ASSET-00031,Corrective,55,211,000020000029
WO-2020146,ASSET-00031,Preventive,0,,000020000029
WO-2020147,ASSET-00031,Corrective,100,1998,000020000029
WO-2020148,ASSET-00031,Corrective,171,1119,000020000029
WO-2020149,ASSET-00031,Corrective,125,1950,000020000029
WO-2020150,ASSET-00031,Corrective,97,495,000020000029
WO-2020151,ASSET-00032,Corrective,149,845,000020000030
WO-2020152,ASSET-00032,Preventive,0,,000020000030
WO-2020153,ASSET-00032,Corrective,195,1799,000020000030
WO-2020154,ASSET-00033,Preventive,0,,000020000031
WO-2020155,ASSET-00033,Preventive,0,,000020000031
WO-2020156,ASSET-00033,Preventive,0,,000020000031
WO-2020157,ASSET-00034,Emergency,205,1142,
WO-2020158,ASSET-00034,Corrective,236,973,
WO-2020159,ASSET-00034,Preventive,0,,
WO-2020160,ASSET-00034,Preventive,0,,
WO-2020161,ASSET-00035,Corrective,185,516,000020000032
WO-2020162,ASSET-00035,Preventive,0,,000020000032
WO-2020163,ASSET-00035,Corrective,35,1483,000020000032
WO-2020164,ASSET-00035,Preventive,0,,000020000032
WO-2020165,ASSET-00035,Corrective,78,372,000020000032
WO-2020166,ASSET-00035,Preventive,0,,000020000032
WO-2020167,ASSET-00036,Emergency,162,1416,000020000033
WO-2020168,ASSET-00036,Emergency,321,1602,000020000033
WO-2020169,ASSET-00036,Preventive,0,,000020000033
WO-2020170,ASSET-00036,Preventive,0,,000020000033
WO-2020171,ASSET-00036,Preventive,0,,000020000033
WO-2020172,ASSET-00036,Preventive,0,,000020000033
WO-2020173,ASSET-00037,Corrective,225,1057,000020000034
WO-2020174,ASSET-00037,Preventive,0,,000020000034
WO-2020175,ASSET-00037,Corrective,98,1362,000020000034
WO-2020176,ASSET-00037,Preventive,0,,000020000034
WO-2020177,ASSET-00037,Corrective,138,600,000020000034
WO-2020178,ASSET-00037,Preventive,0,,000020000034
WO-2020179,ASSET-00038,Preventive,0,,000020000035
WO-2020180,ASSET-00038,Corrective,174,1953,000020000035
WO-2020181,ASSET-00038,Corrective,98,1812,000020000035
WO-2020182,ASSET-00038,Emergency,251,1968,000020000035
WO-2020183,ASSET-00038,Preventive,0,,000020000035
WO-2020184,ASSET-00038,Preventive,0,,000020000035
WO-2020185,ASSET-00038,Preventive,0,,000020000035
WO-2020186,ASSET-00038,Corrective,97,1439,000020000035
WO-2020187,ASSET-00038,Corrective,236,597,000020000035
WO-2020188,ASSET-00038,Emergency,108,422,000020000035
WO-2020189,ASSET-00039,Preventive,0,,000020000036
WO-2020190,ASSET-00039,Emergency,98,1736,000020000036
WO-2020191,ASSET-00039,Preventive,0,,000020000036
WO-2020192,ASSET-00039,Corrective,142,1622,000020000036
WO-2020193,ASSET-00039,Preventive,0,,000020000036
WO-2020194,ASSET-00039,Corrective,135,1103,000020000036
WO-2020195,ASSET-00039,Corrective,222,675,000020000036
WO-2020196,ASSET-00040,Corrective,106,493,000020000037
WO-2020197,ASSET-00040,Corrective,115,1291,000020000037
WO-2020198,ASSET-00040,Emergency,597,1819,000020000037
WO-2020199,ASSET-00041,Preventive,0,,000020000038
WO-2020200,ASSET-00041,Preventive,0,,000020000038
WO-2020201,ASSET-00041,Preventive,0,,000020000038
WO-2020202,ASSET-00041,Preventive,0,,000020000038
WO-2020203,ASSET-00041,Preventive,0,,000020000038
WO-2020204,ASSET-00041,Preventive,0,,000020000038
WO-2020205,ASSET-00042,Corrective,92,227,000020000039
WO-2020206,ASSET-00042,Corrective,134,1793,000020000039
WO-2020207,ASSET-00042,Preventive,0,,000020000039
WO-2020208,ASSET-00042,Corrective,85,1078,000020000039
WO-2020209,ASSET-00043,Preventive,0,,000020000040
WO-2020210,ASSET-00043,Preventive,0,,000020000040
WO-2020211,ASSET-00043,Corrective,147,1292,000020000040
WO-2020212,ASSET-00044,Preventive,0,,
WO-2020213,ASSET-00044,Preventive,0,,
