PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1010,000020000001,Torque Application Unit,40946.19,DMG MORI
P1010,000020000002,Vision Inspection Station,25758.17,Yaskawa
P1010,000020000003,Adhesive Dispensing Unit,71408.79,ABB Robotics
P1010,000020000004,Riveting Station,38911.90,KUKA AG
P1010,000020000005,Coil Winding Machine,165682.88,Haas Automation
P1010,000020000006,Stamping Press,513455.99,Hexagon AB
P1010,000020000007,Injection Molding Machine,243745.10,Dematic
P1010,000020000008,Automated Guided Vehicle,60301.88,Lincoln Electric
P1010,000020000009,Overhead Gantry Loader,106076.65,Ingersoll
P1010,000020000010,Torque Application Unit,25046.09,Mazak Corporation
P1010,000020000011,Robotic Welding Cell,146244.23,KUKA
P1010,000020000012,Robotic Welding Cell,211683.81,Yaskawa Motoman
P1010,000020000013,Paint Application Robot,344016.80,Mazak
P1010,000020000014,Ultrasonic Welding Station,32611.29,Bosch Rexroth
P1010,000020000015,Leak Test Station,54875.80,Yaskawa Motoman
P1010,000020000016,Riveting Station,61187.04,FANUC
P1010,000020000017,Automated Guided Vehicle,117220.87,KUKA AG
P1010,000020000018,Final Functional Test Bench,126729.51,KUKA AG
P1010,000020000019,Palletizing Robot,169819.99,DMG MORI
P1010,000020000020,Vision Inspection Station,38043.11,Miller Electric
P1010,000020000021,Torque Application Unit,41123.30,schuler group
P1010,000020000022,Riveting Station,33605.85,KUKA AG
P1010,000020000023,Robotic Welding Cell,213431.44,Schuler Group
P1010,000020000024,Leak Test Station,20017.18,Durr AG
P1010,000020000025,Ultrasonic Welding Station,44742.52,Lincoln Electric
P1010,000020000026,Vision Inspection Station,73694.24,Lincoln Electric
P1010,000020000027,Wheel Alignment Rig,65648.05,KUKA AG
P1010,000020000028,Assembly Torque Wrench Station,14072.43,miller electric
P1010,000020000029,Coil Winding Machine,183818.85,dmg mori
P1010,000020000030,Leak Test Station,55646.22,KUKA
P1010,000020000031,Vision Inspection Station,38173.50,Atlas Copco
P1010,000020000032,Ultrasonic Welding Station,34290.96,Kuka Ag
P1010,000020000033,Vision Inspection Station,57279.91,KUKA
P1010,000020000034,Final Functional Test Bench,160631.95,Lincoln
P1010,000020000035,Hydraulic Press,155405.43,Kuka Ag
P1010,000020000036,Paint Application Robot,223650.43,Mazak
P1010,000020000037,Assembly Torque Wrench Station,18861.02,Carl Zeiss Industrial Metrology
P1010,000020000038,Ultrasonic Welding Station,30219.06,FANUC Corporation
P1010,000020000039,Induction Heating Unit,75162.55,comau
P1010,000020000040,Coil Winding Machine,208153.27,Mazak Corporation
