LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0040,Shaping - Glass Panel,WU1,S01,000020000001,,
L01,PR-0098,Drilling - Battery Module,WU2,S02,000020000002,,
L01,PR-0012,Chassis Sealing,WU3,S02,000020000003,,
L01,PR-0010,Cable Routing,WU4,S02,000020000004,,
L02,PR-0001,Dispensing Sealing Compound,WU5,S01,000020000005,,
L02,PR-0013,Door Mounting,WU6,S01,000020000006,,
L02,PR-0012,Chassis Sealing,WU7,S01,000020000007,,
L02,PR-0020,Crimp Termination,WU8,S02,000020000008,,
L03,PR-0001,Dispensing Sealing Compound,WU9,S01,000020000009,,
L03,PR-0013,Door Mounting,WU10,S02,,,
L03,PR-0008,Clearcoat Application,WU11,S02,000020000010,,
L03,PR-0019,Trim and Pierce Operation,WU12,S03,000020000011,,
L03,PR-0027,Crank Grinding,WU13,S03,000020000012,,
L03,PR-0005,Pressure Decay Test,WU14,S04,000020000013,,
L04,PR-0011,EOL Functional Check,WU15,S01,000020000014,,
L04,PR-0006,Cathodic Dip Coating,WU16,S01,000020000015,,
L04,PR-0051,Battery Module Dispensing,WU17,S02,000020000016,,
L04,PR-0061,Suspension Arm Cutting,WU18,S02,000020000017,,
L04,PR-0003,Bolt Torquing,WU19,S02,000020000018,,
L04,PR-0003,Bolt Torquing,WU20,S03,000020000019,,
L04,PR-0030,Block Machining,WU21,S03,000020000020,,
L04,PR-0053,Press Forming - Door Module,WU22,S03,000020000021,,
L05,PR-0001,Dispensing Sealing Compound,WU23,S01,000020000022,,
L05,PR-0007,Base Coat Spray,WU24,S01,000020000023,,
L05,PR-0003,Bolt Torquing,WU25,S02,000020000024,,
L05,PR-0051,Battery Module Dispensing,WU26,S02,000020000025,,
L05,PR-0001,Dispensing Sealing Compound,WU27,S03,000020000026,,
L05,PR-0054,Test - Chassis Frame,WU28,S03,000020000027,,
L06,PR-0027,Crank Grinding,WU29,S01,,,
L06,PR-0080,Sealing - Dashboard Assembly,WU30,S02,000020000028,,
L06,PR-0189,Packaging - Hood Panel,WU31,S03,000020000029,,
L06,PR-0009,Stacking Operation,WU32,S03,000020000030,,
L06,PR-0034,Moulding - Chassis Frame,WU33,S04,000020000031,,
L07,PR-0036,Molding - Hood Panel,WU34,S01,,,
L07,PR-0080,Sealing - Dashboard Assembly,WU35,S02,000020000032,,
L07,PR-0012,Chassis Sealing,WU36,S02,000020000033,,
L07,PR-0001,Dispensing Sealing Compound,WU37,S02,000020000034,,
L08,PR-0178,Baking - Engine Block,WU38,S01,000020000035,,
L08,PR-0001,Dispensing Sealing Compound,WU39,S01,000020000036,,
L08,PR-0161,Securing - Glass Panel,WU40,S01,000020000037,,
L08,PR-0003,Bolt Torquing,WU41,S02,000020000038,,
L08,PR-0010,Cable Routing,WU42,S02,000020000039,,
L08,PR-0150,Packaging - Seat Frame,WU43,S03,000020000040,,
L08,PR-0030,Block Machining,WU44,S03,,,
L08,PR-0018,Deep Drawing,WU45,S03,000020000041,,
L08,PR-0004,Camera Inspection,WU46,S04,000020000042,,
L09,PR-0003,Bolt Torquing,WU47,S01,000020000043,,
L09,PR-0001,Dispensing Sealing Compound,WU48,S01,000020000044,,
L09,PR-0018,Deep Drawing,WU49,S02,000020000045,,
L09,PR-0007,Base Coat Spray,WU50,S02,000020000046,,
L09,PR-0002,RSW Operation,WU51,S02,000020000047,,
L09,PR-0005,Pressure Decay Test,WU52,S03,000020000048,,
L09,PR-0142,Body Panel Fastening,WU53,S04,000020000049,,
L09,PR-0082,Curing - Steering Column,WU54,S04,000020000050,,
L10,PR-0007,Base Coat Spray,WU55,S01,000020000051,,
L10,PR-0178,Baking - Engine Block,WU56,S01,000020000052,,
L10,PR-0008,Clearcoat Application,WU57,S02,000020000053,,
L10,PR-0004,Camera Inspection,WU58,S02,000020000054,,
L10,PR-0005,Pressure Decay Test,WU59,S03,000020000055,,
L10,PR-0096,Steering Column Alignment,WU60,S04,000020000056,,
L10,PR-0003,Bolt Torquing,WU61,S04,000020000057,,
L11,PR-0002,RSW Operation,WU62,S01,000020000058,,
L11,PR-0159,Boring - Brake Caliper,WU63,S02,000020000059,,
L11,PR-0042,Assembly - Wire Harness,WU64,S02,,,
L11,PR-0050,Check - Steering Column,WU65,S02,000020000060,,
L12,PR-0044,Milling - Wheel Hub,WU66,S01,000020000061,,
L12,PR-0031,Transmission Housing Stamping,WU67,S01,000020000062,,
L12,PR-0001,Dispensing Sealing Compound,WU68,S02,000020000063,,
L12,PR-0047,Sealing - Engine Block,WU69,S02,000020000064,,
L12,PR-0002,RSW Operation,WU70,S03,,,
L12,PR-0001,Dispensing Sealing Compound,WU71,S03,000020000065,,
L12,PR-0181,Curing - Hood Panel,WU72,S03,,,
