NCR_ID,PartNumber,DefectCode,DetectedAtStation,Disposition,PPM_Rate,EightD_Status
NCR-US-00001,MER-STEERING-SYSTEM-0013,PAINT-RUNS,EN-S01,Scrap,260,Closed
NCR-US-00002,MER-CENTER-CONSOLE-0018,ELEC-CONNECTOR-MISMATE,EN-S03,Use-As-Is,416,Closed
NCR-US-00003,MER-FRONT-SUSPENSION-0010,ELEC-CONNECTOR-MISMATE,EN-S03,Rework,462,Open-D2
NCR-US-00004,MER-CYLINDER-BLOCK-0027,SURFACE-SCRATCH,EN-S02,Scrap,483,Open-D2
NCR-US-00005,MER-CATALYTIC-CONVER-0040,ELEC-OPEN-CIRCUIT,EN-S01,Rework,396,Closed
NCR-US-00006,MER-DOORS-0004,ASSY-MISSING-FASTENER,EN-S02,Rework,257,Closed
NCR-US-00007,MER-WHEELS-0014,DIM-OUT-OF-TOLERANCE,EN-S01,Rework,91,Open-D5
NCR-US-00008,MER-LOW-VOLTAGE-BATT-0023,SURFACE-SCRATCH,EN-S02,Rework,404,Closed
NCR-US-00009,MER-FUEL-TANK-0036,PAINT-RUNS,EN-S02,Scrap,88,Open-D3
NCR-US-00010,MER-CYLINDER-HEAD-0028,MATERIAL-CONTAMINATION,EN-S01,Scrap,496,Closed
NCR-US-00011,MER-CATALYTIC-CONVER-0040,ELEC-CONNECTOR-MISMATE,EN-S02,Rework,367,Closed
NCR-US-00012,MER-FRONT-SUSPENSION-0010,SEAL-LEAK,EN-S04,Rework,58,Closed
NCR-US-00013,MER-HOOD-0005,ELEC-SHORT-CIRCUIT,EN-S01,Rework,353,Closed
NCR-US-00014,MER-DASHBOARD-0017,DIM-GAP-FLUSH,EN-S01,Scrap,259,Open-D5
NCR-US-00015,MER-CYLINDER-BLOCK-0027,ELEC-OPEN-CIRCUIT,EN-S03,Rework,346,Closed
NCR-US-00016,MER-WIRING-HARNESS-0022,SEAL-LEAK,EN-S01,Rework,495,Open-D1
NCR-US-00017,MER-SEATS-0016,PAINT-BLISTER,EN-S01,Scrap,297,Open-D6
NCR-US-00018,MER-DOOR-PANELS-0019,ASSY-CROSS-THREAD,EN-S02,Rework,422,Open-D8
NCR-US-00019,MER-WIRING-HARNESS-0022,WELD-MISALIGN,EN-S01,Scrap,270,Open-D8
NCR-US-00020,MER-FUEL-TANK-0036,PAINT-BLISTER,EN-S01,Rework,175,Closed
NCR-US-00021,MER-LOW-VOLTAGE-BATT-0023,DIM-OUT-OF-TOLERANCE,EN-S03,Rework,168,Open-D8
NCR-US-00022,MER-LOW-VOLTAGE-BATT-0023,ELEC-SHORT-CIRCUIT,EN-S01,Rework,171,Open-D5
NCR-US-00023,MER-BRAKE-SYSTEM-0012,MATERIAL-CONTAMINATION,EN-S02,Scrap,276,Closed
NCR-US-00024,MER-DOORS-0004,ASSY-MISSING-FASTENER,EN-S02,Scrap,252,Closed
NCR-US-00025,MER-WIRING-HARNESS-0022,DIM-OUT-OF-TOLERANCE,EN-S03,Rework,210,Open-D1
NCR-US-00026,MER-FRONT-SUSPENSION-0010,WELD-UNDERCUT,EN-S02,Scrap,77,Closed
NCR-US-00027,MER-FUEL-TANK-0036,ASSY-MISSING-FASTENER,EN-S03,Rework,310,Closed
NCR-US-00028,MER-GEARBOX-HOUSING-0032,MATERIAL-CONTAMINATION,EN-S01,Rework,173,Open-D6
NCR-US-00029,MER-DASHBOARD-0017,ASSY-MISSING-FASTENER,EN-S02,Scrap,208,Closed
NCR-US-00030,MER-DASHBOARD-0017,ELEC-OPEN-CIRCUIT,EN-S03,Scrap,462,Open-D2
NCR-US-00031,MER-FUEL-TANK-0036,DIM-OUT-OF-TOLERANCE,EN-S01,Rework,191,Open-D7
NCR-US-00032,MER-REAR-SUSPENSION-0011,ASSY-MISSING-FASTENER,EN-S03,Scrap,277,Closed
NCR-US-00033,MER-FENDERS-0008,PAINT-ORANGE-PEEL,EN-S02,Use-As-Is,436,Closed
NCR-US-00034,MER-LIGHTING-SYSTEM-0024,ASSY-MISSING-FASTENER,EN-S03,Rework,276,Closed
NCR-US-00035,MER-PISTONS-0030,SEAL-LEAK,EN-S02,Rework,23,Closed
NCR-US-00036,MER-WIRING-HARNESS-0022,DIM-GAP-FLUSH,EN-S01,Rework,469,Closed
NCR-US-00037,MER-INFOTAINMENT-UNI-0025,ELEC-CONNECTOR-MISMATE,EN-S01,Use-As-Is,412,Open-D4
NCR-US-00038,MER-CYLINDER-BLOCK-0027,DIM-GAP-FLUSH,EN-S03,Rework,24,Open-D6
NCR-US-00039,MER-VEH-SUV-0001,ASSY-MISSING-FASTENER,EN-S03,Scrap,383,Open-D5
NCR-US-00040,MER-VEH-SUV-0001,ELEC-OPEN-CIRCUIT,EN-S03,Rework,455,Closed
NCR-US-00041,MER-DOOR-PANELS-0019,ELEC-OPEN-CIRCUIT,EN-S04,Use-As-Is,234,Closed
NCR-US-00042,MER-INFOTAINMENT-UNI-0025,SURFACE-SCRATCH,EN-S01,Rework,185,Closed
