CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,49.454,51.483,46.745,1.56
K1001,S01,49.149,51.483,46.745,1.56
K1002,S01,178.208,181.139,176.833,1.55
K1002,S01,179.543,181.139,176.833,1.55
K1002,S01,178.825,181.139,176.833,1.55
K1002,S01,178.861,181.139,176.833,1.55
K1003,S01,174.209,178.811,171.544,1.06
K1003,S01,175.62,178.811,171.544,1.06
K1003,S01,174.172,178.811,171.544,1.06
K1004,S02,109.125,110.504,107.706,1.66
K1004,S02,109.373,110.504,107.706,1.66
K1004,S02,109.219,110.504,107.706,1.66
K1004,S02,108.705,110.504,107.706,1.66
K1005,S02,148.043,150.174,145.969,1.27
K1005,S02,147.671,150.174,145.969,1.27
K1005,S02,148.328,150.174,145.969,1.27
K1006,S02,155.931,162.825,153.04,0.78
K1006,S02,156.609,162.825,153.04,0.78
K1006,S02,159.531,162.825,153.04,0.78
K1006,S02,156.459,162.825,153.04,0.78
K1006,S02,159.575,162.825,153.04,0.78
K1007,S01,196.433,201.392,194.341,1.26
K1007,S01,197.684,201.392,194.341,1.26
K1008,S01,184.102,186.36,180.993,0.91
K1008,S01,183.64,186.36,180.993,0.91
K1008,S01,183.308,186.36,180.993,0.91
K1009,S01,75.931,77.268,74.084,1.23
K1009,S01,76.047,77.268,74.084,1.23
K1010,S02,173.97,175.209,172.647,1.52
K1010,S02,174.021,175.209,172.647,1.52
K1010,S02,173.387,175.209,172.647,1.52
K1010,S02,173.774,175.209,172.647,1.52
K1010,S02,173.975,175.209,172.647,1.52
K1011,S01,89.217,92.695,85.619,2.16
K1011,S01,89.123,92.695,85.619,2.16
K1011,S01,90.111,92.695,85.619,2.16
K1011,S01,90.054,92.695,85.619,2.16
K1012,S01,53.751,54.886,52.305,1.66
K1012,S01,53.718,54.886,52.305,1.66
K1012,S01,53.391,54.886,52.305,1.66
K1012,S01,53.662,54.886,52.305,1.66
K1013,S02,192.859,195.338,190.87,1.22
K1013,S02,192.38,195.338,190.87,1.22
K1013,S02,192.952,195.338,190.87,1.22
K1013,S02,193.508,195.338,190.87,1.22
K1013,S02,193.323,195.338,190.87,1.22
K1014,S02,97.122,101.622,93.809,1.78
K1014,S02,97.541,101.622,93.809,1.78
K1014,S02,97.942,101.622,93.809,1.78
K1014,S02,97.903,101.622,93.809,1.78
K1015,S03,63.966,71.456,62.488,0.77
K1015,S03,65.117,71.456,62.488,0.77
K1015,S03,70.042,71.456,62.488,0.77
K1016,S04,86.885,88.036,86.571,0.76
K1016,S04,87.646,88.036,86.571,0.76
K1016,S04,87.218,88.036,86.571,0.76
K1017,S01,45.048,46.694,42.712,1.67
K1017,S01,45.82,46.694,42.712,1.67
K1017,S01,44.255,46.694,42.712,1.67
