Material_No,Bin_Location,Quantity,Kanban_ID,Ship_From,Ship_To
MAT-252770,C-17-3,2241,KANBAN-00001,Engine Plant US,Assembly Plant IN
MAT-449750,G-23-5,3424,KANBAN-00002,Engine Plant US,Assembly Plant IN
MAT-622512,A-15-5,4714,KANBAN-00003,Engine Plant US,Assembly Plant IN
MAT-761459,F-19-4,232,KANBAN-00004,Engine Plant US,Assembly Plant IN
MAT-178378,H-17-4,3345,KANBAN-00005,Engine Plant US,Assembly Plant IN
MAT-846390,F-22-3,4117,KANBAN-00006,Engine Plant US,Assembly Plant IN
MAT-291936,F-05-4,1803,KANBAN-00007,Engine Plant US,Assembly Plant IN
MAT-719910,G-15-2,4798,KANBAN-00008,Engine Plant US,Assembly Plant IN
MAT-456852,E-18-4,1379,KANBAN-00009,Engine Plant US,Assembly Plant IN
MAT-578385,H-23-2,880,KANBAN-00010,Engine Plant US,Assembly Plant IN
MAT-187204,A-16-4,527,KANBAN-00011,Engine Plant US,Assembly Plant IN
MAT-884703,G-08-3,3815,KANBAN-00012,Engine Plant US,Assembly Plant IN
MAT-141364,C-04-4,1752,KANBAN-00013,Engine Plant US,Assembly Plant IN
MAT-635613,E-22-3,4435,KANBAN-00014,Engine Plant US,Assembly Plant IN
MAT-639378,H-28-3,2965,KANBAN-00015,Engine Plant US,Assembly Plant IN
MAT-255143,F-13-3,2761,KANBAN-00016,Engine Plant US,Assembly Plant IN
MAT-641189,F-14-1,3893,KANBAN-00017,Engine Plant US,Assembly Plant IN
MAT-561429,F-29-3,880,KANBAN-00018,Engine Plant US,Assembly Plant IN
MAT-650107,B-18-2,1472,KANBAN-00019,Engine Plant US,Assembly Plant IN
MAT-725585,E-13-4,3351,KANBAN-00020,Engine Plant US,Assembly Plant IN
MAT-700548,D-12-1,3455,KANBAN-00021,Engine Plant US,Assembly Plant IN
MAT-891380,H-01-1,1779,KANBAN-00022,Engine Plant US,Assembly Plant IN
MAT-624914,G-22-3,1458,KANBAN-00023,Engine Plant US,Assembly Plant IN
MAT-859499,A-29-1,2523,KANBAN-00024,Engine Plant US,Assembly Plant IN
MAT-541911,E-22-2,4748,KANBAN-00025,Engine Plant US,Assembly Plant IN
MAT-545684,F-08-5,1656,KANBAN-00026,Engine Plant US,Assembly Plant IN
MAT-488316,G-13-1,1855,KANBAN-00027,Engine Plant US,Assembly Plant IN
MAT-943613,E-19-1,1383,KANBAN-00028,Engine Plant US,Assembly Plant IN
MAT-508739,H-07-4,2466,KANBAN-00029,Engine Plant US,Assembly Plant IN
MAT-310631,G-19-5,2441,KANBAN-00030,Engine Plant US,Assembly Plant IN
MAT-528414,C-15-2,525,KANBAN-00031,Engine Plant US,Assembly Plant IN
MAT-161449,A-20-4,2255,KANBAN-00032,Engine Plant US,Assembly Plant IN
MAT-847974,F-05-4,3114,KANBAN-00033,Engine Plant US,Assembly Plant IN
MAT-533893,A-11-1,1538,KANBAN-00034,Engine Plant US,Assembly Plant IN
MAT-340158,F-18-5,4533,KANBAN-00035,Engine Plant US,Assembly Plant IN
MAT-680318,B-17-4,1606,KANBAN-00036,Engine Plant US,Assembly Plant IN
MAT-871901,F-28-5,1078,KANBAN-00037,Engine Plant US,Assembly Plant IN
MAT-305924,H-26-3,3708,KANBAN-00038,Engine Plant US,Assembly Plant IN
MAT-763894,B-16-4,2321,KANBAN-00039,Engine Plant US,Assembly Plant IN
MAT-181773,H-12-1,2063,KANBAN-00040,Engine Plant US,Assembly Plant IN
MAT-714539,G-29-3,3138,KANBAN-00041,Engine Plant US,Assembly Plant IN
MAT-124395,F-13-4,79,KANBAN-00042,Engine Plant US,Assembly Plant IN
MAT-731756,H-08-2,87,KANBAN-00043,Engine Plant US,Assembly Plant IN
MAT-321632,A-24-1,2633,KANBAN-00044,Engine Plant US,Assembly Plant IN
MAT-206134,G-11-5,767,KANBAN-00045,Engine Plant US,Assembly Plant IN
MAT-151250,D-17-4,4031,KANBAN-00046,Engine Plant US,Assembly Plant IN
MAT-257054,E-15-3,2516,KANBAN-00047,Engine Plant US,Assembly Plant IN
MAT-738590,C-11-3,4094,KANBAN-00048,Engine Plant US,Assembly Plant IN
MAT-384429,E-22-3,4694,KANBAN-00049,Engine Plant US,Assembly Plant IN
MAT-329985,E-21-1,3717,KANBAN-00050,Engine Plant US,Assembly Plant IN
MAT-713091,E-15-2,3415,KANBAN-00051,Engine Plant US,Assembly Plant IN
MAT-239580,H-12-2,1587,KANBAN-00052,Engine Plant US,Assembly Plant IN
MAT-955326,A-04-5,1466,KANBAN-00053,Engine Plant US,Assembly Plant IN
MAT-426667,E-14-4,2656,KANBAN-00054,Engine Plant US,Assembly Plant IN
MAT-296096,C-04-4,187,KANBAN-00055,Engine Plant US,Assembly Plant IN
MAT-680159,C-14-4,3488,KANBAN-00056,Engine Plant US,Assembly Plant IN
MAT-657428,H-28-2,2213,KANBAN-00057,Engine Plant US,Assembly Plant IN
MAT-861183,D-21-2,4560,KANBAN-00058,Engine Plant US,Assembly Plant IN
MAT-475230,D-06-3,1084,KANBAN-00059,Engine Plant US,Assembly Plant IN
MAT-606418,H-10-5,513,KANBAN-00060,Engine Plant US,Assembly Plant IN
MAT-606352,G-25-4,1937,KANBAN-00061,Engine Plant US,Assembly Plant IN
MAT-614400,A-16-1,1310,KANBAN-00062,Engine Plant US,Assembly Plant IN
MAT-918722,G-04-2,4515,KANBAN-00063,Engine Plant US,Assembly Plant IN
MAT-885700,C-02-1,251,KANBAN-00064,Engine Plant US,Assembly Plant IN
MAT-430783,G-26-1,825,KANBAN-00065,Engine Plant US,Assembly Plant IN
MAT-687202,D-26-2,541,KANBAN-00066,Engine Plant US,Assembly Plant IN
MAT-138981,G-09-4,2210,KANBAN-00067,Engine Plant US,Assembly Plant IN
MAT-789957,A-23-5,3842,KANBAN-00068,Engine Plant US,Assembly Plant IN
MAT-382354,F-29-4,4206,KANBAN-00069,Engine Plant US,Assembly Plant IN
