WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2120001,ASSET-00001,Preventive,,0,,000120000001
WO-2120002,ASSET-00001,Preventive,,0,,000120000001
WO-2120003,ASSET-00001,Preventive,,0,,000120000001
WO-2120004,ASSET-00001,Preventive,,0,,000120000001
WO-2120005,ASSET-00002,Corrective,HYDRAULIC-LEAK,153,507,000120000002
WO-2120006,ASSET-00002,Preventive,,0,,000120000002
WO-2120007,ASSET-00002,Preventive,,0,,000120000002
WO-2120008,ASSET-00002,Preventive,,0,,000120000002
WO-2120009,ASSET-00002,Corrective,SPINDLE-SEIZURE,139,685,000120000002
WO-2120010,ASSET-00002,Preventive,,0,,000120000002
WO-2120011,ASSET-00002,Corrective,DIE-WEAR,153,1625,000120000002
WO-2120012,ASSET-00002,Corrective,CONTROLLER-FAULT,88,1079,000120000002
WO-2120013,ASSET-00003,Preventive,,0,,000120000003
WO-2120014,ASSET-00003,Preventive,,0,,000120000003
WO-2120015,ASSET-00003,Preventive,,0,,000120000003
WO-2120016,ASSET-00003,Corrective,MOTOR-BURNOUT,178,1105,000120000003
WO-2120017,ASSET-00003,Corrective,CALIBRATION-DRIFT,158,464,000120000003
WO-2120018,ASSET-00004,Corrective,CONTROLLER-FAULT,215,590,000120000004
WO-2120019,ASSET-00004,Preventive,,0,,000120000004
WO-2120020,ASSET-00004,Corrective,BELT-FAILURE,133,1262,000120000004
WO-2120021,ASSET-00004,Corrective,PNEUMATIC-LEAK,157,375,000120000004
WO-2120022,ASSET-00004,Preventive,,0,,000120000004
WO-2120023,ASSET-00004,Preventive,,0,,000120000004
WO-2120024,ASSET-00004,Preventive,,0,,000120000004
WO-2120025,ASSET-00005,Emergency,HYDRAULIC-LEAK,101,1501,000120000005
WO-2120026,ASSET-00005,Corrective,CALIBRATION-DRIFT,77,446,000120000005
WO-2120027,ASSET-00005,Preventive,,0,,000120000005
WO-2120028,ASSET-00005,Preventive,,0,,000120000005
WO-2120029,ASSET-00006,Preventive,,0,,000120000006
WO-2120030,ASSET-00006,Preventive,,0,,000120000006
WO-2120031,ASSET-00006,Corrective,CALIBRATION-DRIFT,228,819,000120000006
WO-2120032,ASSET-00006,Preventive,,0,,000120000006
WO-2120033,ASSET-00006,Preventive,,0,,000120000006
WO-2120034,ASSET-00006,Preventive,,0,,000120000006
WO-2120035,ASSET-00006,Corrective,HYDRAULIC-LEAK,30,1792,000120000006
WO-2120036,ASSET-00007,Corrective,SENSOR-FAULT,128,1242,
WO-2120037,ASSET-00007,Preventive,,0,,
WO-2120038,ASSET-00007,Preventive,,0,,
WO-2120039,ASSET-00008,Corrective,BELT-FAILURE,223,626,000120000007
WO-2120040,ASSET-00008,Corrective,CALIBRATION-DRIFT,97,1885,000120000007
WO-2120041,ASSET-00008,Preventive,,0,,000120000007
WO-2120042,ASSET-00008,Corrective,BELT-FAILURE,168,1390,000120000007
