PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1110,000120000001,Screw Fastening Station,28128.70,Atlas Copco
P1110,000120000002,Coil Winding Machine,133865.85,KUKA AG
P1110,000120000003,Vision Inspection Station,68200.52,Schneider Electric
P1110,000120000004,Dimensional Measurement Arm,118775.52,Haas Automation
P1110,000120000005,Torque Application Unit,44772.70,Schuler Group
P1110,000120000006,Stamping Press,553753.79,Schuler
P1110,000120000007,Injection Molding Machine,219042.33,KUKA AG
P1110,000120000008,Ultrasonic Welding Station,38238.53,Schuler Group
P1110,000120000009,Vision Inspection Station,49973.04,KUKA AG
P1110,000120000010,Wheel Alignment Rig,45725.74,KUKA AG
P1110,000120000011,Induction Heating Unit,48957.63,ABB Robotics
P1110,000120000012,Paint Application Robot,346754.26,Yaskawa Motoman
P1110,000120000013,Adhesive Dispensing Unit,77435.27,Schuler Group
P1110,000120000014,Automated Guided Vehicle,73432.27,KUKA AG
P1110,000120000015,Wheel Alignment Rig,73657.68,ABB Robotics
P1110,000120000016,Final Functional Test Bench,138301.54,KUKA
P1110,000120000017,Vision Inspection Station,70166.97,KUKA AG
P1110,000120000018,Ultrasonic Welding Station,28347.93,FANUC
P1110,000120000019,Vision Inspection Station,66560.50,Durr AG
P1110,000120000020,Conveyor System,91941.91,YASKAWA MOTOMAN
P1110,000120000021,Conveyor System,53561.60,FANUC
P1110,000120000022,Paint Application Robot,292273.40,ABB ROBOTICS
P1110,000120000023,Paint Application Robot,229044.18,Hexagon
P1110,000120000024,Palletizing Robot,126100.38,Haas
P1110,000120000025,Wheel Alignment Rig,74554.77,KUKA
P1110,000120000026,Automated Guided Vehicle,77177.51,Atlas Copco
P1110,000120000027,Laser Welding Cell,316598.11,dematic
P1110,000120000028,Robotic Welding Cell,173421.15,FANUC
P1110,000120000029,,29473.28,Dematic
P1110,000120000030,Hydraulic Press,135978.38,Yaskawa
P1110,000120000031,Screw Fastening Station,35581.44,ABB Robotics
P1110,000120000032,Robotic Welding Cell,238430.75,schneider electric
P1110,000120000033,Battery Pack Assembly Cell,552812.64,KUKA AG
P1110,000120000034,Vision Inspection Station,55521.69,KUKA
P1110,000120000035,Torque Application Unit,15544.65,Eisenmann
P1110,000120000036,Ultrasonic Welding Station,74933.51,FANUC Corporation
P1110,000120000037,Robotic Welding Cell,254445.64,Durr AG
P1110,000120000038,Injection Molding Machine,432227.81,KUKA AG
P1110,000120000039,Assembly Torque Wrench Station,19946.89,Kuka Ag
P1110,000120000040,Robotic Welding Cell,137896.33,Schneider Electric
P1110,000120000041,Screw Fastening Station,26215.11,DMG MORI
P1110,000120000042,Vision Inspection Station,76186.35,FANUC Corporation
P1110,000120000043,Ultrasonic Welding Station,37266.55,ABB
P1110,000120000044,CNC Machining Center,333758.95,Haas Automation
P1110,000120000045,Induction Heating Unit,89964.75,Mazak Corporation
P1110,000120000046,Screw Fastening Station,37270.57,FANUC
P1110,000120000047,,180778.49,ABB ROBOTICS
P1110,000120000048,Injection Molding Machine,393475.50,KUKA AG
P1110,000120000049,Battery Pack Assembly Cell,250613.04,Mazak Corporation
P1110,000120000050,Ultrasonic Welding Station,55549.61,KUKA
P1110,000120000051,Palletizing Robot,169376.87,ABB Robotics
P1110,000120000052,Dimensional Measurement Arm,125682.69,Yaskawa Motoman
P1110,000120000053,Overhead Gantry Loader,151151.55,Yaskawa Motoman
P1110,000120000054,Induction Heating Unit,30707.14,DMG MORI
P1110,000120000055,Overhead Gantry Loader,73992.43,Kuka Ag
P1110,000120000056,Palletizing Robot,164992.63,carl zeiss industrial metrology
P1110,000120000057,Hydraulic Press,357340.25,KUKA AG
P1110,000120000058,Stamping Press,950385.19,Lincoln
P1110,000120000059,Induction Heating Unit,63860.67,dmg mori
P1110,000120000060,Assembly Torque Wrench Station,12440.62,Yaskawa Motoman
P1110,000120000061,Assembly Torque Wrench Station,34446.71,Lincoln
P1110,000120000062,Injection Molding Machine,253234.31,KUKA AG
