LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0005,Pressure Decay Test,WU1,S01,000120000001,,
L01,PR-0018,Deep Drawing,WU2,S01,000120000002,,
L01,PR-0178,Engine Block Curing,WU3,S02,000120000003,,
L01,PR-0004,Visual Inspection,WU4,S02,000120000004,,
L01,PR-0142,Securing - Body Panel,WU5,S03,000120000005,,
L01,PR-0002,Rsw Operation,WU6,S03,000120000006,,
L01,PR-0001,Dispensing Sealing Compound,WU7,S03,,,
L02,PR-0013,Door Mounting,WU8,S01,000120000007,,
L02,PR-0175,Seal Application - Radiator Core,WU9,S01,000120000008,,
L02,PR-0010,Cable Routing,WU10,S01,000120000009,,
L02,PR-0062,Trimming - Wheel Hub,WU11,S02,000120000010,,
L02,PR-0009,Stacking Operation,WU12,S02,000120000011,,
L02,PR-0083,Die Stamping - Engine Block,WU13,S03,000120000012,,
L03,PR-0067,Shaping - Engine Block,WU14,S01,000120000013,,
L03,PR-0032,Testing - Fuel Rail,WU15,S02,000120000014,,
L03,PR-0021,Cushion Molding,WU16,S02,000120000015,,
L04,PR-0012,Underbody Seam Sealing,WU17,S01,000120000016,,
L04,PR-0155,Qc Review - Rear Axle,WU18,S01,000120000017,,
L04,PR-0015,Motor Coil Winding,WU19,S01,000120000018,,
L04,PR-0004,Visual Inspection,WU20,S02,000120000019,,
L04,PR-0100,Machining - Brake Caliper,WU21,S02,000120000020,,
L05,PR-0027,Crank Grinding,WU22,S01,000120000021,,
L05,PR-0015,Motor Coil Winding,WU23,S01,,,
L05,PR-0031,Transmission Housing Stamping,WU24,S01,000120000022,,
L05,PR-0004,Visual Inspection,WU25,S02,,,
L05,PR-0007,Colour Coat Application,WU26,S02,000120000023,,
L05,PR-0002,Rsw Operation,WU27,S03,000120000024,,
L05,PR-0086,Boring - Steering Column,WU28,S04,000120000025,,
L05,PR-0028,Gear Hobbing,WU29,S04,000120000026,,
L05,PR-0071,Alignment - Seat Frame,WU30,S04,,,
L06,PR-0004,Visual Inspection,WU31,S01,000120000027,,
L06,PR-0195,Cutting Operation - Center Console,WU32,S02,000120000028,,
L06,PR-0005,Pressure Decay Test,WU33,S02,000120000029,,
L06,PR-0004,Visual Inspection,WU34,S02,000120000030,,
L07,PR-0159,Boring - Brake Caliper,WU35,S01,000120000031,,
L07,PR-0026,Camshaft Fitting,WU36,S02,000120000032,,
L07,PR-0136,Dispensing - Fender Panel,WU37,S02,000120000033,,
L07,PR-0022,Trim Sewing,WU38,S03,000120000034,,
L07,PR-0002,Rsw Operation,WU39,S03,000120000035,,
L08,PR-0006,Cathodic Dip Coating,WU40,S01,000120000036,,
L08,PR-0087,Rear Axle Cutting,WU41,S01,,,
L08,PR-0010,Cable Routing,WU42,S01,000120000037,,
L08,PR-0036,Molding - Hood Panel,WU43,S02,000120000038,,
L08,PR-0001,Dispensing Sealing Compound,WU44,S03,000120000039,,
L08,PR-0006,Cathodic Dip Coating,WU45,S04,000120000040,,
L08,PR-0078,Assembly - Floor Pan,WU46,S04,000120000041,,
L09,PR-0142,Securing - Body Panel,WU47,S01,,,
L09,PR-0004,Visual Inspection,WU48,S02,000120000042,,
