NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-VN-00001,MER-PISTONS-0030,PAINT-RUNS,FER-S01,Rework,456
NCR-VN-00002,MER-WIRING-HARNESS-0022,DIM-OUT-OF-TOLERANCE,FER-S01,Scrap,493
NCR-VN-00003,MER-ONBOARD-CHARGER-0037,PAINT-RUNS,FER-S01,Rework,265
NCR-VN-00004,MER-CHARGE-PORT-0039,PAINT-BLISTER,FER-S02,Rework,446
NCR-VN-00005,MER-BUMPER-FRONT-0006,ASSY-CROSS-THREAD,FER-S02,Use-As-Is,144
NCR-VN-00006,MER-SEATS-0016,SURFACE-SCRATCH,FER-S02,Rework,83
NCR-VN-00007,MER-MUFFLER-0041,ELEC-CONNECTOR-MISMATE,FER-S02,Scrap,494
NCR-VN-00008,MER-DOORS-0004,SURFACE-SCRATCH,FER-S02,Scrap,350
NCR-VN-00009,MER-BUMPER-FRONT-0006,ASSY-WRONG-PART,FER-S02,Scrap,79
NCR-VN-00010,MER-DASHBOARD-0017,SEAL-LEAK,FER-S01,Rework,159
NCR-VN-00011,MER-BUMPER-REAR-0007,WELD-UNDERCUT,FER-S01,Use-As-Is,415
NCR-VN-00012,MER-BODY-SHELL-0003,ASSY-CROSS-THREAD,FER-S03,Rework,73
NCR-VN-00013,MER-CLUTCH-ASSEMBLY-0033,WELD-MISALIGN,FER-S02,Use-As-Is,225
NCR-VN-00014,MER-INFOTAINMENT-UNI-0025,WELD-UNDERCUT,FER-S04,Rework,213
NCR-VN-00015,MER-SEATS-0016,WELD-MISALIGN,FER-S01,Scrap,406
NCR-VN-00016,MER-FRONT-SUSPENSION-0010,WELD-POROSITY,FER-S01,Rework,127
NCR-VN-00017,MER-HOOD-0005,WELD-UNDERCUT,FER-S03,Use-As-Is,444
NCR-VN-00018,MER-PISTONS-0030,ELEC-CONNECTOR-MISMATE,FER-S03,Scrap,265
NCR-VN-00019,MER-BODY-SHELL-0003,PAINT-RUNS,FER-S01,Rework,334
NCR-VN-00020,MER-BUMPER-REAR-0007,ELEC-CONNECTOR-MISMATE,FER-S02,Rework,64
NCR-VN-00021,MER-STEERING-SYSTEM-0013,WELD-POROSITY,FER-S02,Rework,150
NCR-VN-00022,MER-BODY-SHELL-0003,WELD-MISALIGN,FER-S01,Rework,293
NCR-VN-00023,MER-FUEL-INJECTOR-0038,ASSY-WRONG-PART,FER-S01,Rework,451
NCR-VN-00024,MER-DOOR-PANELS-0019,DIM-GAP-FLUSH,FER-S01,Scrap,483
NCR-VN-00025,MER-LOW-VOLTAGE-BATT-0023,WELD-UNDERCUT,FER-S02,Rework,226
NCR-VN-00026,MER-DASHBOARD-0017,PAINT-BLISTER,FER-S03,Use-As-Is,453
NCR-VN-00027,MER-LOW-VOLTAGE-BATT-0023,ASSY-WRONG-PART,FER-S03,Rework,59
NCR-VN-00028,MER-CLUTCH-ASSEMBLY-0033,PAINT-ORANGE-PEEL,FER-S01,Scrap,443
NCR-VN-00029,MER-GEAR-SET-0034,ASSY-WRONG-PART,FER-S04,Rework,170
NCR-VN-00030,MER-CYLINDER-HEAD-0028,DIM-OUT-OF-TOLERANCE,FER-S02,Scrap,444
NCR-VN-00031,MER-CLUTCH-ASSEMBLY-0033,ASSY-WRONG-PART,FER-S03,Use-As-Is,340
NCR-VN-00032,MER-PISTONS-0030,PAINT-RUNS,FER-S03,Rework,370
NCR-VN-00033,MER-BODY-SHELL-0003,WELD-MISALIGN,FER-S02,Rework,181
NCR-VN-00034,MER-CHARGE-PORT-0039,WELD-UNDERCUT,FER-S02,Rework,50
NCR-VN-00035,MER-BODY-SHELL-0003,DIM-GAP-FLUSH,FER-S03,Use-As-Is,143
