MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-177917,H-21-5,4327,KANBAN-00001,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-878664,E-04-3,2413,KANBAN-00002,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-137257,F-12-1,3471,KANBAN-00003,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-669173,B-09-5,1957,KANBAN-00004,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-923993,B-13-4,81,KANBAN-00005,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-491413,G-06-4,3668,KANBAN-00006,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-342288,H-11-5,4859,KANBAN-00007,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-704305,B-18-4,4810,KANBAN-00008,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-296972,E-11-3,1213,KANBAN-00009,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-747563,E-23-1,317,KANBAN-00010,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-337424,D-26-5,4258,KANBAN-00011,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-966976,A-19-1,962,KANBAN-00012,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-219026,D-04-1,2411,KANBAN-00013,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-426532,B-17-4,1481,KANBAN-00014,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-594850,G-29-2,1486,KANBAN-00015,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-222430,D-28-4,4996,KANBAN-00016,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-378644,F-27-5,4317,KANBAN-00017,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-597245,E-20-5,3995,KANBAN-00018,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-922210,A-29-5,2954,KANBAN-00019,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-334803,H-02-4,1046,KANBAN-00020,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-423373,A-01-4,54,KANBAN-00021,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-164810,E-09-5,3638,KANBAN-00022,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-470903,B-29-4,3092,KANBAN-00023,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-976926,H-05-3,1802,KANBAN-00024,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-117496,E-01-2,559,KANBAN-00025,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-715209,G-19-4,3759,KANBAN-00026,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-835695,G-24-4,3449,KANBAN-00027,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-424471,G-09-3,4666,KANBAN-00028,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
MAT-101300,G-18-4,242,KANBAN-00029,Ferrovia Harness Components Plant,Electronics & Wiring Harness Plant MX
