OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2070001,ASSET-00001,Preventive,0,,000070000001
WO-2070002,ASSET-00001,Corrective,58,656,000070000001
WO-2070003,ASSET-00001,Preventive,0,,000070000001
WO-2070004,ASSET-00001,Corrective,132,1876,000070000001
WO-2070005,ASSET-00002,Preventive,0,,000070000002
WO-2070006,ASSET-00002,Preventive,0,,000070000002
WO-2070007,ASSET-00002,Corrective,222,717,000070000002
WO-2070008,ASSET-00003,Preventive,0,,000070000003
WO-2070009,ASSET-00003,Preventive,0,,000070000003
WO-2070010,ASSET-00003,Preventive,0,,000070000003
WO-2070011,ASSET-00003,Preventive,0,,000070000003
WO-2070012,ASSET-00003,Preventive,0,,000070000003
WO-2070013,ASSET-00003,Corrective,204,223,000070000003
WO-2070014,ASSET-00003,Preventive,0,,000070000003
WO-2070015,ASSET-00004,Corrective,232,1567,000070000004
WO-2070016,ASSET-00004,Preventive,0,,000070000004
WO-2070017,ASSET-00004,Preventive,0,,000070000004
WO-2070018,ASSET-00004,Preventive,0,,000070000004
WO-2070019,ASSET-00004,Emergency,546,1810,000070000004
WO-2070020,ASSET-00005,Preventive,0,,000070000005
WO-2070021,ASSET-00005,Corrective,152,684,000070000005
WO-2070022,ASSET-00005,Corrective,125,632,000070000005
WO-2070023,ASSET-00005,Preventive,0,,000070000005
WO-2070024,ASSET-00005,Corrective,228,889,000070000005
WO-2070025,ASSET-00005,Preventive,0,,000070000005
WO-2070026,ASSET-00006,Corrective,51,847,000070000006
WO-2070027,ASSET-00006,Preventive,0,,000070000006
WO-2070028,ASSET-00006,Preventive,0,,000070000006
WO-2070029,ASSET-00006,Preventive,0,,000070000006
WO-2070030,ASSET-00006,Preventive,0,,000070000006
WO-2070031,ASSET-00006,Preventive,0,,000070000006
WO-2070032,ASSET-00006,Corrective,75,488,000070000006
WO-2070033,ASSET-00006,Corrective,67,259,000070000006
WO-2070034,ASSET-00007,Preventive,0,,000070000007
WO-2070035,ASSET-00007,Preventive,0,,000070000007
WO-2070036,ASSET-00007,Corrective,92,1615,000070000007
WO-2070037,ASSET-00007,Preventive,0,,000070000007
WO-2070038,ASSET-00008,Corrective,125,1879,
WO-2070039,ASSET-00008,Corrective,147,987,
WO-2070040,ASSET-00008,Corrective,32,956,
WO-2070041,ASSET-00008,Emergency,104,977,
WO-2070042,ASSET-00008,Corrective,231,1053,
WO-2070043,ASSET-00008,Preventive,0,,
WO-2070044,ASSET-00009,Emergency,303,1624,000070000008
WO-2070045,ASSET-00009,Preventive,0,,000070000008
WO-2070046,ASSET-00009,Corrective,150,1219,000070000008
WO-2070047,ASSET-00009,Corrective,160,1442,000070000008
WO-2070048,ASSET-00009,Preventive,0,,000070000008
WO-2070049,ASSET-00009,Preventive,0,,000070000008
WO-2070050,ASSET-00009,Preventive,0,,000070000008
WO-2070051,ASSET-00010,Preventive,0,,000070000009
