Werk,Anlagennummer,Anlagenbezeichnung,Kostenstelle,Anschaffungswert,Hersteller
P1060,000070000001,Leak Test Station,CC-4876,65754.17,KUKA AG
P1060,000070000002,Riveting Station,CC-4873,60269.81,Kuka Ag
P1060,000070000003,Coil Winding Machine,,171312.04,KUKA AG
P1060,000070000004,Conveyor System,CC-4875,95931.01,KUKA AG
P1060,000070000005,Battery Pack Assembly Cell,CC-4873,566181.82,Haas
P1060,000070000006,Palletizing Robot,CC-4874,104328.80,Dematic
P1060,000070000007,Paint Application Robot,CC-4875,246854.72,Atlas Copco
P1060,000070000008,Coil Winding Machine,CC-4876,173321.66,DMG MORI
P1060,000070000009,Adhesive Dispensing Unit,CC-4876,83778.42,DMG
P1060,000070000010,Paint Application Robot,CC-4876,250835.66,FANUC Corporation
P1060,000070000011,Induction Heating Unit,,58386.81,ABB
P1060,000070000012,Assembly Torque Wrench Station,,17129.51,KUKA AG
P1060,000070000013,Ultrasonic Welding Station,CC-4873,76110.37,Yaskawa Motoman
P1060,000070000014,Vision Inspection Station,CC-4874,54609.63,AIDA Engineering
P1060,000070000015,Final Functional Test Bench,CC-4876,141644.46,Durr
P1060,000070000016,Adhesive Dispensing Unit,CC-4875,78466.57,schneider electric
P1060,000070000017,Adhesive Dispensing Unit,CC-4876,89878.30,Schneider Electric
P1060,000070000018,Riveting Station,CC-4876,26950.32,Rockwell Automation
P1060,000070000019,Laser Welding Cell,CC-4874,288615.74,ABB Robotics
P1060,000070000020,Conveyor System,CC-4874,125577.20,AIDA Engineering
P1060,000070000021,Robotic Welding Cell,CC-4873,135276.93,Eisenmann SE
P1060,000070000022,Induction Heating Unit,CC-4875,37690.49,FANUC
P1060,000070000023,Final Functional Test Bench,CC-4873,178835.35,MILLER ELECTRIC
P1060,000070000024,Robotic Welding Cell,CC-4874,224499.49,Ingersoll Rand
P1060,000070000025,Injection Molding Machine,CC-4876,259811.03,ROCKWELL AUTOMATION
P1060,000070000026,CNC Machining Center,CC-4876,346363.35,Siemens AG
P1060,000070000027,Wheel Alignment Rig,CC-4876,74634.79,Miller
P1060,000070000028,CNC Machining Center,CC-4876,284026.74,Lincoln Electric
P1060,000070000029,Adhesive Dispensing Unit,CC-4874,74744.36,KUKA
P1060,000070000030,Adhesive Dispensing Unit,CC-4873,76309.82,DMG MORI
P1060,000070000031,Overhead Gantry Loader,CC-4873,146847.45,DMG MORI
P1060,000070000032,Ultrasonic Welding Station,CC-4876,66037.59,DMG MORI
P1060,000070000033,Vision Inspection Station,CC-4873,66590.79,Comau
P1060,000070000034,Vision Inspection Station,CC-4873,30600.67,KUKA
P1060,000070000035,Assembly Torque Wrench Station,CC-4875,32712.27,DMG
P1060,000070000036,Leak Test Station,CC-4875,49970.19,KUKA
P1060,000070000037,Final Functional Test Bench,CC-4876,139189.91,Rockwell Automation
P1060,000070000038,Riveting Station,CC-4875,46313.98,KUKA
P1060,000070000039,Final Functional Test Bench,CC-4873,154828.03,ABB Robotics
P1060,000070000040,Assembly Torque Wrench Station,CC-4873,29503.30,FANUC Corporation
P1060,000070000041,Coil Winding Machine,CC-4873,138919.44,FANUC
P1060,000070000042,Ultrasonic Welding Station,CC-4873,39604.79,Mazak
P1060,000070000043,Leak Test Station,CC-4873,45214.45,ingersoll rand
P1060,000070000044,Assembly Torque Wrench Station,CC-4874,33647.99,Schuler Group
P1060,000070000045,,CC-4875,70265.28,ABB ROBOTICS
P1060,000070000046,Stamping Press,CC-4873,688854.05,Yaskawa Motoman
P1060,000070000047,,CC-4874,71816.37,Hexagon
P1060,000070000048,Stamping Press,CC-4875,674965.88,KUKA AG
P1060,000070000049,Overhead Gantry Loader,CC-4876,145627.03,KUKA AG
P1060,000070000050,Palletizing Robot,CC-4874,165840.16,DMG MORI
P1060,000070000051,Leak Test Station,CC-4875,49581.57,kuka ag
P1060,000070000052,Overhead Gantry Loader,CC-4874,87635.27,Lincoln
P1060,000070000053,Paint Application Robot,CC-4876,328030.90,KUKA AG
P1060,000070000054,Riveting Station,CC-4876,49325.33,KUKA
P1060,000070000055,,CC-4875,47540.87,ABB ROBOTICS
P1060,000070000056,Torque Application Unit,CC-4876,28728.13,KUKA
