PROD_LINE,PROC_NUMBER,PROC_NAME_LOCAL,STATION_ID,EQUIP_REF,PRODUCT_REF,MATERIAL_REF
L01,PR-0078,Assembly - Floor Pan,S01,000070000001,,
L01,PR-0017,Blank Cutting,S01,000070000002,,
L01,PR-0176,Dashboard Assembly Coating,S01,000070000003,,
L01,PR-0100,Machining - Brake Caliper,S02,000070000004,,
L01,PR-0002,RSW Operation,S02,000070000005,,
L01,PR-0153,Suspension Arm Drilling,S03,000070000006,,
L01,PR-0008,Clearcoat Application,S03,000070000007,,
L02,PR-0001,Bead Application,S01,,,
L02,PR-0002,RSW Operation,S02,000070000008,,
L03,PR-0031,Transmission Housing Stamping,S01,000070000009,,
L03,PR-0186,Finishing - Glass Panel,S01,000070000010,,
L03,PR-0008,Clearcoat Application,S01,000070000011,,
L03,PR-0016,Panel Stamping,S02,000070000012,,
L03,PR-0003,Torque Tightening,S02,000070000013,,
L03,PR-0081,Dispensing - Steering Column,S02,000070000014,,
L04,PR-0001,Bead Application,S01,000070000015,,
L04,PR-0017,Blank Cutting,S02,000070000016,,
L04,PR-0018,Draw Forming,S03,000070000018,,
L04,PR-0001,Bead Application,S04,000070000019,,
L04,PR-0141,Suspension Arm Fastening,S04,000070000020,,
L05,PR-0172,Center Console Fastening,S01,000070000021,,
L05,PR-0009,Cell Stack Assembly,S01,000070000022,,
L05,PR-0040,Glass Panel Forming,S02,000070000023,,
L05,PR-0082,Curing - Steering Column,S03,000070000024,,
L05,PR-0001,Bead Application,S03,000070000025,,
L05,PR-0001,Bead Application,S03,000070000026,,
L06,PR-0032,Testing - Fuel Rail,S01,,,
L06,PR-0015,Motor Coil Winding,S02,,,
L06,PR-0030,Cylinder Boring,S02,,,
L06,PR-0016,Panel Stamping,S02,000070000027,,
L07,PR-0040,Glass Panel Forming,S01,000070000028,,
L07,PR-0001,Bead Application,S02,000070000029,,
L07,PR-0002,RSW Operation,S02,000070000030,,
L07,PR-0002,RSW Operation,S03,000070000031,,
L07,PR-0006,Electrocoat Dip,S03,000070000032,,
L07,PR-0049,Abrasive Finishing - Door Module,S03,000070000033,,
L07,PR-0074,Radiator Core Alignment,S04,000070000034,,
L07,PR-0006,Electrocoat Dip,S04,000070000035,,
L07,PR-0019,Trim and Pierce Operation,S04,000070000036,,
L08,PR-0003,Torque Tightening,S01,000070000037,,
L08,PR-0009,Cell Stack Assembly,S01,000070000038,,
L08,PR-0142,Securing - Body Panel,S02,000070000039,,
L08,PR-0003,Torque Tightening,S02,,,
