QualityRecordID,Part_No,Defect_Type,Station_Ref,DispositionCode,PPM,EightD_Stage
NCR-DE-00001,MER-FENDERS-0008,DIM-GAP-FLUSH,PS-S02,Use-As-Is,119,Open-D5
NCR-DE-00002,MER-CHARGING-CABLE-0040,PAINT-ORANGE-PEEL,PS-S02,Use-As-Is,498,Open-D5
NCR-DE-00003,MER-HEADLINER-0020,DIM-OUT-OF-TOLERANCE,PS-S04,Rework,486,Open-D8
NCR-DE-00004,MER-REAR-SUSPENSION-0011,WELD-POROSITY,PS-S01,Rework,361,Closed
NCR-DE-00005,MER-SEATS-0016,SURFACE-SCRATCH,PS-S02,Rework,336,Closed
NCR-DE-00006,MER-BRAKE-SYSTEM-0012,PAINT-ORANGE-PEEL,PS-S02,Rework,274,Closed
NCR-DE-00007,MER-DOORS-0004,ELEC-CONNECTOR-MISMATE,PS-S04,Rework,360,Open-D8
NCR-DE-00008,MER-VEH-SUV-0001,ELEC-CONNECTOR-MISMATE,PS-S02,Scrap,59,Closed
NCR-DE-00009,MER-WHEELS-0014,PAINT-ORANGE-PEEL,PS-S03,Use-As-Is,489,Closed
NCR-DE-00010,MER-HEADLINER-0020,PAINT-RUNS,PS-S01,Rework,89,Closed
NCR-DE-00011,MER-BODY-SHELL-0003,DIM-GAP-FLUSH,PS-S03,Rework,91,Closed
NCR-DE-00012,MER-REAR-SUSPENSION-0011,ELEC-OPEN-CIRCUIT,PS-S01,Use-As-Is,175,Closed
NCR-DE-00013,MER-MUFFLER-0041,PAINT-ORANGE-PEEL,PS-S01,Use-As-Is,473,Closed
NCR-DE-00014,MER-DOOR-PANELS-0019,WELD-POROSITY,PS-S01,Use-As-Is,30,Closed
NCR-DE-00015,MER-REAR-SUSPENSION-0011,ASSY-MISSING-FASTENER,PS-S02,Rework,91,Closed
NCR-DE-00016,MER-FUEL-INJECTOR-0038,PAINT-ORANGE-PEEL,PS-S02,Rework,282,Open-D3
NCR-DE-00017,MER-BUMPER-FRONT-0006,DIM-OUT-OF-TOLERANCE,PS-S03,Rework,424,Open-D8
NCR-DE-00018,MER-FUEL-INJECTOR-0038,ELEC-SHORT-CIRCUIT,PS-S03,Rework,497,Closed
NCR-DE-00019,MER-CATALYTIC-CONVER-0040,WELD-UNDERCUT,PS-S03,Rework,255,Closed
NCR-DE-00020,MER-BUMPER-FRONT-0006,ELEC-CONNECTOR-MISMATE,PS-S02,Rework,455,Open-D4
NCR-DE-00021,MER-DOOR-PANELS-0019,WELD-UNDERCUT,PS-S01,Rework,328,Open-D6
NCR-DE-00022,MER-DOOR-PANELS-0019,ASSY-WRONG-PART,PS-S02,Rework,78,Open-D8
NCR-DE-00023,MER-FENDERS-0008,SEAL-LEAK,PS-S03,Scrap,79,Open-D3
NCR-DE-00024,MER-BODY-SHELL-0003,WELD-UNDERCUT,PS-S03,Scrap,242,Open-D1
NCR-DE-00025,MER-DASHBOARD-0017,SURFACE-SCRATCH,PS-S02,Rework,90,Closed
