Characteristic_No,Station_Ref,Value,UpperSpecLimit,LowerSpecLimit,ProcessCapability
K1001,S01,191.369,196.755,186.869,1.24
K1001,S01,194.58,196.755,186.869,1.24
K1002,S02,190.845,191.177,189.657,0.79
K1002,S02,190.225,191.177,189.657,0.79
K1002,S02,190.012,191.177,189.657,0.79
K1002,S02,190.369,191.177,189.657,0.79
K1003,S02,150.853,153.48,146.574,1.44
K1003,S02,149.29,153.48,146.574,1.44
K1003,S02,150.289,153.48,146.574,1.44
K1003,S02,150.721,153.48,146.574,1.44
K1004,S02,192.472,194.481,190.549,1.35
K1004,S02,192.907,194.481,190.549,1.35
K1005,S03,60.544,63.454,55.461,0.93
K1005,S03,57.483,63.454,55.461,0.93
K1005,S03,61.189,63.454,55.461,0.93
K1006,S03,92.793,95.918,85.95,1.86
K1006,S03,91.662,95.918,85.95,1.86
K1006,S03,90.013,95.918,85.95,1.86
K1006,S03,89.661,95.918,85.95,1.86
K1006,S03,90.217,95.918,85.95,1.86
K1007,S03,56.127,59.019,53.174,1.86
K1007,S03,55.962,59.019,53.174,1.86
K1007,S03,56.174,59.019,53.174,1.86
K1007,S03,56.039,59.019,53.174,1.86
K1008,S01,188.885,193.437,184.383,2.1
K1008,S01,188.87,193.437,184.383,2.1
K1008,S01,188.925,193.437,184.383,2.1
K1008,S01,189.676,193.437,184.383,2.1
K1009,S01,29.901,34.093,25.054,1.97
K1009,S01,30.523,34.093,25.054,1.97
K1009,S01,29.383,34.093,25.054,1.97
K1010,S02,25.076,27.187,23.694,1.17
K1010,S02,25.472,27.187,23.694,1.17
K1010,S02,24.927,27.187,23.694,1.17
K1010,S02,26.275,27.187,23.694,1.17
K1010,S02,25.625,27.187,23.694,1.17
K1011,S02,44.873,50.631,40.942,2.17
K1011,S02,45.426,50.631,40.942,2.17
K1011,S02,46.396,50.631,40.942,2.17
K1011,S02,45.42,50.631,40.942,2.17
K1011,S02,47.371,50.631,40.942,2.17
K1012,S02,46.09,49.125,43.252,1.54
K1012,S02,45.835,49.125,43.252,1.54
K1012,S02,46.322,49.125,43.252,1.54
K1013,S01,128.388,131.786,126.144,1.59
K1013,S01,127.528,131.786,126.144,1.59
K1013,S01,129.321,131.786,126.144,1.59
K1013,S01,128.339,131.786,126.144,1.59
K1013,S01,128.138,131.786,126.144,1.59
K1014,S01,33.338,36.897,28.898,2.17
K1014,S01,33.031,36.897,28.898,2.17
K1014,S01,33.598,36.897,28.898,2.17
K1014,S01,32.082,36.897,28.898,2.17
K1015,S01,75.418,79.144,72.362,1.44
K1015,S01,76.324,79.144,72.362,1.44
K1015,S01,76.056,79.144,72.362,1.44
K1015,S01,77.507,79.144,72.362,1.44
K1015,S01,75.458,79.144,72.362,1.44
K1016,S02,90.899,93.417,88.204,1.94
K1016,S02,90.566,93.417,88.204,1.94
K1017,S01,179.397,181.71,178.19,1.98
K1017,S01,180.394,181.71,178.19,1.98
K1017,S01,179.602,181.71,178.19,1.98
K1017,S01,179.966,181.71,178.19,1.98
K1018,S02,88.124,91.8,84.486,1.94
K1018,S02,88.224,91.8,84.486,1.94
K1019,S02,119.764,122.287,117.968,1.57
K1019,S02,119.791,122.287,117.968,1.57
K1019,S02,120.218,122.287,117.968,1.57
K1019,S02,120.176,122.287,117.968,1.57
K1020,S03,56.902,61.765,53.189,1.64
K1020,S03,58.722,61.765,53.189,1.64
K1021,S03,184.227,185.576,179.449,1.77
K1021,S03,182.529,185.576,179.449,1.77
K1021,S03,182.585,185.576,179.449,1.77
K1021,S03,182.743,185.576,179.449,1.77
K1021,S03,182.743,185.576,179.449,1.77
K1022,S04,184.917,189.436,179.443,2.14
K1022,S04,184.17,189.436,179.443,2.14
K1022,S04,184.219,189.436,179.443,2.14
K1022,S04,183.775,189.436,179.443,2.14
K1023,S04,137.017,137.835,136.376,0.66
K1023,S04,137.007,137.835,136.376,0.66
K1023,S04,137.031,137.835,136.376,0.66
K1024,S01,131.815,135.242,129.511,1.5
K1024,S01,132.302,135.242,129.511,1.5
K1025,S02,178.591,182.521,174.531,1.33
K1025,S02,179.08,182.521,174.531,1.33
K1025,S02,176.787,182.521,174.531,1.33
K1025,S02,177.974,182.521,174.531,1.33
K1026,S02,107.907,109.546,106.155,2.03
K1026,S02,107.963,109.546,106.155,2.03
K1026,S02,107.647,109.546,106.155,2.03
K1027,S02,33.198,35.084,31.477,2.19
K1027,S02,32.979,35.084,31.477,2.19
K1028,S03,57.505,61.111,54.846,1.1
K1028,S03,57.26,61.111,54.846,1.1
K1028,S03,58.995,61.111,54.846,1.1
K1028,S03,58.77,61.111,54.846,1.1
K1028,S03,58.294,61.111,54.846,1.1
K1029,S03,177.781,178.647,177.111,1.64
K1029,S03,177.777,178.647,177.111,1.64
K1030,S03,143.497,145.567,141.803,1.92
K1030,S03,143.993,145.567,141.803,1.92
K1030,S03,143.537,145.567,141.803,1.92
K1030,S03,143.91,145.567,141.803,1.92
K1030,S03,143.567,145.567,141.803,1.92
K1031,S01,177.73,180.782,171.713,1.1
K1031,S01,178.377,180.782,171.713,1.1
