MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-465446,A-26-5,2088,KANBAN-00001,Paint Shop DE,Assembly Plant DE
MAT-257839,D-22-2,3845,KANBAN-00002,Paint Shop DE,Assembly Plant DE
MAT-621706,C-18-3,4529,KANBAN-00003,Paint Shop DE,Assembly Plant DE
MAT-966657,C-15-3,2832,KANBAN-00004,Paint Shop DE,Assembly Plant DE
MAT-609972,F-04-5,2387,KANBAN-00005,Paint Shop DE,Assembly Plant DE
MAT-893316,B-02-3,2185,KANBAN-00006,Paint Shop DE,Assembly Plant DE
MAT-581988,D-27-2,3504,KANBAN-00007,Paint Shop DE,Assembly Plant DE
MAT-668521,B-01-1,4039,KANBAN-00008,Paint Shop DE,Assembly Plant DE
MAT-889790,G-18-2,3237,KANBAN-00009,Paint Shop DE,Assembly Plant DE
MAT-638906,E-16-2,4933,KANBAN-00010,Paint Shop DE,Assembly Plant DE
MAT-622552,C-27-3,4552,KANBAN-00011,Paint Shop DE,Assembly Plant DE
MAT-586278,G-21-2,872,KANBAN-00012,Paint Shop DE,Assembly Plant DE
MAT-593017,F-12-2,2514,KANBAN-00013,Paint Shop DE,Assembly Plant DE
MAT-571613,C-23-2,4305,KANBAN-00014,Paint Shop DE,Assembly Plant DE
MAT-498498,E-13-1,4054,KANBAN-00015,Paint Shop DE,Assembly Plant DE
MAT-287262,H-02-1,1954,KANBAN-00016,Paint Shop DE,Assembly Plant DE
MAT-716438,A-02-4,2709,KANBAN-00017,Paint Shop DE,Assembly Plant DE
MAT-373898,D-22-4,1346,KANBAN-00018,Paint Shop DE,Assembly Plant DE
MAT-100655,G-28-4,228,KANBAN-00019,Paint Shop DE,Assembly Plant DE
MAT-332648,C-05-1,4378,KANBAN-00020,Paint Shop DE,Assembly Plant DE
MAT-887052,C-21-3,4244,KANBAN-00021,Paint Shop DE,Assembly Plant DE
MAT-142209,G-22-2,3904,KANBAN-00022,Paint Shop DE,Assembly Plant DE
MAT-389627,A-11-1,4804,KANBAN-00023,Paint Shop DE,Assembly Plant DE
MAT-816627,H-27-1,1150,KANBAN-00024,Paint Shop DE,Assembly Plant DE
MAT-646734,G-09-3,2006,KANBAN-00025,Paint Shop DE,Assembly Plant DE
MAT-429276,A-17-4,338,KANBAN-00026,Paint Shop DE,Assembly Plant DE
MAT-395391,A-26-5,3332,KANBAN-00027,Paint Shop DE,Assembly Plant DE
MAT-645763,G-18-4,540,KANBAN-00028,Paint Shop DE,Assembly Plant DE
MAT-969344,D-22-4,1082,KANBAN-00029,Paint Shop DE,Assembly Plant DE
MAT-382902,E-29-5,4023,KANBAN-00030,Paint Shop DE,Assembly Plant DE
MAT-906254,A-19-3,3314,KANBAN-00031,Paint Shop DE,Assembly Plant DE
MAT-965409,F-04-4,598,KANBAN-00032,Paint Shop DE,Assembly Plant DE
MAT-866004,D-07-3,4768,KANBAN-00033,Paint Shop DE,Assembly Plant DE
MAT-671798,C-29-1,3178,KANBAN-00034,Paint Shop DE,Assembly Plant DE
MAT-461361,G-22-1,884,KANBAN-00035,Paint Shop DE,Assembly Plant DE
MAT-214552,F-18-3,2954,KANBAN-00036,Paint Shop DE,Assembly Plant DE
MAT-482177,C-14-4,4095,KANBAN-00037,Paint Shop DE,Assembly Plant DE
MAT-567374,D-09-3,533,KANBAN-00038,Paint Shop DE,Assembly Plant DE
MAT-645786,C-07-4,3759,KANBAN-00039,Paint Shop DE,Assembly Plant DE
MAT-218735,A-28-5,3268,KANBAN-00040,Paint Shop DE,Assembly Plant DE
MAT-330727,C-02-1,2479,KANBAN-00041,Paint Shop DE,Assembly Plant DE
MAT-801717,B-01-1,3820,KANBAN-00042,Paint Shop DE,Assembly Plant DE
MAT-637957,C-08-5,1049,KANBAN-00043,Paint Shop DE,Assembly Plant DE
MAT-520624,F-07-2,4172,KANBAN-00044,Paint Shop DE,Assembly Plant DE
MAT-227091,C-14-4,2452,KANBAN-00045,Paint Shop DE,Assembly Plant DE
MAT-168246,G-24-4,2763,KANBAN-00046,Paint Shop DE,Assembly Plant DE
MAT-876945,B-16-4,192,KANBAN-00047,Paint Shop DE,Assembly Plant DE
MAT-833503,E-16-3,3317,KANBAN-00048,Paint Shop DE,Assembly Plant DE
MAT-989875,A-06-5,3164,KANBAN-00049,Paint Shop DE,Assembly Plant DE
MAT-835994,G-06-3,3064,KANBAN-00050,Paint Shop DE,Assembly Plant DE
MAT-330542,G-04-3,2092,KANBAN-00051,Paint Shop DE,Assembly Plant DE
MAT-510395,F-04-1,982,KANBAN-00052,Paint Shop DE,Assembly Plant DE
MAT-658362,G-13-2,1826,KANBAN-00053,Paint Shop DE,Assembly Plant DE
MAT-957429,D-15-2,1851,KANBAN-00054,Paint Shop DE,Assembly Plant DE
MAT-787283,A-28-3,1317,KANBAN-00055,Paint Shop DE,Assembly Plant DE
MAT-927828,G-21-4,595,KANBAN-00056,Paint Shop DE,Assembly Plant DE
MAT-613361,B-24-4,2321,KANBAN-00057,Paint Shop DE,Assembly Plant DE
MAT-700627,B-11-3,2724,KANBAN-00058,Paint Shop DE,Assembly Plant DE
MAT-302388,E-28-3,3986,KANBAN-00059,Paint Shop DE,Assembly Plant DE
MAT-244163,B-25-4,127,KANBAN-00060,Paint Shop DE,Assembly Plant DE
MAT-245467,E-22-4,1496,KANBAN-00061,Paint Shop DE,Assembly Plant DE
