WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2090001,ASSET-00001,Preventive,,0,,000090000001
WO-2090002,ASSET-00001,Preventive,,0,,000090000001
WO-2090003,ASSET-00001,Corrective,BELT-FAILURE,93,830,000090000001
WO-2090004,ASSET-00001,Corrective,SENSOR-FAULT,189,1510,000090000001
WO-2090005,ASSET-00002,Corrective,CALIBRATION-DRIFT,103,1344,000090000002
WO-2090006,ASSET-00002,Preventive,,0,,000090000002
WO-2090007,ASSET-00002,Preventive,,0,,000090000002
WO-2090008,ASSET-00002,Corrective,BEARING-FAILURE,76,1350,000090000002
WO-2090009,ASSET-00003,Emergency,CALIBRATION-DRIFT,521,267,000090000003
WO-2090010,ASSET-00003,Preventive,,0,,000090000003
WO-2090011,ASSET-00003,Preventive,,0,,000090000003
WO-2090012,ASSET-00003,Emergency,PNEUMATIC-LEAK,178,1335,000090000003
WO-2090013,ASSET-00004,Preventive,,0,,
WO-2090014,ASSET-00004,Corrective,PNEUMATIC-LEAK,111,653,
WO-2090015,ASSET-00004,Preventive,,0,,
WO-2090016,ASSET-00005,Emergency,CONTROLLER-FAULT,257,469,000090000004
WO-2090017,ASSET-00005,Preventive,,0,,000090000004
WO-2090018,ASSET-00005,Preventive,,0,,000090000004
WO-2090019,ASSET-00005,Corrective,CALIBRATION-DRIFT,155,394,000090000004
WO-2090020,ASSET-00005,Preventive,,0,,000090000004
WO-2090021,ASSET-00005,Preventive,,0,,000090000004
WO-2090022,ASSET-00005,Corrective,MOTOR-BURNOUT,139,1023,000090000004
WO-2090023,ASSET-00005,Preventive,,0,,000090000004
WO-2090024,ASSET-00005,Emergency,PNEUMATIC-LEAK,109,537,000090000004
WO-2090025,ASSET-00005,Corrective,DIE-WEAR,142,205,000090000004
WO-2090026,ASSET-00006,Corrective,SPINDLE-SEIZURE,214,654,000090000005
WO-2090027,ASSET-00006,Preventive,,0,,000090000005
WO-2090028,ASSET-00006,Corrective,CALIBRATION-DRIFT,111,1116,000090000005
WO-2090029,ASSET-00006,Preventive,,0,,000090000005
