PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1080,000090000001,Leak Test Station,51721.04,Yaskawa Motoman
P1080,000090000002,Assembly Torque Wrench Station,25102.16,FANUC
P1080,000090000003,Vision Inspection Station,41008.17,ABB Robotics
P1080,000090000004,Injection Molding Machine,178041.47,Mazak Corporation
P1080,000090000005,Induction Heating Unit,67507.65,Bosch Rexroth
P1080,000090000006,Adhesive Dispensing Unit,62827.10,Hexagon AB
P1080,000090000007,Final Functional Test Bench,169280.10,KUKA
P1080,000090000008,Screw Fastening Station,39517.83,KUKA AG
P1080,000090000009,Torque Application Unit,23220.71,Mazak Corporation
P1080,000090000010,Injection Molding Machine,256757.65,KUKA
P1080,000090000011,Stamping Press,1156041.64,Dematic
P1080,000090000012,Coil Winding Machine,124030.14,KUKA
P1080,000090000013,Dimensional Measurement Arm,79100.28,FANUC Corporation
P1080,000090000014,Robotic Welding Cell,231644.80,KUKA AG
P1080,000090000015,Torque Application Unit,39867.98,Durr AG
P1080,000090000016,Conveyor System,115153.35,Miller Electric
P1080,000090000017,Ultrasonic Welding Station,26110.27,FANUC Corporation
P1080,000090000018,Final Functional Test Bench,98290.98,KUKA AG
P1080,000090000019,Robotic Welding Cell,198598.21,Miller Electric
P1080,000090000020,Palletizing Robot,74099.96,KUKA
P1080,000090000021,Vision Inspection Station,87921.38,hexagon ab
P1080,000090000022,Wheel Alignment Rig,72062.94,Yaskawa Motoman
P1080,000090000023,Assembly Torque Wrench Station,31617.45,KUKA AG
P1080,000090000024,,330191.41,KUKA
P1080,000090000025,Assembly Torque Wrench Station,30087.80,Siemens
P1080,000090000026,Palletizing Robot,131425.84,KUKA AG
P1080,000090000027,Stamping Press,929798.10,DMG
P1080,000090000028,Laser Welding Cell,212581.31,Yaskawa Motoman
P1080,000090000029,Battery Pack Assembly Cell,572681.93,abb robotics
P1080,000090000030,CNC Machining Center,255191.95,ABB Robotics
P1080,000090000031,Hydraulic Press,168566.16,KUKA AG
P1080,000090000032,CNC Machining Center,349356.95,MILLER ELECTRIC
P1080,000090000033,Overhead Gantry Loader,83987.16,ABB
P1080,000090000034,,25282.24,KUKA
P1080,000090000035,,315573.13,ABB
P1080,000090000036,Leak Test Station,58476.82,Lincoln Electric
P1080,000090000037,Wheel Alignment Rig,32523.52,Mazak
P1080,000090000038,Coil Winding Machine,142035.52,schuler group
P1080,000090000039,Paint Application Robot,206674.67,ABB Robotics
P1080,000090000040,Torque Application Unit,33754.57,ABB Robotics
P1080,000090000041,Torque Application Unit,29549.05,ABB Robotics
P1080,000090000042,Wheel Alignment Rig,80128.20,KUKA AG
P1080,000090000043,Battery Pack Assembly Cell,557519.83,Schuler
P1080,000090000044,Ultrasonic Welding Station,71931.49,KUKA AG
P1080,000090000045,Hydraulic Press,322945.39,kuka ag
P1080,000090000046,Assembly Torque Wrench Station,12850.05,Lincoln
P1080,000090000047,Coil Winding Machine,202026.36,AIDA Engineering
P1080,000090000048,Vision Inspection Station,57129.78,FANUC Corporation
P1080,000090000049,Vision Inspection Station,59098.38,Mazak Corporation
P1080,000090000050,Vision Inspection Station,81591.15,Mazak Corporation
P1080,000090000051,Conveyor System,40504.96,Eisenmann
P1080,000090000052,Stamping Press,317179.24,Haas
P1080,000090000053,Adhesive Dispensing Unit,86879.18,ABB
P1080,000090000054,Overhead Gantry Loader,177024.48,Yaskawa Motoman
P1080,000090000055,Torque Application Unit,15948.14,KUKA AG
P1080,000090000056,Ultrasonic Welding Station,59903.22,Lincoln
P1080,000090000057,Injection Molding Machine,174531.68,Dematic
P1080,000090000058,Ultrasonic Welding Station,28030.19,Kuka Ag
