PROD_LINE,PROC_NUMBER,PROC_NAME_LOCAL,STATION_ID,EQUIP_REF,PRODUCT_REF,MATERIAL_REF
L01,PR-0082,Curing - Steering Column,S01,000090000001,,
L01,PR-0094,Grinding - Chassis Frame,S01,000090000002,,
L01,PR-0015,Motor Coil Winding,S01,000090000003,,
L01,PR-0170,Forming - Dashboard Assembly,S02,,,
L01,PR-0012,Underbody Seam Sealing,S02,000090000004,,
L01,PR-0001,Dispensing Sealing Compound,S03,000090000005,,
L01,PR-0015,Motor Coil Winding,S03,000090000006,,
L02,PR-0054,Test - Chassis Frame,S01,000090000007,,
L02,PR-0184,Alignment - Door Module,S01,000090000008,,
L02,PR-0001,Dispensing Sealing Compound,S01,000090000009,,
L02,PR-0007,Colour Coat Application,S02,000090000010,,
L02,PR-0018,Draw Forming,S02,000090000011,,
L02,PR-0100,Machining - Brake Caliper,S02,000090000012,,
L02,PR-0038,Body Panel Alignment,S03,000090000013,,
L02,PR-0002,Spot Weld,S04,000090000014,,
L02,PR-0088,Roof Rail Drilling,S04,000090000015,,
L02,PR-0028,Gear Cutting Operation,S04,000090000016,,
L03,PR-0108,Shaping - Seat Frame,S01,000090000017,,
L03,PR-0076,Cutting - Center Console,S01,000090000018,,
L03,PR-0001,Dispensing Sealing Compound,S02,,,
L03,PR-0159,Boring - Brake Caliper,S02,000090000019,,
L03,PR-0008,Clearcoat Application,S03,000090000020,,
L04,PR-0181,Curing - Hood Panel,S01,000090000021,,
L04,PR-0002,Spot Weld,S01,000090000022,,
L04,PR-0059,Drilling - Trunk Lid,S02,000090000023,,
L04,PR-0003,Torque Tightening,S02,000090000024,,
L04,PR-0001,Dispensing Sealing Compound,S02,000090000025,,
L05,PR-0194,Dashboard Assembly Curing,S01,000090000026,,
L05,PR-0003,Torque Tightening,S02,000090000027,,
L05,PR-0001,Dispensing Sealing Compound,S02,000090000028,,
L05,PR-0088,Roof Rail Drilling,S02,,,
L05,PR-0007,Colour Coat Application,S03,,,
L05,PR-0017,Blank Cutting,S04,000090000029,,
L05,PR-0183,Test - Exhaust Manifold,S04,000090000030,,
L05,PR-0009,Stacking Operation,S04,000090000031,,
L06,PR-0001,Dispensing Sealing Compound,S01,000090000032,,
L06,PR-0033,Glass Panel Machining,S01,000090000033,,
L06,PR-0037,Inspection - Glass Panel,S02,,,
L06,PR-0002,Spot Weld,S02,000090000034,,
L06,PR-0014,Toe & Camber Setting,S02,000090000035,,
L06,PR-0005,Leak Test,S03,000090000036,,
L06,PR-0001,Dispensing Sealing Compound,S03,000090000037,,
L07,PR-0003,Torque Tightening,S01,000090000038,,
L07,PR-0118,Seal Application - Trunk Lid,S01,000090000039,,
L07,PR-0003,Torque Tightening,S02,000090000040,,
L07,PR-0002,Spot Weld,S02,000090000041,,
L07,PR-0142,Securing - Body Panel,S02,000090000042,,
L07,PR-0005,Leak Test,S03,000090000043,,
L07,PR-0141,Suspension Arm Fastening,S03,000090000044,,
L07,PR-0099,QC Review - Bumper Fascia,S04,000090000045,,
L08,PR-0009,Stacking Operation,S01,000090000046,,
L08,PR-0005,Leak Test,S01,000090000047,,
L08,PR-0001,Dispensing Sealing Compound,S02,000090000048,,
L08,PR-0002,Spot Weld,S02,000090000049,,
L08,PR-0002,Spot Weld,S03,000090000051,,
L08,PR-0009,Stacking Operation,S04,,,
L09,PR-0005,Leak Test,S01,000090000052,,
L09,PR-0062,Trimming - Wheel Hub,S02,,,
L09,PR-0003,Torque Tightening,S02,000090000053,,
L09,PR-0007,Colour Coat Application,S02,000090000054,,
L09,PR-0001,Dispensing Sealing Compound,S03,000090000055,,
L09,PR-0003,Torque Tightening,S03,000090000056,,
L09,PR-0056,Bumper Fascia Curing,S03,,,
L10,PR-0036,Molding - Hood Panel,S01,000090000057,,
L10,PR-0006,Cathodic Dip Coating,S01,,,
L10,PR-0017,Blank Cutting,S01,000090000058,,
L10,PR-0008,Clearcoat Application,S02,000090000059,,
L10,PR-0108,Shaping - Seat Frame,S02,000090000060,,
L10,PR-0006,Cathodic Dip Coating,S03,000090000061,,
L10,PR-0039,Coating - Hood Panel,S04,000090000062,,
L10,PR-0002,Spot Weld,S04,,,
L11,PR-0007,Colour Coat Application,S01,,,
L11,PR-0013,Door Fitment,S01,000090000063,,
L11,PR-0001,Dispensing Sealing Compound,S01,000090000064,,
L11,PR-0018,Draw Forming,S02,000090000065,,
L11,PR-0016,Sheet Metal Forming,S03,000090000066,,
L11,PR-0001,Dispensing Sealing Compound,S03,000090000067,,
L12,PR-0199,Dispensing - Transmission Housing,S01,000090000068,,
L12,PR-0001,Dispensing Sealing Compound,S02,000090000069,,
L12,PR-0108,Shaping - Seat Frame,S03,000090000070,,
L12,PR-0010,Cable Routing,S03,000090000071,,
L13,PR-0002,Spot Weld,S01,000090000072,,
L13,PR-0001,Dispensing Sealing Compound,S02,000090000073,,
L13,PR-0034,Chassis Frame Molding,S02,,,
L14,PR-0047,Sealing - Engine Block,S01,000090000074,,
L14,PR-0029,Connector Termination,S01,000090000075,,
L14,PR-0007,Colour Coat Application,S02,000090000076,,
L15,PR-0002,Spot Weld,S01,000090000077,,
L15,PR-0058,Moulding - Transmission Housing,S01,000090000078,,
L15,PR-0094,Grinding - Chassis Frame,S02,000090000079,,
L15,PR-0006,Cathodic Dip Coating,S02,000090000080,,
L15,PR-0079,Trunk Lid Assembly,S02,000090000081,,
L16,PR-0024,Circuit Board Assembly,S01,000090000082,,
L16,PR-0012,Underbody Seam Sealing,S01,,,
L16,PR-0020,Wire Crimping,S01,,,
L16,PR-0001,Dispensing Sealing Compound,S02,000090000083,,
L16,PR-0001,Dispensing Sealing Compound,S02,000090000084,,
L16,PR-0040,Shaping - Glass Panel,S03,000090000085,,
L16,PR-0168,Weld - Trunk Lid,S03,000090000086,,
L17,PR-0011,End-of-Line Test,S01,000090000087,,
L17,PR-0001,Dispensing Sealing Compound,S01,000090000088,,
L17,PR-0001,Dispensing Sealing Compound,S01,000090000089,,
L17,PR-0009,Stacking Operation,S02,000090000090,,
L17,PR-0027,Crankshaft Machining,S02,,,
L17,PR-0001,Dispensing Sealing Compound,S02,000090000091,,
L17,PR-0001,Dispensing Sealing Compound,S03,000090000092,,
L17,PR-0041,Finishing - Body Panel,S03,000090000093,,
L17,PR-0001,Dispensing Sealing Compound,S03,000090000094,,
L18,PR-0007,Colour Coat Application,S01,000090000095,,
L18,PR-0042,Assembly - Wire Harness,S01,000090000096,,
L18,PR-0001,Dispensing Sealing Compound,S02,000090000097,,
L18,PR-0008,Clearcoat Application,S02,000090000098,,
L18,PR-0001,Dispensing Sealing Compound,S03,000090000099,,
L18,PR-0004,Visual Inspection,S03,000090000100,,
L18,PR-0120,Packing - Rear Axle,S03,000090000101,,
L18,PR-0032,Testing - Fuel Rail,S04,000090000102,,
