QualityRecordID,Part_No,Defect_Type,Station_Ref,DispositionCode,PPM,EightD_Stage
NCR-PL-00001,MER-BODY-SHELL-0003,DIM-OUT-OF-TOLERANCE,SEAT-S01,Use-As-Is,224,Closed
NCR-PL-00002,MER-INFOTAINMENT-UNI-0025,ELEC-OPEN-CIRCUIT,SEAT-S02,Rework,441,Closed
NCR-PL-00003,MER-BUMPER-FRONT-0006,ASSY-WRONG-PART,SEAT-S02,Rework,249,Open-D8
NCR-PL-00004,MER-DOORS-0004,MATERIAL-CONTAMINATION,SEAT-S03,Use-As-Is,483,Closed
NCR-PL-00005,MER-FENDERS-0008,ELEC-SHORT-CIRCUIT,SEAT-S02,Scrap,331,Closed
NCR-PL-00006,MER-FUEL-INJECTOR-0038,WELD-UNDERCUT,SEAT-S02,Rework,449,Closed
NCR-PL-00007,MER-PISTONS-0030,PAINT-BLISTER,SEAT-S01,Scrap,126,Closed
NCR-PL-00008,MER-CHARGING-CABLE-0040,DIM-GAP-FLUSH,SEAT-S01,Use-As-Is,46,Closed
NCR-PL-00009,MER-BATTERY-CELL-MOD-0027,WELD-MISALIGN,SEAT-S04,Use-As-Is,78,Open-D3
NCR-PL-00010,MER-LOW-VOLTAGE-BATT-0023,ELEC-SHORT-CIRCUIT,SEAT-S01,Rework,497,Closed
NCR-PL-00011,MER-DOOR-PANELS-0019,ELEC-CONNECTOR-MISMATE,SEAT-S01,Scrap,89,Open-D1
NCR-PL-00012,MER-HOOD-0005,PAINT-BLISTER,SEAT-S02,Scrap,450,Closed
NCR-PL-00013,MER-GEAR-SET-0034,ELEC-CONNECTOR-MISMATE,SEAT-S02,Rework,227,Closed
NCR-PL-00014,MER-PISTONS-0030,SEAL-LEAK,SEAT-S02,Scrap,420,Closed
NCR-PL-00015,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,SEAT-S02,Rework,318,Open-D1
NCR-PL-00016,MER-ROTOR-0032,SURFACE-SCRATCH,SEAT-S04,Rework,333,Closed
NCR-PL-00017,MER-GEARBOX-HOUSING-0032,SEAL-LEAK,SEAT-S01,Scrap,70,Closed
NCR-PL-00018,MER-CRANKSHAFT-0029,PAINT-RUNS,SEAT-S01,Use-As-Is,154,Closed
NCR-PL-00019,MER-BUMPER-FRONT-0006,ASSY-CROSS-THREAD,SEAT-S02,Scrap,42,Closed
NCR-PL-00020,MER-INFOTAINMENT-UNI-0025,MATERIAL-CONTAMINATION,SEAT-S02,Use-As-Is,160,Closed
NCR-PL-00021,MER-BATTERY-MANAGEME-0028,SEAL-LEAK,SEAT-S02,Rework,51,Open-D6
NCR-PL-00022,MER-DASHBOARD-0017,DIM-GAP-FLUSH,SEAT-S02,Rework,281,Open-D8
NCR-PL-00023,MER-FENDERS-0008,PAINT-BLISTER,SEAT-S01,Scrap,496,Open-D8
NCR-PL-00024,MER-DASHBOARD-0017,WELD-UNDERCUT,SEAT-S02,Rework,233,Closed
NCR-PL-00025,MER-GEARBOX-HOUSING-0032,WELD-MISALIGN,SEAT-S01,Rework,223,Open-D2
NCR-PL-00026,MER-CRANKSHAFT-0029,MATERIAL-CONTAMINATION,SEAT-S02,Rework,337,Open-D7
NCR-PL-00027,MER-DASHBOARD-0017,SURFACE-SCRATCH,SEAT-S02,Scrap,120,Closed
NCR-PL-00028,MER-BRAKE-SYSTEM-0012,DIM-GAP-FLUSH,SEAT-S02,Rework,479,Closed
NCR-PL-00029,MER-BODY-SHELL-0003,MATERIAL-CONTAMINATION,SEAT-S03,Use-As-Is,405,Closed
NCR-PL-00030,MER-WHEELS-0014,ASSY-MISSING-FASTENER,SEAT-S04,Rework,180,Closed
NCR-PL-00031,MER-CYLINDER-HEAD-0028,WELD-POROSITY,SEAT-S01,Scrap,222,Closed
NCR-PL-00032,MER-GEAR-SET-0034,ELEC-OPEN-CIRCUIT,SEAT-S01,Rework,276,Closed
NCR-PL-00033,MER-BRAKE-SYSTEM-0012,MATERIAL-CONTAMINATION,SEAT-S01,Scrap,80,Closed
NCR-PL-00034,MER-DASHBOARD-0017,ASSY-MISSING-FASTENER,SEAT-S03,Rework,251,Open-D7
NCR-PL-00035,MER-HEADLINER-0020,PAINT-ORANGE-PEEL,SEAT-S01,Rework,457,Open-D5
NCR-PL-00036,MER-SEATS-0016,ASSY-CROSS-THREAD,SEAT-S04,Rework,281,Open-D3
NCR-PL-00037,MER-DASHBOARD-0017,PAINT-RUNS,SEAT-S01,Rework,31,Open-D3
NCR-PL-00038,MER-GEARBOX-HOUSING-0032,ELEC-SHORT-CIRCUIT,SEAT-S02,Rework,496,Closed
NCR-PL-00039,MER-CYLINDER-HEAD-0028,MATERIAL-CONTAMINATION,SEAT-S01,Use-As-Is,104,Closed
NCR-PL-00040,MER-SEATS-0016,DIM-GAP-FLUSH,SEAT-S02,Scrap,453,Closed
NCR-PL-00041,MER-DOORS-0004,WELD-MISALIGN,SEAT-S03,Rework,27,Closed
NCR-PL-00042,MER-CYLINDER-BLOCK-0027,ELEC-OPEN-CIRCUIT,SEAT-S02,Rework,244,Open-D4
NCR-PL-00043,MER-REAR-SUSPENSION-0011,ASSY-CROSS-THREAD,SEAT-S01,Scrap,118,Open-D7
NCR-PL-00044,MER-HOOD-0005,PAINT-RUNS,SEAT-S01,Rework,277,Closed
NCR-PL-00045,MER-SEATS-0016,ASSY-WRONG-PART,SEAT-S02,Scrap,56,Open-D2
NCR-PL-00046,MER-CYLINDER-BLOCK-0027,PAINT-BLISTER,SEAT-S03,Use-As-Is,106,Open-D1
NCR-PL-00047,MER-DOORS-0004,SURFACE-SCRATCH,SEAT-S02,Use-As-Is,94,Closed
NCR-PL-00048,MER-BODY-SHELL-0003,PAINT-ORANGE-PEEL,SEAT-S02,Scrap,443,Closed
NCR-PL-00049,MER-HEADLINER-0020,WELD-POROSITY,SEAT-S03,Rework,314,Open-D5
NCR-PL-00050,MER-PISTONS-0030,ASSY-CROSS-THREAD,SEAT-S01,Rework,414,Closed
NCR-PL-00051,MER-STEERING-SYSTEM-0013,PAINT-BLISTER,SEAT-S01,Scrap,213,Closed
NCR-PL-00052,MER-BUMPER-FRONT-0006,PAINT-RUNS,SEAT-S01,Rework,367,Closed
NCR-PL-00053,MER-MUFFLER-0041,WELD-UNDERCUT,SEAT-S04,Use-As-Is,320,Closed
NCR-PL-00054,MER-CENTER-CONSOLE-0018,ASSY-CROSS-THREAD,SEAT-S04,Rework,497,Open-D7
NCR-PL-00055,MER-GEAR-SET-0034,WELD-UNDERCUT,SEAT-S01,Rework,453,Closed
NCR-PL-00056,MER-INFOTAINMENT-UNI-0025,PAINT-ORANGE-PEEL,SEAT-S01,Rework,233,Closed
NCR-PL-00057,MER-CENTER-CONSOLE-0018,ASSY-WRONG-PART,SEAT-S02,Scrap,328,Open-D5
NCR-PL-00058,MER-STEERING-SYSTEM-0013,PAINT-BLISTER,SEAT-S03,Rework,222,Closed
NCR-PL-00059,MER-LIGHTING-SYSTEM-0024,ELEC-OPEN-CIRCUIT,SEAT-S03,Scrap,459,Closed
NCR-PL-00060,MER-VEH-COMPACT-0001,PAINT-ORANGE-PEEL,SEAT-S03,Scrap,272,Closed
NCR-PL-00061,MER-FUEL-INJECTOR-0038,ELEC-CONNECTOR-MISMATE,SEAT-S03,Scrap,343,Closed
NCR-PL-00062,MER-CATALYTIC-CONVER-0040,ASSY-CROSS-THREAD,SEAT-S01,Use-As-Is,395,Open-D3
