CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,59.983,63.918,56.238,1.84
K1001,S01,59.968,63.918,56.238,1.84
K1001,S01,60.496,63.918,56.238,1.84
K1001,S01,61.308,63.918,56.238,1.84
K1001,S01,60.516,63.918,56.238,1.84
K1002,S01,68.075,68.719,66.295,1.92
K1002,S01,67.858,68.719,66.295,1.92
K1002,S01,67.626,68.719,66.295,1.92
K1002,S01,67.222,68.719,66.295,1.92
K1002,S01,67.882,68.719,66.295,1.92
K1003,S01,197.578,200.24,195.988,1.16
K1003,S01,197.847,200.24,195.988,1.16
K1003,S01,198.476,200.24,195.988,1.16
K1003,S01,197.736,200.24,195.988,1.16
K1003,S01,197.665,200.24,195.988,1.16
K1004,S02,57.904,60.529,55.229,1.75
K1004,S02,57.54,60.529,55.229,1.75
K1004,S02,57.877,60.529,55.229,1.75
K1005,S02,97.518,99.971,93.99,1.15
K1005,S02,97.017,99.971,93.99,1.15
K1005,S02,96.499,99.971,93.99,1.15
K1005,S02,98.557,99.971,93.99,1.15
K1005,S02,96.38,99.971,93.99,1.15
K1006,S03,93.772,94.581,91.675,0.89
K1006,S03,92.62,94.581,91.675,0.89
K1007,S03,132.122,134.087,130.512,1.73
K1007,S03,132.3,134.087,130.512,1.73
K1007,S03,132.098,134.087,130.512,1.73
K1007,S03,131.586,134.087,130.512,1.73
K1008,S03,123.358,123.798,122.79,0.97
K1008,S03,123.436,123.798,122.79,0.97
K1008,S03,123.113,123.798,122.79,0.97
K1009,S01,57.228,60.349,52.72,1.7
K1009,S01,56.664,60.349,52.72,1.7
K1010,S02,96.361,97.606,95.291,2.01
K1010,S02,95.979,97.606,95.291,2.01
K1010,S02,96.315,97.606,95.291,2.01
K1011,S02,19.451,20.838,17.523,1.19
K1011,S02,19.641,20.838,17.523,1.19
K1012,S03,51.924,55.305,48.244,1.72
K1012,S03,52.406,55.305,48.244,1.72
K1012,S03,51.927,55.305,48.244,1.72
K1013,S03,92.542,93.233,91.684,0.87
K1013,S03,92.433,93.233,91.684,0.87
K1014,S03,130.922,131.567,130.036,1.85
K1014,S03,130.93,131.567,130.036,1.85
K1014,S03,130.58,131.567,130.036,1.85
K1014,S03,131.099,131.567,130.036,1.85
K1015,S04,82.18,85.868,79.447,1.62
K1015,S04,82.732,85.868,79.447,1.62
K1015,S04,81.705,85.868,79.447,1.62
K1015,S04,81.73,85.868,79.447,1.62
K1016,S04,128.945,130.832,125.983,1.46
K1016,S04,128.67,130.832,125.983,1.46
K1016,S04,128.693,130.832,125.983,1.46
K1016,S04,128.441,130.832,125.983,1.46
K1016,S04,128.224,130.832,125.983,1.46
K1017,S04,153.782,155.036,152.58,0.98
K1017,S04,153.502,155.036,152.58,0.98
K1017,S04,153.26,155.036,152.58,0.98
K1017,S04,154.157,155.036,152.58,0.98
K1018,S01,80.575,81.39,78.238,1.65
K1018,S01,79.731,81.39,78.238,1.65
K1018,S01,79.606,81.39,78.238,1.65
K1018,S01,79.186,81.39,78.238,1.65
K1018,S01,79.919,81.39,78.238,1.65
K1019,S01,166.73,167.76,164.769,1.3
K1019,S01,166.561,167.76,164.769,1.3
K1019,S01,166.477,167.76,164.769,1.3
K1019,S01,166.19,167.76,164.769,1.3
K1019,S01,166.509,167.76,164.769,1.3
K1020,S02,16.316,17.882,15.376,0.6
K1020,S02,16.836,17.882,15.376,0.6
K1020,S02,16.281,17.882,15.376,0.6
K1020,S02,15.926,17.882,15.376,0.6
K1020,S02,16.558,17.882,15.376,0.6
K1021,S02,96.289,98.207,93.331,1.08
K1021,S02,95.406,98.207,93.331,1.08
K1021,S02,94.416,98.207,93.331,1.08
K1022,S03,139.15,141.13,136.869,0.71
K1022,S03,139.288,141.13,136.869,0.71
K1022,S03,140.303,141.13,136.869,0.71
K1022,S03,138.393,141.13,136.869,0.71
K1022,S03,137.461,141.13,136.869,0.71
K1023,S03,156.519,159.293,152.024,1.7
K1023,S03,156.195,159.293,152.024,1.7
K1023,S03,155.875,159.293,152.024,1.7
K1023,S03,156.357,159.293,152.024,1.7
K1023,S03,156.176,159.293,152.024,1.7
K1024,S03,19.972,20.869,18.623,1.63
K1024,S03,19.833,20.869,18.623,1.63
K1024,S03,20.174,20.869,18.623,1.63
K1024,S03,19.731,20.869,18.623,1.63
K1025,S01,147.954,149.404,145.886,1.28
K1025,S01,147.249,149.404,145.886,1.28
K1026,S02,141.349,144.517,135.252,0.94
K1026,S02,136.824,144.517,135.252,0.94
K1026,S02,141.901,144.517,135.252,0.94
K1026,S02,141.828,144.517,135.252,0.94
K1027,S02,132.198,133.677,128.943,0.8
K1027,S02,131.277,133.677,128.943,0.8
K1027,S02,129.741,133.677,128.943,0.8
K1027,S02,131.704,133.677,128.943,0.8
K1028,S02,146.965,149.846,144.446,1.23
K1028,S02,148.272,149.846,144.446,1.23
K1028,S02,147.211,149.846,144.446,1.23
K1028,S02,146.494,149.846,144.446,1.23
K1029,S01,185.338,191.347,182.67,1.07
K1029,S01,188.738,191.347,182.67,1.07
K1029,S01,186.29,191.347,182.67,1.07
K1030,S01,197.815,198.603,197.491,0.68
K1030,S01,198.503,198.603,197.491,0.68
K1030,S01,198.08,198.603,197.491,0.68
K1031,S02,26.705,31.654,22.296,2.11
K1031,S02,27.313,31.654,22.296,2.11
K1032,S03,103.652,104.199,102.867,1.67
K1032,S03,103.528,104.199,102.867,1.67
K1032,S03,103.676,104.199,102.867,1.67
K1033,S04,87.017,92.839,87.796,0.66
K1033,S04,91.226,92.839,87.796,0.66
K1034,S01,164.079,167.697,158.654,1.03
K1034,S01,164.242,167.697,158.654,1.03
K1034,S01,163.599,167.697,158.654,1.03
K1035,S01,79.495,80.612,77.369,2.02
K1035,S01,78.76,80.612,77.369,2.02
K1036,S02,186.456,189.686,184.247,2.09
K1036,S02,186.158,189.686,184.247,2.09
K1036,S02,186.758,189.686,184.247,2.09
K1036,S02,186.932,189.686,184.247,2.09
K1036,S02,186.775,189.686,184.247,2.09
K1037,S03,182.631,184.652,181.038,2.19
K1037,S03,182.907,184.652,181.038,2.19
K1037,S03,182.658,184.652,181.038,2.19
K1037,S03,183.095,184.652,181.038,2.19
K1038,S03,79.778,81.367,72.427,0.94
K1038,S03,79.481,81.367,72.427,0.94
K1038,S03,73.653,81.367,72.427,0.94
K1038,S03,77.167,81.367,72.427,0.94
