PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-918602,C-29-5,1927,Seating & Interior Plant PL,Assembly Plant DE
MAT-499022,F-03-1,3055,Seating & Interior Plant PL,Assembly Plant DE
MAT-312100,A-23-1,3255,Seating & Interior Plant PL,Assembly Plant DE
MAT-465951,B-09-4,2429,Seating & Interior Plant PL,Assembly Plant DE
MAT-582592,G-06-4,267,Seating & Interior Plant PL,Assembly Plant DE
MAT-328398,E-03-2,1244,Seating & Interior Plant PL,Assembly Plant DE
MAT-678412,C-12-2,1465,Seating & Interior Plant PL,Assembly Plant DE
MAT-756107,D-15-1,3766,Seating & Interior Plant PL,Assembly Plant DE
MAT-225606,A-11-2,4958,Seating & Interior Plant PL,Assembly Plant DE
MAT-491531,A-07-4,2676,Seating & Interior Plant PL,Assembly Plant DE
MAT-516025,C-28-1,3131,Seating & Interior Plant PL,Assembly Plant DE
MAT-860381,B-23-1,3190,Seating & Interior Plant PL,Assembly Plant DE
MAT-818246,H-16-4,828,Seating & Interior Plant PL,Assembly Plant DE
MAT-657497,H-26-4,727,Seating & Interior Plant PL,Assembly Plant DE
MAT-841033,F-09-2,3787,Seating & Interior Plant PL,Assembly Plant DE
MAT-421629,D-16-3,2724,Seating & Interior Plant PL,Assembly Plant DE
MAT-189019,D-07-2,3245,Seating & Interior Plant PL,Assembly Plant DE
MAT-285699,C-07-5,1959,Seating & Interior Plant PL,Assembly Plant DE
MAT-677223,C-13-3,2632,Seating & Interior Plant PL,Assembly Plant DE
MAT-557660,D-14-4,3006,Seating & Interior Plant PL,Assembly Plant DE
MAT-764175,A-13-1,4220,Seating & Interior Plant PL,Assembly Plant DE
MAT-355171,H-17-4,4909,Seating & Interior Plant PL,Assembly Plant DE
MAT-398586,H-09-2,3865,Seating & Interior Plant PL,Assembly Plant DE
MAT-391370,A-25-5,3040,Seating & Interior Plant PL,Assembly Plant DE
MAT-203153,F-29-2,1210,Seating & Interior Plant PL,Assembly Plant DE
MAT-315587,F-23-4,205,Seating & Interior Plant PL,Assembly Plant DE
MAT-115828,D-18-3,2237,Seating & Interior Plant PL,Assembly Plant DE
MAT-856853,B-23-4,2610,Seating & Interior Plant PL,Assembly Plant DE
MAT-325880,A-11-1,3307,Seating & Interior Plant PL,Assembly Plant DE
MAT-869894,E-08-2,2199,Seating & Interior Plant PL,Assembly Plant DE
MAT-328069,H-13-1,708,Seating & Interior Plant PL,Assembly Plant DE
MAT-171583,D-10-5,2917,Seating & Interior Plant PL,Assembly Plant DE
MAT-802387,G-13-1,559,Seating & Interior Plant PL,Assembly Plant DE
MAT-689143,B-18-1,1811,Seating & Interior Plant PL,Assembly Plant DE
MAT-904262,F-23-4,1278,Seating & Interior Plant PL,Assembly Plant DE
MAT-961558,B-13-3,4439,Seating & Interior Plant PL,Assembly Plant DE
MAT-827220,C-17-3,3124,Seating & Interior Plant PL,Assembly Plant DE
MAT-349801,C-23-2,2300,Seating & Interior Plant PL,Assembly Plant DE
MAT-930677,D-21-5,1983,Seating & Interior Plant PL,Assembly Plant DE
MAT-550369,E-20-5,687,Seating & Interior Plant PL,Assembly Plant DE
MAT-827340,B-22-2,4968,Seating & Interior Plant PL,Assembly Plant DE
MAT-896437,C-04-5,4824,Seating & Interior Plant PL,Assembly Plant DE
MAT-231091,F-21-3,643,Seating & Interior Plant PL,Assembly Plant DE
MAT-710916,C-08-3,187,Seating & Interior Plant PL,Assembly Plant DE
MAT-255680,D-19-2,2563,Seating & Interior Plant PL,Assembly Plant DE
MAT-688794,B-09-3,2848,Seating & Interior Plant PL,Assembly Plant DE
MAT-437068,A-16-3,4322,Seating & Interior Plant PL,Assembly Plant DE
MAT-325672,F-14-5,142,Seating & Interior Plant PL,Assembly Plant DE
MAT-802555,B-17-2,4069,Seating & Interior Plant PL,Assembly Plant DE
MAT-726989,E-16-2,4956,Seating & Interior Plant PL,Assembly Plant DE
MAT-283617,F-05-4,3091,Seating & Interior Plant PL,Assembly Plant DE
MAT-279258,F-13-4,4238,Seating & Interior Plant PL,Assembly Plant DE
MAT-856455,E-03-1,3543,Seating & Interior Plant PL,Assembly Plant DE
MAT-926836,C-11-2,4672,Seating & Interior Plant PL,Assembly Plant DE
MAT-421692,G-03-4,3294,Seating & Interior Plant PL,Assembly Plant DE
MAT-118820,E-06-1,4990,Seating & Interior Plant PL,Assembly Plant DE
MAT-749750,B-22-1,3953,Seating & Interior Plant PL,Assembly Plant DE
MAT-472372,B-05-4,2871,Seating & Interior Plant PL,Assembly Plant DE
MAT-579636,C-04-1,2793,Seating & Interior Plant PL,Assembly Plant DE
MAT-920390,D-23-1,1118,Seating & Interior Plant PL,Assembly Plant DE
MAT-856365,A-24-3,4594,Seating & Interior Plant PL,Assembly Plant DE
MAT-663175,H-16-2,4847,Seating & Interior Plant PL,Assembly Plant DE
MAT-912175,H-14-2,4370,Seating & Interior Plant PL,Assembly Plant DE
MAT-656850,H-09-4,535,Seating & Interior Plant PL,Assembly Plant DE
MAT-208544,G-03-1,4067,Seating & Interior Plant PL,Assembly Plant DE
MAT-496917,H-20-2,3559,Seating & Interior Plant PL,Assembly Plant DE
MAT-499597,D-21-3,2719,Seating & Interior Plant PL,Assembly Plant DE
MAT-908221,D-14-3,2303,Seating & Interior Plant PL,Assembly Plant DE
MAT-553349,C-03-2,1759,Seating & Interior Plant PL,Assembly Plant DE
MAT-287486,A-08-5,936,Seating & Interior Plant PL,Assembly Plant DE
MAT-980085,B-12-1,3317,Seating & Interior Plant PL,Assembly Plant DE
MAT-724408,E-11-4,1589,Seating & Interior Plant PL,Assembly Plant DE
MAT-520225,A-23-4,3903,Seating & Interior Plant PL,Assembly Plant DE
MAT-784829,D-01-5,3055,Seating & Interior Plant PL,Assembly Plant DE
MAT-697399,B-19-2,1843,Seating & Interior Plant PL,Assembly Plant DE
MAT-966015,H-05-2,4929,Seating & Interior Plant PL,Assembly Plant DE
MAT-921619,F-12-5,3192,Seating & Interior Plant PL,Assembly Plant DE
MAT-386768,B-12-4,334,Seating & Interior Plant PL,Assembly Plant DE
MAT-906663,D-21-2,3644,Seating & Interior Plant PL,Assembly Plant DE
MAT-940467,A-22-2,887,Seating & Interior Plant PL,Assembly Plant DE
MAT-403962,H-18-2,248,Seating & Interior Plant PL,Assembly Plant DE
MAT-454909,B-09-4,4030,Seating & Interior Plant PL,Assembly Plant DE
MAT-507581,H-19-1,4747,Seating & Interior Plant PL,Assembly Plant DE
MAT-248055,A-24-1,3497,Seating & Interior Plant PL,Assembly Plant DE
MAT-647548,B-29-1,2671,Seating & Interior Plant PL,Assembly Plant DE
MAT-880224,D-28-1,2531,Seating & Interior Plant PL,Assembly Plant DE
MAT-830367,A-24-5,4323,Seating & Interior Plant PL,Assembly Plant DE
MAT-105160,G-04-1,3024,Seating & Interior Plant PL,Assembly Plant DE
MAT-480408,A-11-3,732,Seating & Interior Plant PL,Assembly Plant DE
MAT-835494,C-22-5,141,Seating & Interior Plant PL,Assembly Plant DE
MAT-249373,C-26-5,4181,Seating & Interior Plant PL,Assembly Plant DE
MAT-561785,D-24-3,3107,Seating & Interior Plant PL,Assembly Plant DE
MAT-177322,F-05-4,2341,Seating & Interior Plant PL,Assembly Plant DE
MAT-855619,H-01-5,927,Seating & Interior Plant PL,Assembly Plant DE
MAT-551726,D-01-1,3496,Seating & Interior Plant PL,Assembly Plant DE
MAT-616539,D-25-2,1361,Seating & Interior Plant PL,Assembly Plant DE
MAT-656492,E-11-5,3223,Seating & Interior Plant PL,Assembly Plant DE
MAT-585670,F-15-5,1408,Seating & Interior Plant PL,Assembly Plant DE
MAT-680670,D-20-5,4553,Seating & Interior Plant PL,Assembly Plant DE
MAT-440031,F-26-5,196,Seating & Interior Plant PL,Assembly Plant DE
MAT-786925,H-27-5,413,Seating & Interior Plant PL,Assembly Plant DE
MAT-693071,D-01-5,1962,Seating & Interior Plant PL,Assembly Plant DE
MAT-606800,C-16-1,4923,Seating & Interior Plant PL,Assembly Plant DE
MAT-911684,G-20-3,2013,Seating & Interior Plant PL,Assembly Plant DE
MAT-464497,E-09-4,1413,Seating & Interior Plant PL,Assembly Plant DE
MAT-564975,D-10-3,4540,Seating & Interior Plant PL,Assembly Plant DE
MAT-947381,F-06-5,1674,Seating & Interior Plant PL,Assembly Plant DE
MAT-846309,H-28-3,1386,Seating & Interior Plant PL,Assembly Plant DE
MAT-949860,C-08-4,285,Seating & Interior Plant PL,Assembly Plant DE
MAT-738163,D-04-4,1826,Seating & Interior Plant PL,Assembly Plant DE
MAT-886460,B-17-1,4329,Seating & Interior Plant PL,Assembly Plant DE
MAT-767624,G-04-2,2575,Seating & Interior Plant PL,Assembly Plant DE
MAT-605478,F-04-3,1230,Seating & Interior Plant PL,Assembly Plant DE
MAT-241004,E-19-5,4433,Seating & Interior Plant PL,Assembly Plant DE
MAT-513008,H-06-1,3244,Seating & Interior Plant PL,Assembly Plant DE
MAT-486385,D-19-4,3254,Seating & Interior Plant PL,Assembly Plant DE
MAT-904376,C-19-4,1355,Seating & Interior Plant PL,Assembly Plant DE
MAT-790370,E-02-4,370,Seating & Interior Plant PL,Assembly Plant DE
MAT-851187,D-07-4,2292,Seating & Interior Plant PL,Assembly Plant DE
MAT-416753,E-24-3,617,Seating & Interior Plant PL,Assembly Plant DE
MAT-467639,B-01-1,4733,Seating & Interior Plant PL,Assembly Plant DE
MAT-541917,D-14-5,727,Seating & Interior Plant PL,Assembly Plant DE
MAT-822398,D-16-1,1796,Seating & Interior Plant PL,Assembly Plant DE
MAT-890317,H-22-2,1077,Seating & Interior Plant PL,Assembly Plant DE
MAT-353803,F-10-3,788,Seating & Interior Plant PL,Assembly Plant DE
MAT-522423,H-16-3,1313,Seating & Interior Plant PL,Assembly Plant DE
MAT-360969,G-03-5,1420,Seating & Interior Plant PL,Assembly Plant DE
MAT-903018,B-29-1,4529,Seating & Interior Plant PL,Assembly Plant DE
MAT-252116,F-08-4,1270,Seating & Interior Plant PL,Assembly Plant DE
MAT-760740,H-12-3,4479,Seating & Interior Plant PL,Assembly Plant DE
MAT-236201,C-18-5,4814,Seating & Interior Plant PL,Assembly Plant DE
MAT-226853,C-16-5,3289,Seating & Interior Plant PL,Assembly Plant DE
MAT-550836,G-19-5,3686,Seating & Interior Plant PL,Assembly Plant DE
MAT-267306,F-27-2,4256,Seating & Interior Plant PL,Assembly Plant DE
MAT-699461,H-13-2,2222,Seating & Interior Plant PL,Assembly Plant DE
MAT-908543,F-01-1,4884,Seating & Interior Plant PL,Assembly Plant DE
MAT-516906,C-02-3,403,Seating & Interior Plant PL,Assembly Plant DE
MAT-348832,C-23-1,2118,Seating & Interior Plant PL,Assembly Plant DE
MAT-668058,E-29-2,1093,Seating & Interior Plant PL,Assembly Plant DE
MAT-919460,B-02-1,779,Seating & Interior Plant PL,Assembly Plant DE
MAT-372225,E-18-3,3379,Seating & Interior Plant PL,Assembly Plant DE
MAT-535203,A-12-1,348,Seating & Interior Plant PL,Assembly Plant DE
MAT-143297,D-14-2,1390,Seating & Interior Plant PL,Assembly Plant DE
MAT-531201,B-23-2,3562,Seating & Interior Plant PL,Assembly Plant DE
MAT-558593,E-07-2,2881,Seating & Interior Plant PL,Assembly Plant DE
MAT-307052,A-23-4,2357,Seating & Interior Plant PL,Assembly Plant DE
MAT-210756,D-09-2,4162,Seating & Interior Plant PL,Assembly Plant DE
MAT-249606,A-29-5,3639,Seating & Interior Plant PL,Assembly Plant DE
MAT-934012,A-06-4,3598,Seating & Interior Plant PL,Assembly Plant DE
MAT-257831,B-23-2,1875,Seating & Interior Plant PL,Assembly Plant DE
MAT-647171,B-20-3,4429,Seating & Interior Plant PL,Assembly Plant DE
MAT-235376,D-22-3,4971,Seating & Interior Plant PL,Assembly Plant DE
MAT-782986,B-13-3,4926,Seating & Interior Plant PL,Assembly Plant DE
MAT-693044,H-25-1,1229,Seating & Interior Plant PL,Assembly Plant DE
MAT-946023,F-14-1,3324,Seating & Interior Plant PL,Assembly Plant DE
MAT-819796,B-14-5,1263,Seating & Interior Plant PL,Assembly Plant DE
MAT-215893,A-12-1,1443,Seating & Interior Plant PL,Assembly Plant DE
MAT-553371,C-28-2,1322,Seating & Interior Plant PL,Assembly Plant DE
MAT-331792,D-12-4,976,Seating & Interior Plant PL,Assembly Plant DE
MAT-990150,C-09-2,1808,Seating & Interior Plant PL,Assembly Plant DE
MAT-824641,H-05-5,4054,Seating & Interior Plant PL,Assembly Plant DE
MAT-168845,F-10-2,1631,Seating & Interior Plant PL,Assembly Plant DE
MAT-264060,E-15-4,68,Seating & Interior Plant PL,Assembly Plant DE
MAT-303299,D-26-5,1278,Seating & Interior Plant PL,Assembly Plant DE
MAT-749624,D-26-3,1706,Seating & Interior Plant PL,Assembly Plant DE
MAT-416916,E-17-4,4497,Seating & Interior Plant PL,Assembly Plant DE
MAT-311147,G-19-2,3552,Seating & Interior Plant PL,Assembly Plant DE
MAT-215872,E-16-5,3195,Seating & Interior Plant PL,Assembly Plant DE
MAT-575060,D-21-1,1328,Seating & Interior Plant PL,Assembly Plant DE
MAT-766707,F-14-4,2808,Seating & Interior Plant PL,Assembly Plant DE
MAT-913194,B-01-1,676,Seating & Interior Plant PL,Assembly Plant DE
MAT-955309,F-26-1,3946,Seating & Interior Plant PL,Assembly Plant DE
MAT-213775,F-08-3,4037,Seating & Interior Plant PL,Assembly Plant DE
MAT-616619,C-21-1,3954,Seating & Interior Plant PL,Assembly Plant DE
MAT-626112,C-04-1,364,Seating & Interior Plant PL,Assembly Plant IN
