WO_Number,Asset_ID,MaintenanceType,Failure_Reason,Downtime_Min,MTBF_Hrs,ERP_Asset_Ref
WO-2110001,ASSET-00001,Preventive,,0,,000110000001
WO-2110002,ASSET-00001,Corrective,MOTOR-BURNOUT,204,417,000110000001
WO-2110003,ASSET-00001,Preventive,,0,,000110000001
WO-2110004,ASSET-00001,Preventive,,0,,000110000001
WO-2110005,ASSET-00001,Preventive,,0,,000110000001
WO-2110006,ASSET-00001,Preventive,,0,,000110000001
WO-2110007,ASSET-00001,Preventive,,0,,000110000001
WO-2110008,ASSET-00001,Preventive,,0,,000110000001
WO-2110009,ASSET-00001,Corrective,BEARING-FAILURE,194,243,000110000001
WO-2110010,ASSET-00002,Corrective,BEARING-FAILURE,56,1222,000110000002
WO-2110011,ASSET-00002,Preventive,,0,,000110000002
WO-2110012,ASSET-00002,Corrective,MOTOR-BURNOUT,168,231,000110000002
WO-2110013,ASSET-00002,Preventive,,0,,000110000002
WO-2110014,ASSET-00002,Corrective,PNEUMATIC-LEAK,73,460,000110000002
WO-2110015,ASSET-00002,Corrective,CONTROLLER-FAULT,108,299,000110000002
WO-2110016,ASSET-00002,Preventive,,0,,000110000002
WO-2110017,ASSET-00002,Corrective,BEARING-FAILURE,71,375,000110000002
WO-2110018,ASSET-00003,Preventive,,0,,
WO-2110019,ASSET-00003,Preventive,,0,,
WO-2110020,ASSET-00003,Emergency,CONTROLLER-FAULT,583,1294,
WO-2110021,ASSET-00003,Corrective,PNEUMATIC-LEAK,164,1869,
WO-2110022,ASSET-00003,Preventive,,0,,
WO-2110023,ASSET-00003,Preventive,,0,,
WO-2110024,ASSET-00004,Preventive,,0,,000110000003
WO-2110025,ASSET-00004,Emergency,CALIBRATION-DRIFT,371,1883,000110000003
WO-2110026,ASSET-00004,Preventive,,0,,000110000003
WO-2110027,ASSET-00004,Preventive,,0,,000110000003
WO-2110028,ASSET-00005,Emergency,CALIBRATION-DRIFT,558,766,000110000004
WO-2110029,ASSET-00005,Preventive,,0,,000110000004
WO-2110030,ASSET-00005,Preventive,,0,,000110000004
WO-2110031,ASSET-00005,Preventive,,0,,000110000004
WO-2110032,ASSET-00006,Preventive,,0,,000110000005
WO-2110033,ASSET-00006,Emergency,CALIBRATION-DRIFT,379,960,000110000005
WO-2110034,ASSET-00006,Preventive,,0,,000110000005
WO-2110035,ASSET-00006,Preventive,,0,,000110000005
WO-2110036,ASSET-00007,Corrective,MOTOR-BURNOUT,43,633,
