Werk,Anlagennummer,Anlagenbezeichnung,Kostenstelle,Anschaffungswert,Hersteller
P1100,000110000001,Screw Fastening Station,CC-4294,13253.97,ABB Robotics
P1100,000110000002,Riveting Station,CC-4296,50063.11,KUKA
P1100,000110000003,CNC Machining Center,CC-4297,358499.43,Atlas Copco
P1100,000110000004,Torque Application Unit,CC-4297,40851.79,Mazak
P1100,000110000005,Battery Pack Assembly Cell,CC-4294,399291.97,DMG MORI
P1100,000110000006,Leak Test Station,,38854.01,Rockwell Automation
P1100,000110000007,Adhesive Dispensing Unit,CC-4296,36457.71,ABB Robotics
P1100,000110000008,Induction Heating Unit,CC-4295,55391.97,DMG
P1100,000110000009,Battery Pack Assembly Cell,CC-4296,303979.89,FANUC Corporation
P1100,000110000010,Screw Fastening Station,,19736.43,KUKA AG
P1100,000110000011,Stamping Press,CC-4295,897535.15,Hexagon
P1100,000110000012,Stamping Press,CC-4294,720597.48,Hexagon Ab
P1100,000110000013,Coil Winding Machine,CC-4297,92458.43,KUKA
P1100,000110000014,Riveting Station,CC-4296,35866.52,schuler group
P1100,000110000015,Hydraulic Press,CC-4297,283378.87,KUKA AG
P1100,000110000016,Conveyor System,CC-4295,144948.55,ABB
P1100,000110000017,Coil Winding Machine,CC-4297,127963.50,YASKAWA MOTOMAN
P1100,000110000018,Adhesive Dispensing Unit,CC-4297,30987.52,Haas Automation
P1100,000110000019,CNC Machining Center,CC-4296,444049.10,kuka ag
P1100,000110000020,Overhead Gantry Loader,CC-4294,178991.77,ABB Robotics
P1100,000110000021,CNC Machining Center,CC-4296,443978.36,Kuka Ag
P1100,000110000022,Laser Welding Cell,CC-4295,378588.86,DMG MORI
P1100,000110000023,Battery Pack Assembly Cell,CC-4294,415743.22,Lincoln Electric
P1100,000110000024,Hydraulic Press,CC-4296,251786.96,KUKA AG
P1100,000110000025,Hydraulic Press,CC-4296,160666.23,Mazak
P1100,000110000026,Adhesive Dispensing Unit,,52535.85,Schuler Group
P1100,000110000027,Coil Winding Machine,CC-4295,181388.54,Kuka Ag
P1100,000110000028,Overhead Gantry Loader,CC-4294,61045.23,Mazak
P1100,000110000029,Dimensional Measurement Arm,CC-4295,72961.77,Haas Automation
P1100,000110000030,Paint Application Robot,CC-4295,248904.36,Haas Automation
P1100,000110000031,Adhesive Dispensing Unit,CC-4295,37056.84,Miller Electric
P1100,000110000032,Injection Molding Machine,CC-4297,238395.38,ABB Robotics
P1100,000110000033,Injection Molding Machine,CC-4295,469842.86,KUKA AG
P1100,000110000034,Leak Test Station,CC-4295,48417.11,Schuler Group
P1100,000110000035,Palletizing Robot,CC-4297,121091.49,FANUC Corporation
P1100,000110000036,Overhead Gantry Loader,CC-4296,125705.33,Miller Electric
P1100,000110000037,Leak Test Station,CC-4295,26261.89,Haas Automation
P1100,000110000038,Automated Guided Vehicle,CC-4295,65594.62,Mazak Corporation
P1100,000110000039,Overhead Gantry Loader,,133290.37,Yaskawa
P1100,000110000040,Paint Application Robot,CC-4297,262214.81,Atlas Copco
P1100,000110000041,Dimensional Measurement Arm,,130707.34,Rockwell Automation
P1100,000110000042,Coil Winding Machine,CC-4294,140250.10,Hexagon AB
P1100,000110000043,CNC Machining Center,CC-4296,249295.92,Schneider
P1100,000110000044,Injection Molding Machine,,340974.16,Miller Electric
P1100,000110000045,Conveyor System,CC-4295,105798.34,Mazak Corporation
P1100,000110000046,,CC-4297,46852.13,KUKA AG
P1100,000110000047,Robotic Welding Cell,CC-4295,159901.12,FANUC Corporation
P1100,000110000048,Ultrasonic Welding Station,CC-4296,55359.05,abb robotics
P1100,000110000049,Assembly Torque Wrench Station,CC-4296,24649.37,AIDA
P1100,000110000050,Automated Guided Vehicle,CC-4295,81583.53,Lincoln Electric
P1100,000110000051,Screw Fastening Station,CC-4294,31709.34,ABB Robotics
P1100,000110000052,Coil Winding Machine,CC-4294,206806.20,Kuka Ag
P1100,000110000053,Hydraulic Press,CC-4295,381915.14,Kuka Ag
P1100,000110000054,Torque Application Unit,CC-4295,22036.99,KUKA
P1100,000110000055,Dimensional Measurement Arm,CC-4295,80499.89,KUKA AG
P1100,000110000056,Riveting Station,CC-4295,57747.72,FANUC
P1100,000110000057,Hydraulic Press,CC-4295,196212.02,ABB ROBOTICS
P1100,000110000058,Dimensional Measurement Arm,CC-4296,63707.32,Yaskawa
P1100,000110000059,Torque Application Unit,CC-4295,32642.59,Carl Zeiss Industrial Metrology
P1100,000110000060,Hydraulic Press,CC-4297,234223.10,KUKA AG
P1100,000110000061,Vision Inspection Station,CC-4296,69157.79,Carl Zeiss Industrial Metrology
P1100,000110000062,Dimensional Measurement Arm,CC-4296,67293.29,Mazak Corporation
P1100,000110000063,Battery Pack Assembly Cell,CC-4296,462779.89,Yaskawa Motoman
P1100,000110000064,Coil Winding Machine,CC-4295,181879.38,FANUC
P1100,000110000065,Adhesive Dispensing Unit,CC-4295,82778.46,Schuler Group
P1100,000110000066,Injection Molding Machine,CC-4297,299717.73,Kuka Ag
P1100,000110000067,Injection Molding Machine,CC-4296,166617.83,KUKA AG
P1100,000110000068,Dimensional Measurement Arm,CC-4297,53489.05,KUKA
P1100,000110000069,Stamping Press,CC-4295,307288.41,KUKA
P1100,000110000070,Overhead Gantry Loader,CC-4295,126041.79,ABB Robotics
P1100,000110000071,Screw Fastening Station,CC-4294,23180.68,KUKA AG
P1100,000110000072,Ultrasonic Welding Station,CC-4297,77802.09,abb robotics
P1100,000110000073,Conveyor System,CC-4294,120208.49,Yaskawa Motoman
P1100,000110000074,Ultrasonic Welding Station,CC-4294,29411.82,Mazak Corporation
P1100,000110000075,Laser Welding Cell,CC-4296,375257.28,Siemens AG
P1100,000110000076,CNC Machining Center,CC-4294,409447.27,Schneider
P1100,000110000077,Palletizing Robot,CC-4296,138538.76,DEMATIC
P1100,000110000078,Induction Heating Unit,CC-4297,85995.61,abb robotics
