LineID,ProcessNo,ProcessName,WorkCenterID,StationID,AssetRef,ProductRef,MaterialRef
L01,PR-0002,Resistance Welding,WU1,S01,000110000001,,
L01,PR-0189,Packaging - Hood Panel,WU2,S02,000110000002,,
L01,PR-0148,Stamping - Fender Panel,WU3,S02,,,
L01,PR-0003,Torque Tightening,WU4,S02,000110000003,,
L02,PR-0008,Clearcoat Application,WU5,S01,000110000004,,
L02,PR-0108,Seat Frame Forming,WU6,S01,000110000005,,
L02,PR-0006,Electrocoat Dip,WU7,S02,,,
L02,PR-0154,Milling - Roof Rail,WU8,S02,000110000006,,
L03,PR-0002,Resistance Welding,WU9,S01,000110000007,,
L03,PR-0040,Glass Panel Forming,WU10,S02,000110000008,,
L03,PR-0019,Trim and Pierce Operation,WU11,S02,000110000009,,
L03,PR-0004,AOI Check,WU12,S02,000110000010,,
L03,PR-0038,Body Panel Alignment,WU13,S03,000110000011,,
L03,PR-0001,Dispense Sealant,WU14,S03,000110000013,,
L03,PR-0002,Resistance Welding,WU15,S03,000110000014,,
L03,PR-0003,Torque Tightening,WU16,S04,000110000015,,
L03,PR-0001,Dispense Sealant,WU17,S04,000110000016,,
L04,PR-0001,Dispense Sealant,WU18,S01,000110000017,,
L04,PR-0004,AOI Check,WU19,S01,000110000018,,
L04,PR-0002,Resistance Welding,WU20,S01,,,
L04,PR-0001,Dispense Sealant,WU21,S02,000110000019,,
L05,PR-0001,Dispense Sealant,WU22,S01,000110000020,,
L05,PR-0072,Calibration - Battery Module,WU23,S01,,,
L05,PR-0001,Dispense Sealant,WU24,S02,000110000021,,
L05,PR-0040,Glass Panel Forming,WU25,S03,000110000022,,
L05,PR-0001,Dispense Sealant,WU26,S03,000110000023,,
L06,PR-0001,Dispense Sealant,WU27,S01,000110000024,,
L06,PR-0008,Clearcoat Application,WU28,S02,000110000025,,
L07,PR-0005,Pressure Decay Test,WU29,S01,000110000026,,
L07,PR-0014,Alignment Check,WU30,S01,000110000027,,
L07,PR-0035,Transmission Housing Sealing,WU31,S02,000110000028,,
L07,PR-0003,Torque Tightening,WU32,S02,000110000029,,
L07,PR-0002,Resistance Welding,WU33,S02,000110000030,,
L08,PR-0070,Application - Seat Frame,WU34,S01,000110000031,,
L08,PR-0001,Dispense Sealant,WU35,S02,000110000032,,
L09,PR-0061,Trimming Operation - Suspension Arm,WU36,S01,000110000033,,
L09,PR-0018,Deep Drawing,WU37,S02,000110000034,,
L09,PR-0003,Torque Tightening,WU38,S02,000110000035,,
L09,PR-0004,AOI Check,WU39,S03,000110000036,,
