NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-DE-00001,MER-MUFFLER-0041,WELD-MISALIGN,SOL-S01,Rework,26
NCR-DE-00002,MER-BATTERY-CELL-MOD-0027,PAINT-ORANGE-PEEL,SOL-S01,Rework,149
NCR-DE-00003,MER-CHARGING-CABLE-0040,WELD-POROSITY,SOL-S02,Use-As-Is,129
NCR-DE-00004,MER-BRAKE-SYSTEM-0012,ELEC-CONNECTOR-MISMATE,SOL-S01,Rework,438
NCR-DE-00005,MER-DOORS-0004,DIM-GAP-FLUSH,SOL-S04,Scrap,299
NCR-DE-00006,MER-CHARGE-PORT-0039,WELD-MISALIGN,SOL-S01,Scrap,449
NCR-DE-00007,MER-BRAKE-SYSTEM-0012,ASSY-WRONG-PART,SOL-S03,Use-As-Is,260
NCR-DE-00008,MER-CYLINDER-BLOCK-0027,ELEC-OPEN-CIRCUIT,SOL-S01,Rework,443
NCR-DE-00009,MER-VEH-COMPACT-0001,PAINT-RUNS,SOL-S01,Rework,442
NCR-DE-00010,MER-STEERING-SYSTEM-0013,ASSY-MISSING-FASTENER,SOL-S03,Use-As-Is,473
NCR-DE-00011,MER-LOW-VOLTAGE-BATT-0023,ASSY-WRONG-PART,SOL-S02,Rework,224
NCR-DE-00012,MER-FRONT-SUSPENSION-0010,PAINT-ORANGE-PEEL,SOL-S03,Scrap,218
NCR-DE-00013,MER-DOORS-0004,SEAL-LEAK,SOL-S02,Scrap,280
NCR-DE-00014,MER-SEATS-0016,ASSY-WRONG-PART,SOL-S02,Scrap,327
NCR-DE-00015,MER-CYLINDER-HEAD-0028,ASSY-CROSS-THREAD,SOL-S03,Rework,81
NCR-DE-00016,MER-LIGHTING-SYSTEM-0024,ASSY-MISSING-FASTENER,SOL-S01,Rework,238
NCR-DE-00017,MER-CENTER-CONSOLE-0018,PAINT-RUNS,SOL-S04,Scrap,304
NCR-DE-00018,MER-BUMPER-FRONT-0006,PAINT-ORANGE-PEEL,SOL-S01,Rework,25
NCR-DE-00019,MER-BRAKE-SYSTEM-0012,MATERIAL-CONTAMINATION,SOL-S01,Scrap,179
NCR-DE-00020,MER-SEATS-0016,ELEC-OPEN-CIRCUIT,SOL-S01,Rework,485
NCR-DE-00021,MER-GEAR-SET-0034,SURFACE-SCRATCH,SOL-S03,Rework,203
NCR-DE-00022,MER-MOTOR-HOUSING-0033,WELD-POROSITY,SOL-S01,Rework,475
NCR-DE-00023,MER-BRAKE-SYSTEM-0012,SURFACE-SCRATCH,SOL-S02,Rework,312
NCR-DE-00024,MER-STEERING-SYSTEM-0013,ELEC-OPEN-CIRCUIT,SOL-S01,Rework,382
NCR-DE-00025,MER-LIGHTING-SYSTEM-0024,ASSY-MISSING-FASTENER,SOL-S01,Rework,55
NCR-DE-00026,MER-BRAKE-SYSTEM-0012,ELEC-SHORT-CIRCUIT,SOL-S02,Rework,88
NCR-DE-00027,MER-BODY-SHELL-0003,MATERIAL-CONTAMINATION,SOL-S02,Rework,205
NCR-DE-00028,MER-FUEL-PUMP-0037,PAINT-RUNS,SOL-S01,Rework,267
NCR-DE-00029,MER-SEATS-0016,WELD-UNDERCUT,SOL-S03,Rework,94
NCR-DE-00030,MER-SEATS-0016,WELD-MISALIGN,SOL-S01,Scrap,240
NCR-DE-00031,MER-SEATS-0016,SURFACE-SCRATCH,SOL-S01,Rework,338
NCR-DE-00032,MER-REAR-SUSPENSION-0011,DIM-OUT-OF-TOLERANCE,SOL-S02,Scrap,480
NCR-DE-00033,MER-EXHAUST-PIPE-0042,WELD-MISALIGN,SOL-S02,Scrap,411
NCR-DE-00034,MER-BRAKE-SYSTEM-0012,ASSY-MISSING-FASTENER,SOL-S01,Rework,217
NCR-DE-00035,MER-WHEELS-0014,DIM-OUT-OF-TOLERANCE,SOL-S02,Use-As-Is,146
NCR-DE-00036,MER-REAR-SUSPENSION-0011,WELD-MISALIGN,SOL-S01,Rework,333
NCR-DE-00037,MER-REAR-SUSPENSION-0011,SEAL-LEAK,SOL-S04,Rework,376
NCR-DE-00038,MER-DASHBOARD-0017,ELEC-SHORT-CIRCUIT,SOL-S02,Use-As-Is,224
NCR-DE-00039,MER-HOOD-0005,ASSY-CROSS-THREAD,SOL-S02,Scrap,150
NCR-DE-00040,MER-FRONT-SUSPENSION-0010,ASSY-MISSING-FASTENER,SOL-S02,Use-As-Is,256
NCR-DE-00041,MER-LIGHTING-SYSTEM-0024,PAINT-ORANGE-PEEL,SOL-S03,Rework,70
NCR-DE-00042,MER-LIGHTING-SYSTEM-0024,ASSY-CROSS-THREAD,SOL-S03,Rework,437
NCR-DE-00043,MER-FRONT-SUSPENSION-0010,ELEC-CONNECTOR-MISMATE,SOL-S02,Rework,96
NCR-DE-00044,MER-ONBOARD-CHARGER-0037,PAINT-BLISTER,SOL-S02,Scrap,222
NCR-DE-00045,MER-CYLINDER-BLOCK-0027,PAINT-ORANGE-PEEL,SOL-S02,Use-As-Is,232
NCR-DE-00046,MER-INFOTAINMENT-UNI-0025,SURFACE-SCRATCH,SOL-S01,Scrap,449
NCR-DE-00047,MER-DOORS-0004,DIM-GAP-FLUSH,SOL-S01,Rework,47
NCR-DE-00048,MER-HEADLINER-0020,PAINT-RUNS,SOL-S02,Use-As-Is,227
NCR-DE-00049,MER-REAR-SUSPENSION-0011,SURFACE-SCRATCH,SOL-S01,Rework,55
NCR-DE-00050,MER-FENDERS-0008,WELD-UNDERCUT,SOL-S02,Rework,355
NCR-DE-00051,MER-MUFFLER-0041,DIM-OUT-OF-TOLERANCE,SOL-S03,Rework,390
NCR-DE-00052,MER-REAR-SUSPENSION-0011,PAINT-BLISTER,SOL-S03,Rework,394
NCR-DE-00053,MER-BATTERY-CELL-MOD-0027,WELD-MISALIGN,SOL-S01,Rework,133
NCR-DE-00054,MER-FUEL-INJECTOR-0038,SURFACE-SCRATCH,SOL-S01,Scrap,433
NCR-DE-00055,MER-CENTER-CONSOLE-0018,ASSY-CROSS-THREAD,SOL-S01,Scrap,176
NCR-DE-00056,MER-WHEELS-0014,ASSY-MISSING-FASTENER,SOL-S01,Rework,244
NCR-DE-00057,MER-CLUTCH-ASSEMBLY-0033,ELEC-OPEN-CIRCUIT,SOL-S01,Use-As-Is,113
NCR-DE-00058,MER-CLUTCH-ASSEMBLY-0033,PAINT-BLISTER,SOL-S01,Rework,131
NCR-DE-00059,MER-GEAR-SET-0034,DIM-OUT-OF-TOLERANCE,SOL-S02,Rework,306
NCR-DE-00060,MER-DASHBOARD-0017,WELD-POROSITY,SOL-S02,Scrap,237
NCR-DE-00061,MER-WIRING-HARNESS-0022,ELEC-CONNECTOR-MISMATE,SOL-S02,Rework,97
NCR-DE-00062,MER-CHARGE-PORT-0039,ASSY-MISSING-FASTENER,SOL-S02,Rework,50
NCR-DE-00063,MER-BODY-SHELL-0003,MATERIAL-CONTAMINATION,SOL-S02,Scrap,447
NCR-DE-00064,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,SOL-S01,Rework,465
NCR-DE-00065,MER-CHARGE-PORT-0039,MATERIAL-CONTAMINATION,SOL-S02,Rework,116
NCR-DE-00066,MER-HOOD-0005,MATERIAL-CONTAMINATION,SOL-S02,Rework,208
NCR-DE-00067,MER-STEERING-SYSTEM-0013,DIM-GAP-FLUSH,SOL-S02,Scrap,101
NCR-DE-00068,MER-FENDERS-0008,ASSY-WRONG-PART,SOL-S02,Scrap,327
NCR-DE-00069,MER-GEAR-SET-0034,ASSY-MISSING-FASTENER,SOL-S02,Rework,32
NCR-DE-00070,MER-FRONT-SUSPENSION-0010,MATERIAL-CONTAMINATION,SOL-S02,Rework,56
NCR-DE-00071,MER-CRANKSHAFT-0029,WELD-MISALIGN,SOL-S01,Rework,127
NCR-DE-00072,MER-PISTONS-0030,DIM-GAP-FLUSH,SOL-S02,Scrap,236
NCR-DE-00073,MER-LIGHTING-SYSTEM-0024,WELD-UNDERCUT,SOL-S02,Rework,442
NCR-DE-00074,MER-REAR-SUSPENSION-0011,DIM-OUT-OF-TOLERANCE,SOL-S02,Rework,413
NCR-DE-00075,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,SOL-S01,Scrap,226
NCR-DE-00076,MER-DOOR-PANELS-0019,ASSY-MISSING-FASTENER,SOL-S01,Scrap,138
NCR-DE-00077,MER-DOORS-0004,ASSY-MISSING-FASTENER,SOL-S01,Use-As-Is,206
NCR-DE-00078,MER-WIRING-HARNESS-0022,ASSY-MISSING-FASTENER,SOL-S02,Rework,254
NCR-DE-00079,MER-LOW-VOLTAGE-BATT-0023,WELD-MISALIGN,SOL-S02,Rework,42
NCR-DE-00080,MER-BATTERY-HOUSING-0029,SEAL-LEAK,SOL-S02,Rework,412
NCR-DE-00081,MER-LIGHTING-SYSTEM-0024,WELD-UNDERCUT,SOL-S01,Rework,358
NCR-DE-00082,MER-CYLINDER-BLOCK-0027,ASSY-MISSING-FASTENER,SOL-S02,Scrap,36
NCR-DE-00083,MER-CATALYTIC-CONVER-0040,PAINT-BLISTER,SOL-S03,Rework,86
NCR-DE-00084,MER-EXHAUST-PIPE-0042,PAINT-RUNS,SOL-S01,Rework,25
NCR-DE-00085,MER-HOOD-0005,ASSY-WRONG-PART,SOL-S01,Use-As-Is,421
NCR-DE-00086,MER-HOOD-0005,ELEC-CONNECTOR-MISMATE,SOL-S01,Rework,133
NCR-DE-00087,MER-BUMPER-REAR-0007,ASSY-CROSS-THREAD,SOL-S02,Use-As-Is,246
NCR-DE-00088,MER-FUEL-TANK-0036,ELEC-CONNECTOR-MISMATE,SOL-S02,Rework,232
NCR-DE-00089,MER-BUMPER-FRONT-0006,WELD-MISALIGN,SOL-S02,Rework,337
NCR-DE-00090,MER-DOOR-PANELS-0019,SURFACE-SCRATCH,SOL-S02,Rework,151
NCR-DE-00091,MER-WHEELS-0014,WELD-MISALIGN,SOL-S02,Rework,204
NCR-DE-00092,MER-REAR-SUSPENSION-0011,ELEC-OPEN-CIRCUIT,SOL-S02,Use-As-Is,475
NCR-DE-00093,MER-HOOD-0005,DIM-GAP-FLUSH,SOL-S03,Rework,269
NCR-DE-00094,MER-BATTERY-CELL-MOD-0027,DIM-GAP-FLUSH,SOL-S01,Rework,433
NCR-DE-00095,MER-REAR-SUSPENSION-0011,PAINT-ORANGE-PEEL,SOL-S02,Use-As-Is,35
NCR-DE-00096,MER-FENDERS-0008,ELEC-OPEN-CIRCUIT,SOL-S01,Use-As-Is,419
NCR-DE-00097,MER-BUMPER-FRONT-0006,ASSY-WRONG-PART,SOL-S04,Use-As-Is,455
NCR-DE-00098,MER-DOOR-PANELS-0019,DIM-GAP-FLUSH,SOL-S01,Rework,136
NCR-DE-00099,MER-HOOD-0005,SURFACE-SCRATCH,SOL-S02,Rework,326
NCR-DE-00100,MER-DOOR-PANELS-0019,WELD-MISALIGN,SOL-S02,Scrap,450
NCR-DE-00101,MER-LOW-VOLTAGE-BATT-0023,DIM-OUT-OF-TOLERANCE,SOL-S02,Rework,414
NCR-DE-00102,MER-BUMPER-FRONT-0006,PAINT-BLISTER,SOL-S02,Scrap,67
NCR-DE-00103,MER-CHARGE-PORT-0039,MATERIAL-CONTAMINATION,SOL-S02,Scrap,246
NCR-DE-00104,MER-LIGHTING-SYSTEM-0024,PAINT-BLISTER,SOL-S02,Rework,423
NCR-DE-00105,MER-CHARGING-CABLE-0040,PAINT-RUNS,SOL-S01,Rework,406
NCR-DE-00106,MER-CLUTCH-ASSEMBLY-0033,SEAL-LEAK,SOL-S01,Scrap,130
NCR-DE-00107,MER-HOOD-0005,SEAL-LEAK,SOL-S02,Rework,338
NCR-DE-00108,MER-GEARBOX-HOUSING-0032,WELD-UNDERCUT,SOL-S02,Rework,36
