MaterialNumber,StorageBin,QtyOnHand,KanbanCardID,IssuingPlant,ReceivingPlant
MAT-784850,D-13-1,1376,KANBAN-00001,Solara Metals Coil Plant,Stamping Plant DE
MAT-603939,A-29-5,593,KANBAN-00002,Solara Metals Coil Plant,Stamping Plant DE
MAT-705038,D-13-1,4517,KANBAN-00003,Solara Metals Coil Plant,Stamping Plant DE
MAT-193741,G-01-3,1775,KANBAN-00004,Solara Metals Coil Plant,Stamping Plant DE
MAT-206485,A-12-5,3670,KANBAN-00005,Solara Metals Coil Plant,Stamping Plant DE
MAT-414186,E-03-4,4531,KANBAN-00006,Solara Metals Coil Plant,Stamping Plant DE
MAT-462241,G-14-5,2654,KANBAN-00007,Solara Metals Coil Plant,Stamping Plant DE
MAT-913823,A-11-5,4155,KANBAN-00008,Solara Metals Coil Plant,Stamping Plant DE
MAT-696270,H-28-3,3050,KANBAN-00009,Solara Metals Coil Plant,Stamping Plant DE
MAT-746702,F-09-2,483,KANBAN-00010,Solara Metals Coil Plant,Stamping Plant DE
MAT-932214,E-26-5,600,KANBAN-00011,Solara Metals Coil Plant,Stamping Plant DE
MAT-470274,D-25-2,2311,KANBAN-00012,Solara Metals Coil Plant,Stamping Plant DE
MAT-267515,D-29-5,1433,KANBAN-00013,Solara Metals Coil Plant,Stamping Plant DE
MAT-362933,C-20-5,4894,KANBAN-00014,Solara Metals Coil Plant,Stamping Plant DE
MAT-157131,B-25-1,4572,KANBAN-00015,Solara Metals Coil Plant,Stamping Plant DE
MAT-222906,H-26-2,3807,KANBAN-00016,Solara Metals Coil Plant,Stamping Plant DE
MAT-994287,F-04-3,3242,KANBAN-00017,Solara Metals Coil Plant,Stamping Plant DE
MAT-389206,B-28-3,1119,KANBAN-00018,Solara Metals Coil Plant,Stamping Plant DE
MAT-274049,A-08-3,226,KANBAN-00019,Solara Metals Coil Plant,Stamping Plant DE
MAT-164823,D-02-1,4978,KANBAN-00020,Solara Metals Coil Plant,Stamping Plant DE
MAT-258142,A-08-4,3094,KANBAN-00021,Solara Metals Coil Plant,Stamping Plant DE
MAT-928347,E-08-2,4379,KANBAN-00022,Solara Metals Coil Plant,Stamping Plant DE
MAT-228426,E-14-5,93,KANBAN-00023,Solara Metals Coil Plant,Stamping Plant DE
MAT-442142,A-08-1,4990,KANBAN-00024,Solara Metals Coil Plant,Stamping Plant DE
MAT-467172,G-08-4,2904,KANBAN-00025,Solara Metals Coil Plant,Stamping Plant DE
MAT-262738,G-24-2,1883,KANBAN-00026,Solara Metals Coil Plant,Stamping Plant DE
MAT-505324,H-10-5,3792,KANBAN-00027,Solara Metals Coil Plant,Stamping Plant DE
MAT-610665,G-25-2,3810,KANBAN-00028,Solara Metals Coil Plant,Stamping Plant DE
MAT-387273,A-21-4,3483,KANBAN-00029,Solara Metals Coil Plant,Stamping Plant DE
MAT-548054,D-08-2,2736,KANBAN-00030,Solara Metals Coil Plant,Stamping Plant DE
MAT-701413,A-07-4,4882,KANBAN-00031,Solara Metals Coil Plant,Stamping Plant DE
MAT-307954,E-11-2,705,KANBAN-00032,Solara Metals Coil Plant,Stamping Plant DE
MAT-655270,E-25-5,1841,KANBAN-00033,Solara Metals Coil Plant,Stamping Plant DE
MAT-244374,E-14-4,479,KANBAN-00034,Solara Metals Coil Plant,Stamping Plant DE
MAT-425181,B-26-1,4555,KANBAN-00035,Solara Metals Coil Plant,Stamping Plant DE
MAT-296640,E-19-3,4591,KANBAN-00036,Solara Metals Coil Plant,Stamping Plant DE
MAT-688001,E-26-2,4298,KANBAN-00037,Solara Metals Coil Plant,Stamping Plant DE
MAT-311357,D-18-2,1269,KANBAN-00038,Solara Metals Coil Plant,Stamping Plant DE
MAT-322065,H-08-5,2493,KANBAN-00039,Solara Metals Coil Plant,Stamping Plant DE
MAT-371265,D-19-3,4861,KANBAN-00040,Solara Metals Coil Plant,Stamping Plant DE
MAT-865828,A-15-5,3399,KANBAN-00041,Solara Metals Coil Plant,Stamping Plant DE
MAT-783754,H-28-2,1249,KANBAN-00042,Solara Metals Coil Plant,Stamping Plant DE
MAT-373516,G-15-3,2643,KANBAN-00043,Solara Metals Coil Plant,Stamping Plant DE
MAT-297817,A-14-4,2818,KANBAN-00044,Solara Metals Coil Plant,Stamping Plant DE
MAT-659372,A-13-5,2664,KANBAN-00045,Solara Metals Coil Plant,Stamping Plant DE
MAT-938965,B-06-3,254,KANBAN-00046,Solara Metals Coil Plant,Stamping Plant DE
MAT-137265,B-24-4,2357,KANBAN-00047,Solara Metals Coil Plant,Stamping Plant DE
MAT-430260,F-24-5,1518,KANBAN-00048,Solara Metals Coil Plant,Stamping Plant DE
MAT-738198,A-23-3,4193,KANBAN-00049,Solara Metals Coil Plant,Stamping Plant DE
MAT-918383,C-12-1,3360,KANBAN-00050,Solara Metals Coil Plant,Stamping Plant DE
MAT-388629,H-12-5,2276,KANBAN-00051,Solara Metals Coil Plant,Stamping Plant DE
MAT-428224,A-17-3,1562,KANBAN-00052,Solara Metals Coil Plant,Stamping Plant DE
MAT-998289,C-19-3,4116,KANBAN-00053,Solara Metals Coil Plant,Stamping Plant DE
MAT-232912,F-02-1,3604,KANBAN-00054,Solara Metals Coil Plant,Stamping Plant DE
MAT-951306,D-10-4,4777,KANBAN-00055,Solara Metals Coil Plant,Stamping Plant DE
MAT-513987,C-28-1,4609,KANBAN-00056,Solara Metals Coil Plant,Stamping Plant DE
MAT-385922,B-06-5,2825,KANBAN-00057,Solara Metals Coil Plant,Stamping Plant DE
MAT-966711,A-14-4,2906,KANBAN-00058,Solara Metals Coil Plant,Stamping Plant DE
MAT-771716,E-03-2,1019,KANBAN-00059,Solara Metals Coil Plant,Stamping Plant DE
MAT-344476,H-14-1,2203,KANBAN-00060,Solara Metals Coil Plant,Stamping Plant DE
MAT-496943,F-13-3,2454,KANBAN-00061,Solara Metals Coil Plant,Stamping Plant DE
MAT-910468,F-25-5,2086,KANBAN-00062,Solara Metals Coil Plant,Stamping Plant DE
MAT-387960,C-25-1,2856,KANBAN-00063,Solara Metals Coil Plant,Stamping Plant DE
MAT-377849,F-09-1,2934,KANBAN-00064,Solara Metals Coil Plant,Stamping Plant DE
MAT-288468,H-06-5,959,KANBAN-00065,Solara Metals Coil Plant,Stamping Plant DE
MAT-532842,G-08-2,759,KANBAN-00066,Solara Metals Coil Plant,Stamping Plant DE
MAT-948311,A-18-1,4468,KANBAN-00067,Solara Metals Coil Plant,Stamping Plant DE
MAT-604418,D-05-3,2506,KANBAN-00068,Solara Metals Coil Plant,Stamping Plant DE
MAT-406918,A-01-2,3068,KANBAN-00069,Solara Metals Coil Plant,Stamping Plant DE
MAT-934365,A-22-3,1254,KANBAN-00070,Solara Metals Coil Plant,Stamping Plant DE
MAT-816785,F-28-5,3461,KANBAN-00071,Solara Metals Coil Plant,Stamping Plant DE
MAT-689751,B-24-1,1100,KANBAN-00072,Solara Metals Coil Plant,Stamping Plant DE
MAT-422687,B-16-5,389,KANBAN-00073,Solara Metals Coil Plant,Stamping Plant DE
MAT-250810,E-26-1,3366,KANBAN-00074,Solara Metals Coil Plant,Stamping Plant DE
MAT-260728,G-20-3,1700,KANBAN-00075,Solara Metals Coil Plant,Stamping Plant DE
MAT-835216,D-25-1,2108,KANBAN-00076,Solara Metals Coil Plant,Stamping Plant DE
MAT-195560,H-18-3,2240,KANBAN-00077,Solara Metals Coil Plant,Stamping Plant DE
MAT-684735,A-23-3,760,KANBAN-00078,Solara Metals Coil Plant,Stamping Plant DE
MAT-962781,F-08-5,3576,KANBAN-00079,Solara Metals Coil Plant,Stamping Plant DE
MAT-566181,F-01-3,3707,KANBAN-00080,Solara Metals Coil Plant,Stamping Plant DE
MAT-245657,B-06-4,2706,KANBAN-00081,Solara Metals Coil Plant,Stamping Plant DE
MAT-868205,E-01-2,149,KANBAN-00082,Solara Metals Coil Plant,Stamping Plant DE
MAT-658016,G-12-2,2468,KANBAN-00083,Solara Metals Coil Plant,Stamping Plant DE
MAT-766564,H-28-4,2084,KANBAN-00084,Solara Metals Coil Plant,Stamping Plant DE
MAT-654638,F-26-3,1632,KANBAN-00085,Solara Metals Coil Plant,Stamping Plant DE
MAT-778248,H-01-4,1130,KANBAN-00086,Solara Metals Coil Plant,Stamping Plant DE
MAT-584373,D-16-4,149,KANBAN-00087,Solara Metals Coil Plant,Stamping Plant DE
MAT-350356,A-04-1,1227,KANBAN-00088,Solara Metals Coil Plant,Stamping Plant DE
MAT-355888,H-18-4,809,KANBAN-00089,Solara Metals Coil Plant,Stamping Plant DE
MAT-804618,D-13-5,1470,KANBAN-00090,Solara Metals Coil Plant,Stamping Plant DE
MAT-196100,B-18-4,3849,KANBAN-00091,Solara Metals Coil Plant,Stamping Plant DE
MAT-129220,E-12-2,3383,KANBAN-00092,Solara Metals Coil Plant,Stamping Plant DE
MAT-896958,H-07-1,1086,KANBAN-00093,Solara Metals Coil Plant,Stamping Plant DE
MAT-591415,C-22-4,1633,KANBAN-00094,Solara Metals Coil Plant,Stamping Plant DE
MAT-624039,C-24-4,3818,KANBAN-00095,Solara Metals Coil Plant,Stamping Plant DE
MAT-443188,C-13-5,4925,KANBAN-00096,Solara Metals Coil Plant,Stamping Plant DE
MAT-165686,C-24-3,4875,KANBAN-00097,Solara Metals Coil Plant,Stamping Plant DE
MAT-688433,F-24-1,3686,KANBAN-00098,Solara Metals Coil Plant,Stamping Plant DE
MAT-394782,C-28-5,4547,KANBAN-00099,Solara Metals Coil Plant,Stamping Plant DE
MAT-796297,D-02-5,4249,KANBAN-00100,Solara Metals Coil Plant,Stamping Plant DE
MAT-637944,A-18-5,4597,KANBAN-00101,Solara Metals Coil Plant,Stamping Plant DE
MAT-603968,D-20-4,216,KANBAN-00102,Solara Metals Coil Plant,Stamping Plant DE
MAT-900956,A-19-4,2962,KANBAN-00103,Solara Metals Coil Plant,Stamping Plant DE
MAT-793574,E-19-5,1021,KANBAN-00104,Solara Metals Coil Plant,Stamping Plant DE
MAT-168161,C-19-5,752,KANBAN-00105,Solara Metals Coil Plant,Stamping Plant DE
MAT-256576,B-01-1,4450,KANBAN-00106,Solara Metals Coil Plant,Stamping Plant DE
MAT-464865,F-04-4,4839,KANBAN-00107,Solara Metals Coil Plant,Stamping Plant DE
MAT-375364,H-10-2,4806,KANBAN-00108,Solara Metals Coil Plant,Stamping Plant DE
MAT-830077,E-05-4,4245,KANBAN-00109,Solara Metals Coil Plant,Stamping Plant DE
MAT-643254,E-19-3,1673,KANBAN-00110,Solara Metals Coil Plant,Stamping Plant DE
MAT-328270,D-05-4,2085,KANBAN-00111,Solara Metals Coil Plant,Stamping Plant DE
MAT-789755,G-18-4,3050,KANBAN-00112,Solara Metals Coil Plant,Stamping Plant DE
MAT-322007,H-01-5,4144,KANBAN-00113,Solara Metals Coil Plant,Stamping Plant DE
MAT-969635,H-22-1,1106,KANBAN-00114,Solara Metals Coil Plant,Stamping Plant DE
MAT-887354,B-18-1,3486,KANBAN-00115,Solara Metals Coil Plant,Stamping Plant DE
MAT-927431,G-12-3,425,KANBAN-00116,Solara Metals Coil Plant,Stamping Plant DE
MAT-365831,B-02-1,1815,KANBAN-00117,Solara Metals Coil Plant,Stamping Plant DE
MAT-792768,D-09-4,3096,KANBAN-00118,Solara Metals Coil Plant,Stamping Plant DE
MAT-465824,C-15-5,346,KANBAN-00119,Solara Metals Coil Plant,Stamping Plant DE
MAT-411929,G-17-4,2136,KANBAN-00120,Solara Metals Coil Plant,Stamping Plant DE
MAT-202546,A-24-5,4313,KANBAN-00121,Solara Metals Coil Plant,Stamping Plant DE
MAT-898976,E-21-5,4478,KANBAN-00122,Solara Metals Coil Plant,Stamping Plant DE
MAT-893086,A-03-1,1662,KANBAN-00123,Solara Metals Coil Plant,Stamping Plant DE
MAT-993014,D-08-4,1620,KANBAN-00124,Solara Metals Coil Plant,Stamping Plant DE
