OrderRef,EquipID,Type,DowntimeMinutes,MTBFHours,LinkedAssetRef
WO-2050001,ASSET-00001,Preventive,0,,000050000001
WO-2050002,ASSET-00001,Preventive,0,,000050000001
WO-2050003,ASSET-00001,Corrective,188,1690,000050000001
WO-2050004,ASSET-00001,Preventive,0,,000050000001
WO-2050005,ASSET-00001,Preventive,0,,000050000001
WO-2050006,ASSET-00002,Preventive,0,,
WO-2050007,ASSET-00002,Preventive,0,,
WO-2050008,ASSET-00002,Preventive,0,,
WO-2050009,ASSET-00002,Preventive,0,,
WO-2050010,ASSET-00002,Preventive,0,,
WO-2050011,ASSET-00002,Corrective,104,656,
WO-2050012,ASSET-00002,Preventive,0,,
WO-2050013,ASSET-00002,Preventive,0,,
WO-2050014,ASSET-00003,Corrective,39,1360,000050000002
WO-2050015,ASSET-00003,Corrective,159,826,000050000002
WO-2050016,ASSET-00003,Corrective,142,972,000050000002
WO-2050017,ASSET-00003,Preventive,0,,000050000002
WO-2050018,ASSET-00003,Preventive,0,,000050000002
WO-2050019,ASSET-00003,Preventive,0,,000050000002
WO-2050020,ASSET-00004,Preventive,0,,000050000003
WO-2050021,ASSET-00004,Corrective,199,1751,000050000003
WO-2050022,ASSET-00004,Preventive,0,,000050000003
WO-2050023,ASSET-00004,Corrective,68,1784,000050000003
WO-2050024,ASSET-00005,Preventive,0,,000050000004
WO-2050025,ASSET-00005,Corrective,174,1125,000050000004
WO-2050026,ASSET-00005,Emergency,154,242,000050000004
WO-2050027,ASSET-00005,Emergency,147,1419,000050000004
WO-2050028,ASSET-00005,Preventive,0,,000050000004
WO-2050029,ASSET-00005,Preventive,0,,000050000004
WO-2050030,ASSET-00006,Corrective,112,482,000050000005
WO-2050031,ASSET-00006,Corrective,69,1620,000050000005
WO-2050032,ASSET-00006,Preventive,0,,000050000005
WO-2050033,ASSET-00006,Corrective,47,1863,000050000005
WO-2050034,ASSET-00006,Emergency,487,881,000050000005
WO-2050035,ASSET-00007,Preventive,0,,000050000006
WO-2050036,ASSET-00007,Preventive,0,,000050000006
WO-2050037,ASSET-00007,Corrective,211,405,000050000006
WO-2050038,ASSET-00007,Emergency,401,1474,000050000006
WO-2050039,ASSET-00007,Corrective,195,1553,000050000006
WO-2050040,ASSET-00007,Corrective,235,838,000050000006
WO-2050041,ASSET-00007,Preventive,0,,000050000006
WO-2050042,ASSET-00007,Preventive,0,,000050000006
WO-2050043,ASSET-00007,Corrective,188,1223,000050000006
WO-2050044,ASSET-00008,Preventive,0,,000050000007
WO-2050045,ASSET-00008,Preventive,0,,000050000007
WO-2050046,ASSET-00008,Corrective,95,1479,000050000007
WO-2050047,ASSET-00008,Corrective,42,1836,000050000007
WO-2050048,ASSET-00008,Preventive,0,,000050000007
WO-2050049,ASSET-00008,Corrective,108,235,000050000007
WO-2050050,ASSET-00009,Corrective,140,1305,000050000008
WO-2050051,ASSET-00009,Corrective,110,302,000050000008
WO-2050052,ASSET-00009,Corrective,161,611,000050000008
WO-2050053,ASSET-00009,Corrective,237,1903,000050000008
WO-2050054,ASSET-00009,Preventive,0,,000050000008
WO-2050055,ASSET-00009,Preventive,0,,000050000008
WO-2050056,ASSET-00010,Emergency,329,1322,000050000009
WO-2050057,ASSET-00010,Preventive,0,,000050000009
WO-2050058,ASSET-00010,Preventive,0,,000050000009
WO-2050059,ASSET-00010,Preventive,0,,000050000009
WO-2050060,ASSET-00011,Corrective,72,1241,000050000010
WO-2050061,ASSET-00011,Corrective,77,1144,000050000010
WO-2050062,ASSET-00011,Corrective,184,313,000050000010
WO-2050063,ASSET-00011,Preventive,0,,000050000010
WO-2050064,ASSET-00011,Preventive,0,,000050000010
WO-2050065,ASSET-00012,Corrective,72,1248,000050000011
