Site_ID,Asset_Tag,Equipment_Description,CostCtr,Book_Value_USD,OEM_Name
P1040,000050000001,Palletizing Robot,CC-4609,165595.73,ABB Robotics
P1040,000050000002,Vision Inspection Station,CC-4608,38955.80,Dematic
P1040,000050000003,Torque Application Unit,CC-4609,18138.77,ABB Robotics
P1040,000050000004,Screw Fastening Station,CC-4610,32385.98,FANUC CORPORATION
P1040,000050000005,Laser Welding Cell,CC-4608,330336.82,Yaskawa Motoman
P1040,000050000006,Robotic Welding Cell,CC-4609,181214.75,abb robotics
P1040,000050000007,Injection Molding Machine,CC-4610,260978.66,ABB Robotics
P1040,000050000008,Robotic Welding Cell,CC-4610,147416.08,ABB Robotics
P1040,000050000009,Leak Test Station,CC-4611,60380.61,MAZAK CORPORATION
P1040,000050000010,Torque Application Unit,CC-4610,30587.05,Haas Automation
P1040,000050000011,Automated Guided Vehicle,CC-4611,119997.96,FANUC Corporation
P1040,000050000012,Vision Inspection Station,CC-4608,89045.82,schuler group
P1040,000050000013,Ultrasonic Welding Station,CC-4609,46293.58,ABB Robotics
P1040,000050000014,Automated Guided Vehicle,CC-4610,59060.70,Lincoln Electric
P1040,000050000015,Final Functional Test Bench,CC-4611,116068.92,Schuler Group
P1040,000050000016,Wheel Alignment Rig,CC-4611,66751.11,DMG MORI
P1040,000050000017,Dimensional Measurement Arm,CC-4609,85518.28,Yaskawa Motoman
P1040,000050000018,Vision Inspection Station,CC-4609,67101.71,Durr AG
P1040,000050000019,Torque Application Unit,CC-4609,25650.33,Yaskawa Motoman
P1040,000050000020,Dimensional Measurement Arm,CC-4610,119413.66,FANUC Corporation
P1040,000050000021,Hydraulic Press,CC-4608,276907.43,KUKA AG
P1040,000050000022,Hydraulic Press,CC-4611,290844.58,KUKA AG
P1040,000050000023,Torque Application Unit,CC-4611,35170.91,ABB Robotics
P1040,000050000024,Assembly Torque Wrench Station,CC-4611,34928.62,Yaskawa Motoman
P1040,000050000025,Riveting Station,CC-4611,29712.14,Mazak Corporation
P1040,000050000026,CNC Machining Center,CC-4608,409764.61,KUKA AG
P1040,000050000027,Final Functional Test Bench,CC-4609,178776.47,Haas Automation
P1040,000050000028,Coil Winding Machine,CC-4608,162699.32,Yaskawa
P1040,000050000029,Assembly Torque Wrench Station,CC-4611,17998.72,DMG MORI
P1040,000050000030,Automated Guided Vehicle,CC-4610,85888.09,KUKA
P1040,000050000031,Torque Application Unit,CC-4610,24731.40,Mazak
P1040,000050000032,Riveting Station,CC-4611,36182.61,Yaskawa Motoman
P1040,000050000033,Ultrasonic Welding Station,CC-4608,47224.61,KUKA
P1040,000050000034,Screw Fastening Station,CC-4608,13843.70,FANUC Corporation
P1040,000050000035,Conveyor System,CC-4610,141962.15,KUKA AG
P1040,000050000036,Screw Fastening Station,CC-4610,36104.03,Fives Group
P1040,000050000037,,CC-4610,282776.74,Lincoln Electric
P1040,000050000038,Stamping Press,CC-4611,480995.01,Miller Electric
P1040,000050000039,Stamping Press,CC-4609,493085.80,Miller Electric
P1040,000050000040,Ultrasonic Welding Station,CC-4609,42853.27,DMG MORI
P1040,000050000041,Robotic Welding Cell,CC-4609,159857.87,KUKA
P1040,000050000042,Assembly Torque Wrench Station,CC-4608,24343.27,KUKA AG
P1040,000050000043,Coil Winding Machine,CC-4609,122094.19,Lincoln Electric
P1040,000050000044,CNC Machining Center,CC-4609,199707.37,KUKA AG
P1040,000050000045,Paint Application Robot,CC-4610,276407.74,KUKA AG
P1040,000050000046,Conveyor System,CC-4610,90304.03,KUKA AG
P1040,000050000047,Conveyor System,CC-4610,59977.52,KUKA
P1040,000050000048,Palletizing Robot,CC-4608,76941.33,KUKA
P1040,000050000049,Leak Test Station,CC-4611,63983.19,Yaskawa Motoman
P1040,000050000050,Overhead Gantry Loader,CC-4608,89265.76,Yaskawa Motoman
P1040,000050000051,Automated Guided Vehicle,CC-4608,59010.60,Mazak Corporation
P1040,000050000052,Assembly Torque Wrench Station,CC-4609,23386.25,Haas Automation
P1040,000050000053,Stamping Press,CC-4608,959106.46,FANUC Corporation
P1040,000050000054,Battery Pack Assembly Cell,CC-4610,481393.36,KUKA AG
P1040,000050000055,Screw Fastening Station,CC-4608,25726.27,KUKA AG
P1040,000050000056,Final Functional Test Bench,CC-4608,83389.08,Haas Automation
P1040,000050000057,Dimensional Measurement Arm,CC-4608,113780.99,KUKA AG
P1040,000050000058,Induction Heating Unit,,88149.48,Hexagon AB
P1040,000050000059,Overhead Gantry Loader,,116789.74,fanuc corporation
P1040,000050000060,Coil Winding Machine,CC-4608,133627.48,Mazak Corporation
P1040,000050000061,Coil Winding Machine,CC-4611,117464.03,Mazak
P1040,000050000062,Induction Heating Unit,CC-4610,84119.97,KUKA AG
P1040,000050000063,Laser Welding Cell,CC-4608,285755.81,DMG MORI
P1040,000050000064,Ultrasonic Welding Station,CC-4611,65023.35,ABB Robotics
P1040,000050000065,Palletizing Robot,CC-4611,70666.38,Lincoln Electric
P1040,000050000066,Automated Guided Vehicle,CC-4610,88074.68,FANUC Corporation
P1040,000050000067,Palletizing Robot,CC-4611,163908.91,Miller Electric
P1040,000050000068,Automated Guided Vehicle,CC-4608,119026.30,Fives Group
P1040,000050000069,Conveyor System,CC-4610,65988.82,Miller
P1040,000050000070,Battery Pack Assembly Cell,CC-4608,342089.49,Haas Automation
P1040,000050000071,Palletizing Robot,CC-4611,166276.34,Schuler Group
P1040,000050000072,Paint Application Robot,,199046.02,schuler group
P1040,000050000073,Injection Molding Machine,CC-4609,288145.23,KUKA
