PROD_LINE,PROC_NUMBER,PROC_NAME_LOCAL,STATION_ID,EQUIP_REF,PRODUCT_REF,MATERIAL_REF
L01,PR-0006,Cathodic Dip Coating,S01,000050000001,,
L01,PR-0096,Setting - Steering Column,S01,,,
L01,PR-0193,Exhaust Manifold Drilling,S01,000050000002,,
L01,PR-0004,Visual Inspection,S02,000050000003,,
L01,PR-0001,Dispensing Sealing Compound,S02,000050000004,,
L01,PR-0020,Crimp Termination,S02,000050000005,,
L01,PR-0114,Brake Caliper Inspection,S03,000050000006,,
L01,PR-0001,Dispensing Sealing Compound,S04,000050000007,,
L02,PR-0002,RSW Operation,S01,000050000008,,
L02,PR-0030,Cylinder Boring,S01,000050000009,,
L02,PR-0065,Baking - Seat Frame,S02,000050000010,,
L02,PR-0001,Dispensing Sealing Compound,S03,000050000011,,
L02,PR-0005,Leak Test,S04,000050000012,,
L02,PR-0002,RSW Operation,S04,000050000013,,
L03,PR-0163,Brake Caliper Grinding,S01,000050000014,,
L03,PR-0031,Press Forming - Transmission Housing,S02,,,
L03,PR-0009,Stacking Operation,S03,000050000015,,
L04,PR-0089,Assembly - Wheel Hub,S01,000050000016,,
L04,PR-0013,Door Mounting,S02,,,
L04,PR-0119,Deflashing - Fender Panel,S02,000050000017,,
L04,PR-0002,RSW Operation,S03,000050000018,,
L04,PR-0001,Dispensing Sealing Compound,S03,000050000019,,
L05,PR-0007,Base Coat Spray,S01,000050000020,,
L05,PR-0002,RSW Operation,S01,000050000021,,
L05,PR-0076,Cutting - Center Console,S01,000050000023,,
L05,PR-0013,Door Mounting,S02,000050000024,,
L05,PR-0003,Torque Fastening,S02,000050000025,,
L05,PR-0053,Press Forming - Door Module,S03,000050000026,,
L05,PR-0012,Underbody Seam Sealing,S03,000050000027,,
L05,PR-0011,End-of-Line Test,S03,000050000028,,
L06,PR-0002,RSW Operation,S01,000050000029,,
L06,PR-0195,Center Console Machining,S01,000050000030,,
L06,PR-0027,Crank Grinding,S01,000050000031,,
L06,PR-0085,Brake Caliper Trimming,S02,000050000032,,
L06,PR-0049,Abrasive Finishing - Door Module,S02,000050000033,,
L06,PR-0011,End-of-Line Test,S02,000050000034,,
L06,PR-0001,Dispensing Sealing Compound,S03,000050000035,,
L06,PR-0028,Gear Hobbing,S03,000050000036,,
L06,PR-0001,Dispensing Sealing Compound,S04,000050000037,,
L06,PR-0160,Radiator Core Forming,S04,000050000038,,
L07,PR-0002,RSW Operation,S01,000050000040,,
L07,PR-0005,Leak Test,S01,000050000041,,
L07,PR-0014,Toe & Camber Setting,S02,000050000042,,
L08,PR-0011,End-of-Line Test,S01,,,
L08,PR-0026,Camshaft Fitting,S01,000050000043,,
L08,PR-0056,Baking - Bumper Fascia,S01,000050000044,,
L08,PR-0048,Grinding - Trunk Lid,S02,000050000045,,
L08,PR-0117,Test - Seat Frame,S03,000050000046,,
L08,PR-0009,Stacking Operation,S03,000050000048,,
L08,PR-0013,Door Mounting,S03,,,
L08,PR-0096,Setting - Steering Column,S04,000050000049,,
L09,PR-0003,Torque Fastening,S01,000050000050,,
L09,PR-0002,RSW Operation,S02,000050000051,,
L09,PR-0001,Dispensing Sealing Compound,S02,000050000052,,
L09,PR-0043,Inspection - Door Module,S03,000050000053,,
L09,PR-0032,Testing - Fuel Rail,S03,000050000054,,
L09,PR-0003,Torque Fastening,S04,000050000055,,
L09,PR-0001,Dispensing Sealing Compound,S04,000050000056,,
L09,PR-0001,Dispensing Sealing Compound,S04,000050000057,,
L10,PR-0010,Harness Routing,S01,,,
L10,PR-0002,RSW Operation,S01,000050000058,,
L10,PR-0060,Grinding - Rear Axle,S01,000050000059,,
L10,PR-0149,Moulding - Battery Module,S02,000050000060,,
L10,PR-0054,Verification - Chassis Frame,S02,000050000061,,
L10,PR-0084,Application - Engine Block,S02,000050000062,,
L10,PR-0190,Cutting - Chassis Frame,S03,,,
L11,PR-0044,Milling - Wheel Hub,S01,,,
L11,PR-0016,Panel Stamping,S01,000050000063,,
L11,PR-0066,Cutting Operation - Radiator Core,S01,000050000064,,
L11,PR-0015,Motor Coil Winding,S02,000050000065,,
L11,PR-0007,Base Coat Spray,S02,000050000066,,
L11,PR-0001,Dispensing Sealing Compound,S03,000050000067,,
L11,PR-0025,Cell Formation,S03,000050000068,,
L11,PR-0110,Cutting - Exhaust Manifold,S03,000050000069,,
L11,PR-0033,Milling - Glass Panel,S04,000050000070,,
L11,PR-0006,Cathodic Dip Coating,S04,000050000071,,
L11,PR-0021,Cushion Molding,S04,,,
L12,PR-0067,Engine Block Forming,S01,,,
L12,PR-0050,QC Review - Steering Column,S01,000050000072,,
L12,PR-0010,Harness Routing,S01,,,
L12,PR-0005,Leak Test,S02,,,
L12,PR-0006,Cathodic Dip Coating,S02,000050000073,,
L12,PR-0117,Test - Seat Frame,S03,000050000074,,
L12,PR-0001,Dispensing Sealing Compound,S04,000050000075,,
L12,PR-0090,Testing - Wire Harness,S04,000050000076,,
L12,PR-0002,RSW Operation,S04,000050000077,,
L13,PR-0179,Inspection - Wire Harness,S01,000050000078,,
L13,PR-0008,Clear Coat Spray,S01,,,
L13,PR-0042,Assembly - Wire Harness,S02,000050000079,,
L13,PR-0041,Finishing - Body Panel,S03,000050000080,,
L14,PR-0053,Press Forming - Door Module,S01,000050000081,,
L14,PR-0058,Transmission Housing Molding,S01,,,
L14,PR-0001,Dispensing Sealing Compound,S01,000050000082,,
L14,PR-0003,Torque Fastening,S02,000050000083,,
L15,PR-0002,RSW Operation,S01,000050000084,,
L15,PR-0034,Chassis Frame Molding,S01,000050000085,,
L15,PR-0031,Press Forming - Transmission Housing,S01,000050000086,,
L15,PR-0003,Torque Fastening,S02,000050000087,,
L15,PR-0060,Grinding - Rear Axle,S02,000050000088,,
L16,PR-0003,Torque Fastening,S01,000050000089,,
L16,PR-0004,Visual Inspection,S01,000050000090,,
L16,PR-0006,Cathodic Dip Coating,S01,000050000091,,
L16,PR-0045,Stamping - Center Console,S02,000050000092,,
L16,PR-0001,Dispensing Sealing Compound,S02,000050000093,,
L16,PR-0116,Finishing - Bumper Fascia,S03,000050000094,,
L17,PR-0033,Milling - Glass Panel,S01,000050000095,,
L17,PR-0018,Draw Forming,S02,000050000096,,
L17,PR-0002,RSW Operation,S02,000050000097,,
L17,PR-0057,Deflashing - Transmission Housing,S03,000050000099,,
L17,PR-0095,Dispensing - Floor Pan,S03,000050000100,,
L17,PR-0011,End-of-Line Test,S03,000050000101,,
L17,PR-0003,Torque Fastening,S04,000050000102,,
L17,PR-0005,Leak Test,S04,000050000103,,
L17,PR-0006,Cathodic Dip Coating,S04,000050000104,,
L18,PR-0003,Torque Fastening,S01,000050000105,,
L18,PR-0037,Inspection - Glass Panel,S01,000050000106,,
L18,PR-0004,Visual Inspection,S01,000050000107,,
L18,PR-0070,Deposition - Seat Frame,S02,000050000108,,
L18,PR-0009,Stacking Operation,S02,000050000109,,
L18,PR-0023,Interior Fitting,S03,000050000110,,
L18,PR-0148,Stamping - Fender Panel,S03,000050000111,,
L19,PR-0008,Clear Coat Spray,S01,000050000112,,
L19,PR-0002,RSW Operation,S01,000050000113,,
L19,PR-0014,Toe & Camber Setting,S02,000050000114,,
L19,PR-0010,Harness Routing,S02,000050000115,,
L20,PR-0056,Baking - Bumper Fascia,S01,000050000116,,
L20,PR-0088,Boring - Roof Rail,S02,000050000117,,
L20,PR-0037,Inspection - Glass Panel,S02,000050000118,,
L20,PR-0170,Forming - Dashboard Assembly,S02,000050000119,,
L20,PR-0003,Torque Fastening,S03,000050000120,,
L20,PR-0002,RSW Operation,S03,000050000121,,
L20,PR-0003,Torque Fastening,S03,,,
L20,PR-0029,Connector Termination,S04,000050000122,,
L20,PR-0002,RSW Operation,S04,000050000123,,
L20,PR-0001,Dispensing Sealing Compound,S04,000050000124,,
L21,PR-0176,Dashboard Assembly Coating,S01,000050000125,,
L21,PR-0004,Visual Inspection,S02,000050000126,,
L21,PR-0002,RSW Operation,S03,000050000127,,
L21,PR-0005,Leak Test,S03,000050000128,,
L21,PR-0001,Dispensing Sealing Compound,S03,000050000129,,
L22,PR-0001,Dispensing Sealing Compound,S01,000050000130,,
L22,PR-0003,Torque Fastening,S01,000050000131,,
L22,PR-0004,Visual Inspection,S02,000050000132,,
L22,PR-0066,Cutting Operation - Radiator Core,S03,000050000133,,
L22,PR-0007,Base Coat Spray,S04,000050000134,,
L22,PR-0043,Inspection - Door Module,S04,000050000135,,
L23,PR-0042,Assembly - Wire Harness,S01,000050000136,,
L23,PR-0058,Transmission Housing Molding,S02,000050000137,,
L23,PR-0124,Inspection - Dashboard Assembly,S02,000050000138,,
L23,PR-0011,End-of-Line Test,S02,000050000139,,
L23,PR-0001,Dispensing Sealing Compound,S03,,,
L23,PR-0001,Dispensing Sealing Compound,S03,000050000140,,
L24,PR-0002,RSW Operation,S01,000050000141,,
L24,PR-0073,Battery Module Sealing,S02,000050000142,,
L24,PR-0016,Panel Stamping,S02,,,
L25,PR-0001,Dispensing Sealing Compound,S01,000050000143,,
L25,PR-0001,Dispensing Sealing Compound,S01,000050000144,,
L25,PR-0106,Fastening - Brake Caliper,S01,000050000145,,
L25,PR-0012,Underbody Seam Sealing,S02,000050000146,,
L25,PR-0002,RSW Operation,S02,000050000147,,
L25,PR-0109,Fusing - Wheel Hub,S03,000050000148,,
L25,PR-0039,Coating - Hood Panel,S04,000050000149,,
L25,PR-0009,Stacking Operation,S04,000050000150,,
L25,PR-0009,Stacking Operation,S04,000050000151,,
L26,PR-0029,Connector Termination,S01,000050000152,,
L26,PR-0004,Visual Inspection,S02,000050000153,,
L26,PR-0200,Glass Panel Alignment,S02,000050000154,,
L26,PR-0057,Deflashing - Transmission Housing,S03,000050000155,,
L27,PR-0024,Circuit Board Assembly,S01,000050000156,,
L27,PR-0032,Testing - Fuel Rail,S01,000050000157,,
L27,PR-0196,Fitting - Fuel Rail,S02,000050000158,,
L27,PR-0001,Dispensing Sealing Compound,S02,000050000159,,
L27,PR-0001,Dispensing Sealing Compound,S02,000050000160,,
L28,PR-0057,Deflashing - Transmission Housing,S01,000050000161,,
L28,PR-0002,RSW Operation,S01,000050000162,,
L28,PR-0032,Testing - Fuel Rail,S01,000050000163,,
L28,PR-0011,End-of-Line Test,S02,000050000164,,
L28,PR-0004,Visual Inspection,S02,,,
L28,PR-0002,RSW Operation,S03,,,
L28,PR-0054,Verification - Chassis Frame,S04,000050000165,,
L28,PR-0002,RSW Operation,S04,000050000166,,
L29,PR-0001,Dispensing Sealing Compound,S01,000050000167,,
L29,PR-0008,Clear Coat Spray,S02,000050000168,,
L29,PR-0001,Dispensing Sealing Compound,S02,000050000169,,
L29,PR-0024,Circuit Board Assembly,S02,000050000170,,
L29,PR-0191,Rear Axle Fastening,S03,000050000171,,
L29,PR-0046,Radiator Core Packaging,S03,000050000172,,
L29,PR-0019,Trim and Pierce Operation,S03,000050000173,,
L29,PR-0006,Cathodic Dip Coating,S04,000050000174,,
L30,PR-0187,Molding - Bumper Fascia,S01,000050000175,,
L30,PR-0099,Check - Bumper Fascia,S01,000050000176,,
L30,PR-0070,Deposition - Seat Frame,S01,000050000177,,
L30,PR-0002,RSW Operation,S02,000050000178,,
L30,PR-0001,Dispensing Sealing Compound,S03,000050000179,,
L30,PR-0002,RSW Operation,S04,000050000180,,
L30,PR-0003,Torque Fastening,S04,000050000181,,
L31,PR-0001,Dispensing Sealing Compound,S01,000050000182,,
L31,PR-0104,Welding - Dashboard Assembly,S02,000050000183,,
L31,PR-0002,RSW Operation,S02,,,
L31,PR-0002,RSW Operation,S03,000050000184,,
L31,PR-0104,Welding - Dashboard Assembly,S04,000050000185,,
L31,PR-0157,Cutting - Fuel Rail,S04,000050000186,,
L32,PR-0002,RSW Operation,S01,000050000187,,
L32,PR-0003,Torque Fastening,S02,000050000189,,
L32,PR-0062,Trimming - Wheel Hub,S02,000050000190,,
L32,PR-0168,Fusing - Trunk Lid,S02,000050000191,,
L32,PR-0026,Camshaft Fitting,S03,000050000192,,
L32,PR-0008,Clear Coat Spray,S03,000050000193,,
L32,PR-0030,Cylinder Boring,S03,000050000194,,
L33,PR-0055,Adjustment - Engine Block,S01,000050000195,,
L33,PR-0001,Dispensing Sealing Compound,S02,000050000196,,
L33,PR-0007,Base Coat Spray,S03,000050000197,,
L33,PR-0087,Rear Axle Cutting,S04,000050000198,,
L33,PR-0035,Seal Application - Transmission Housing,S04,000050000199,,
L34,PR-0001,Dispensing Sealing Compound,S01,000050000200,,
L34,PR-0048,Grinding - Trunk Lid,S01,000050000201,,
L34,PR-0028,Gear Hobbing,S01,000050000202,,
L34,PR-0003,Torque Fastening,S02,000050000204,,
L34,PR-0004,Visual Inspection,S02,000050000205,,
L34,PR-0004,Visual Inspection,S02,,,
L35,PR-0193,Exhaust Manifold Drilling,S01,000050000206,,
L35,PR-0002,RSW Operation,S02,,,
L35,PR-0074,Setting - Radiator Core,S03,000050000207,,
L35,PR-0013,Door Mounting,S03,000050000208,,
L35,PR-0099,Check - Bumper Fascia,S03,000050000209,,
L35,PR-0180,Wheel Hub Drilling,S04,000050000210,,
L36,PR-0160,Radiator Core Forming,S01,000050000211,,
L36,PR-0085,Brake Caliper Trimming,S01,,,
L36,PR-0006,Cathodic Dip Coating,S01,000050000212,,
L36,PR-0003,Torque Fastening,S02,000050000213,,
L36,PR-0004,Visual Inspection,S03,000050000214,,
L37,PR-0026,Camshaft Fitting,S01,000050000215,,
L37,PR-0004,Visual Inspection,S02,000050000216,,
L38,PR-0007,Base Coat Spray,S01,000050000217,,
L38,PR-0001,Dispensing Sealing Compound,S01,000050000218,,
L38,PR-0052,Fitting - Engine Block,S02,000050000219,,
L38,PR-0001,Dispensing Sealing Compound,S02,000050000220,,
L38,PR-0004,Visual Inspection,S02,000050000221,,
L38,PR-0018,Draw Forming,S03,000050000222,,
L38,PR-0013,Door Mounting,S03,000050000223,,
L38,PR-0107,Packing - Fuel Rail,S03,000050000224,,
L38,PR-0027,Crank Grinding,S04,000050000225,,
L38,PR-0058,Transmission Housing Molding,S04,000050000226,,
L38,PR-0003,Torque Fastening,S04,000050000227,,
L39,PR-0001,Dispensing Sealing Compound,S01,000050000228,,
L39,PR-0044,Milling - Wheel Hub,S02,000050000229,,
L39,PR-0001,Dispensing Sealing Compound,S02,000050000230,,
L39,PR-0076,Cutting - Center Console,S02,000050000231,,
L40,PR-0143,Cutting - Hood Panel,S01,,,
L40,PR-0003,Torque Fastening,S02,000050000232,,
L40,PR-0049,Abrasive Finishing - Door Module,S02,000050000233,,
L40,PR-0007,Base Coat Spray,S02,,,
