NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-DE-00001,MER-DASHBOARD-0017,PAINT-RUNS,STMP-S03,Use-As-Is,181
NCR-DE-00002,MER-WIRING-HARNESS-0022,SEAL-LEAK,STMP-S04,Scrap,68
NCR-DE-00003,MER-HEADLINER-0020,SURFACE-SCRATCH,STMP-S03,Rework,304
NCR-DE-00004,MER-CLUTCH-ASSEMBLY-0033,WELD-MISALIGN,STMP-S03,Rework,260
NCR-DE-00005,MER-VEH-SUV-0001,ASSY-MISSING-FASTENER,STMP-S01,Rework,242
NCR-DE-00006,MER-CRANKSHAFT-0029,ASSY-WRONG-PART,STMP-S01,Rework,98
NCR-DE-00007,MER-FUEL-TANK-0036,ASSY-CROSS-THREAD,STMP-S02,Use-As-Is,248
NCR-DE-00008,MER-FRONT-SUSPENSION-0010,WELD-UNDERCUT,STMP-S04,Rework,272
NCR-DE-00009,MER-FUEL-INJECTOR-0038,ELEC-CONNECTOR-MISMATE,STMP-S02,Rework,33
NCR-DE-00010,MER-FUEL-INJECTOR-0038,ELEC-OPEN-CIRCUIT,STMP-S01,Use-As-Is,232
NCR-DE-00011,MER-LOW-VOLTAGE-BATT-0023,WELD-MISALIGN,STMP-S04,Rework,202
NCR-DE-00012,MER-WIRING-HARNESS-0022,DIM-GAP-FLUSH,STMP-S02,Rework,346
NCR-DE-00013,MER-BUMPER-REAR-0007,ELEC-SHORT-CIRCUIT,STMP-S04,Rework,39
NCR-DE-00014,MER-FRONT-SUSPENSION-0010,DIM-GAP-FLUSH,STMP-S02,Scrap,29
NCR-DE-00015,MER-CHARGE-PORT-0039,WELD-UNDERCUT,STMP-S03,Rework,312
NCR-DE-00016,MER-BUMPER-REAR-0007,DIM-GAP-FLUSH,STMP-S01,Use-As-Is,430
NCR-DE-00017,MER-SEATS-0016,WELD-UNDERCUT,STMP-S02,Use-As-Is,118
NCR-DE-00018,MER-ROTOR-0032,SEAL-LEAK,STMP-S04,Rework,452
NCR-DE-00019,MER-VEH-COMPACT-0001,ASSY-WRONG-PART,STMP-S04,Rework,63
NCR-DE-00020,MER-FUEL-INJECTOR-0038,ASSY-WRONG-PART,STMP-S01,Rework,71
NCR-DE-00021,MER-WIRING-HARNESS-0022,ASSY-MISSING-FASTENER,STMP-S04,Rework,93
NCR-DE-00022,MER-FRONT-SUSPENSION-0010,PAINT-RUNS,STMP-S01,Scrap,47
NCR-DE-00023,MER-BRAKE-SYSTEM-0012,ASSY-MISSING-FASTENER,STMP-S02,Scrap,94
NCR-DE-00024,MER-WHEELS-0014,WELD-MISALIGN,STMP-S02,Use-As-Is,82
NCR-DE-00025,MER-GEARBOX-HOUSING-0032,PAINT-BLISTER,STMP-S03,Scrap,85
NCR-DE-00026,MER-VEH-SUV-0001,ASSY-WRONG-PART,STMP-S02,Use-As-Is,430
NCR-DE-00027,MER-LOW-VOLTAGE-BATT-0023,ELEC-SHORT-CIRCUIT,STMP-S02,Rework,301
NCR-DE-00028,MER-BATTERY-CELL-MOD-0027,SEAL-LEAK,STMP-S02,Scrap,277
NCR-DE-00029,MER-FENDERS-0008,WELD-MISALIGN,STMP-S01,Scrap,79
NCR-DE-00030,MER-DOOR-PANELS-0019,DIM-GAP-FLUSH,STMP-S03,Rework,416
NCR-DE-00031,MER-BRAKE-SYSTEM-0012,ASSY-MISSING-FASTENER,STMP-S02,Scrap,197
NCR-DE-00032,MER-BRAKE-SYSTEM-0012,ELEC-OPEN-CIRCUIT,STMP-S02,Use-As-Is,497
NCR-DE-00033,MER-WHEELS-0014,PAINT-BLISTER,STMP-S01,Rework,64
NCR-DE-00034,MER-HEADLINER-0020,MATERIAL-CONTAMINATION,STMP-S03,Rework,113
