CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,111.208,113.129,108.951,1.38
K1001,S01,111.058,113.129,108.951,1.38
K1001,S01,110.972,113.129,108.951,1.38
K1001,S01,111.329,113.129,108.951,1.38
K1002,S02,163.575,166.726,161.231,1.94
K1002,S02,163.586,166.726,161.231,1.94
K1003,S02,121.321,126.632,116.963,1.76
K1003,S02,121.264,126.632,116.963,1.76
K1003,S02,121.719,126.632,116.963,1.76
K1003,S02,121.108,126.632,116.963,1.76
K1004,S03,161.668,166.023,157.032,1.36
K1004,S03,159.98,166.023,157.032,1.36
K1004,S03,163.734,166.023,157.032,1.36
K1005,S03,105.595,105.97,103.923,1.11
K1005,S03,104.638,105.97,103.923,1.11
K1006,S03,28.832,32.241,24.02,0.8
K1006,S03,31.35,32.241,24.02,0.8
K1006,S03,25.5,32.241,24.02,0.8
K1006,S03,25.646,32.241,24.02,0.8
K1006,S03,29.975,32.241,24.02,0.8
K1007,S04,100.424,101.556,99.254,1.35
K1007,S04,100.274,101.556,99.254,1.35
K1007,S04,99.953,101.556,99.254,1.35
K1008,S04,187.643,188.727,186.344,1.35
K1008,S04,187.799,188.727,186.344,1.35
K1008,S04,187.961,188.727,186.344,1.35
K1008,S04,187.907,188.727,186.344,1.35
K1009,S04,98.753,100.826,97.87,1.09
K1009,S04,98.648,100.826,97.87,1.09
K1010,S01,164.7,166.427,162.856,1.7
K1010,S01,164.239,166.427,162.856,1.7
K1010,S01,164.976,166.427,162.856,1.7
K1011,S02,65.206,67.253,61.213,0.97
K1011,S02,64.61,67.253,61.213,0.97
K1011,S02,64.637,67.253,61.213,0.97
K1011,S02,64.916,67.253,61.213,0.97
K1011,S02,65.886,67.253,61.213,0.97
K1012,S02,163.96,166.995,160.46,1.86
K1012,S02,163.588,166.995,160.46,1.86
K1012,S02,164.543,166.995,160.46,1.86
K1013,S03,48.596,51.776,44.3,0.69
K1013,S03,50.096,51.776,44.3,0.69
K1013,S03,47.582,51.776,44.3,0.69
K1014,S03,96.148,95.112,87.542,0.79
K1014,S03,90.997,95.112,87.542,0.79
K1014,S03,90.819,95.112,87.542,0.79
K1014,S03,89.597,95.112,87.542,0.79
K1015,S04,155.849,154.428,147.407,0.62
K1015,S04,150.89,154.428,147.407,0.62
K1015,S04,148.482,154.428,147.407,0.62
K1016,S04,19.009,21.725,11.74,1.23
K1016,S04,19.235,21.725,11.74,1.23
K1016,S04,17.747,21.725,11.74,1.23
K1017,S01,157.282,159.593,154.414,1.69
K1017,S01,157.468,159.593,154.414,1.69
K1017,S01,157.156,159.593,154.414,1.69
K1018,S01,36.436,37.515,35.82,1.32
K1018,S01,36.787,37.515,35.82,1.32
K1018,S01,36.571,37.515,35.82,1.32
K1019,S02,123.891,130.04,120.313,1.3
