Material_No,Bin_Location,Quantity,Kanban_ID,Ship_From,Ship_To
MAT-701609,H-16-4,890,KANBAN-00001,Stamping Plant DE,BIW/Welding Plant DE
MAT-362828,C-09-1,3626,KANBAN-00002,Stamping Plant DE,BIW/Welding Plant DE
MAT-437165,D-03-4,3531,KANBAN-00003,Stamping Plant DE,BIW/Welding Plant DE
MAT-585779,B-15-3,1213,KANBAN-00004,Stamping Plant DE,BIW/Welding Plant DE
MAT-444045,D-19-1,2051,KANBAN-00005,Stamping Plant DE,BIW/Welding Plant DE
MAT-914618,F-09-2,868,KANBAN-00006,Stamping Plant DE,BIW/Welding Plant DE
MAT-991981,G-13-3,1728,KANBAN-00007,Stamping Plant DE,BIW/Welding Plant DE
MAT-699888,A-17-1,279,KANBAN-00008,Stamping Plant DE,BIW/Welding Plant DE
MAT-556435,F-07-5,2278,KANBAN-00009,Stamping Plant DE,BIW/Welding Plant DE
MAT-772206,E-04-5,4472,KANBAN-00010,Stamping Plant DE,BIW/Welding Plant DE
MAT-541887,B-29-1,476,KANBAN-00011,Stamping Plant DE,BIW/Welding Plant DE
MAT-603883,B-28-4,805,KANBAN-00012,Stamping Plant DE,BIW/Welding Plant DE
MAT-531364,A-23-3,2014,KANBAN-00013,Stamping Plant DE,BIW/Welding Plant DE
MAT-673757,A-18-5,3664,KANBAN-00014,Stamping Plant DE,BIW/Welding Plant DE
MAT-105145,E-02-4,3751,KANBAN-00015,Stamping Plant DE,BIW/Welding Plant DE
MAT-108979,E-10-2,2077,KANBAN-00016,Stamping Plant DE,BIW/Welding Plant DE
MAT-732222,E-29-5,1613,KANBAN-00017,Stamping Plant DE,BIW/Welding Plant DE
MAT-533606,H-21-3,4211,KANBAN-00018,Stamping Plant DE,BIW/Welding Plant DE
MAT-312982,B-10-5,2359,KANBAN-00019,Stamping Plant DE,BIW/Welding Plant DE
MAT-709201,F-04-1,3853,KANBAN-00020,Stamping Plant DE,BIW/Welding Plant DE
MAT-809696,D-24-4,128,KANBAN-00021,Stamping Plant DE,BIW/Welding Plant DE
MAT-545088,B-24-4,4153,KANBAN-00022,Stamping Plant DE,BIW/Welding Plant DE
MAT-810014,A-09-3,1087,KANBAN-00023,Stamping Plant DE,BIW/Welding Plant DE
MAT-323874,E-11-2,79,KANBAN-00024,Stamping Plant DE,BIW/Welding Plant DE
MAT-906661,F-22-2,353,KANBAN-00025,Stamping Plant DE,BIW/Welding Plant DE
MAT-143021,A-10-2,1733,KANBAN-00026,Stamping Plant DE,BIW/Welding Plant DE
MAT-459619,B-23-4,2431,KANBAN-00027,Stamping Plant DE,BIW/Welding Plant DE
MAT-236822,B-08-2,3104,KANBAN-00028,Stamping Plant DE,BIW/Welding Plant DE
MAT-881540,C-04-5,4629,KANBAN-00029,Stamping Plant DE,BIW/Welding Plant DE
MAT-512501,G-24-5,3651,KANBAN-00030,Stamping Plant DE,BIW/Welding Plant DE
MAT-807252,G-23-5,610,KANBAN-00031,Stamping Plant DE,BIW/Welding Plant DE
MAT-793141,H-11-5,4244,KANBAN-00032,Stamping Plant DE,BIW/Welding Plant DE
MAT-512070,E-19-4,4717,KANBAN-00033,Stamping Plant DE,BIW/Welding Plant DE
MAT-117131,B-22-5,4284,KANBAN-00034,Stamping Plant DE,BIW/Welding Plant DE
MAT-222789,C-14-5,2736,KANBAN-00035,Stamping Plant DE,BIW/Welding Plant DE
MAT-857930,F-08-2,4236,KANBAN-00036,Stamping Plant DE,BIW/Welding Plant DE
MAT-202496,G-15-1,3405,KANBAN-00037,Stamping Plant DE,BIW/Welding Plant DE
MAT-727304,E-21-3,3088,KANBAN-00038,Stamping Plant DE,BIW/Welding Plant DE
MAT-322599,B-11-1,1449,KANBAN-00039,Stamping Plant DE,BIW/Welding Plant DE
MAT-362336,F-18-4,490,KANBAN-00040,Stamping Plant DE,BIW/Welding Plant DE
MAT-506533,G-15-4,2809,KANBAN-00041,Stamping Plant DE,BIW/Welding Plant DE
MAT-764752,G-19-3,4982,KANBAN-00042,Stamping Plant DE,BIW/Welding Plant DE
MAT-689389,A-26-4,1233,KANBAN-00043,Stamping Plant DE,BIW/Welding Plant DE
MAT-981681,C-23-4,2194,KANBAN-00044,Stamping Plant DE,BIW/Welding Plant DE
MAT-728191,B-12-1,698,KANBAN-00045,Stamping Plant DE,BIW/Welding Plant DE
MAT-197664,C-12-3,3066,KANBAN-00046,Stamping Plant DE,BIW/Welding Plant DE
MAT-232122,F-17-2,3367,KANBAN-00047,Stamping Plant DE,BIW/Welding Plant DE
MAT-854098,A-19-5,4622,KANBAN-00048,Stamping Plant DE,BIW/Welding Plant DE
MAT-272777,B-02-2,4064,KANBAN-00049,Stamping Plant DE,BIW/Welding Plant DE
MAT-524726,G-18-4,3678,KANBAN-00050,Stamping Plant DE,BIW/Welding Plant DE
MAT-954299,E-13-3,3231,KANBAN-00051,Stamping Plant DE,BIW/Welding Plant DE
MAT-616824,A-28-5,4764,KANBAN-00052,Stamping Plant DE,BIW/Welding Plant DE
MAT-866263,B-11-1,2197,KANBAN-00053,Stamping Plant DE,BIW/Welding Plant DE
MAT-457548,E-22-4,2035,KANBAN-00054,Stamping Plant DE,BIW/Welding Plant DE
MAT-173637,E-19-3,1779,KANBAN-00055,Stamping Plant DE,BIW/Welding Plant DE
MAT-651397,F-27-4,2243,KANBAN-00056,Stamping Plant DE,BIW/Welding Plant DE
MAT-307504,D-17-4,4327,KANBAN-00057,Stamping Plant DE,BIW/Welding Plant DE
MAT-560634,H-22-1,3780,KANBAN-00058,Stamping Plant DE,BIW/Welding Plant DE
MAT-348972,A-20-4,4953,KANBAN-00059,Stamping Plant DE,BIW/Welding Plant DE
MAT-373936,B-13-1,3797,KANBAN-00060,Stamping Plant DE,BIW/Welding Plant DE
MAT-147415,C-06-5,2733,KANBAN-00061,Stamping Plant DE,BIW/Welding Plant DE
MAT-406967,E-04-4,533,KANBAN-00062,Stamping Plant DE,BIW/Welding Plant DE
MAT-418921,F-29-2,2696,KANBAN-00063,Stamping Plant DE,BIW/Welding Plant DE
MAT-262852,A-06-3,4189,KANBAN-00064,Stamping Plant DE,BIW/Welding Plant DE
MAT-348056,E-10-3,75,KANBAN-00065,Stamping Plant DE,BIW/Welding Plant DE
MAT-522509,A-29-4,1628,KANBAN-00066,Stamping Plant DE,BIW/Welding Plant DE
MAT-602650,C-27-2,3399,KANBAN-00067,Stamping Plant DE,BIW/Welding Plant DE
MAT-240066,B-19-3,1965,KANBAN-00068,Stamping Plant DE,BIW/Welding Plant DE
MAT-598220,A-20-5,4262,KANBAN-00069,Stamping Plant DE,BIW/Welding Plant DE
