WorkOrderID,EquipmentID,WOType,FailureCode,DowntimeMinutes,MTBF_Hours,ERPAssetRef
WO-2080001,ASSET-00001,Preventive,,0,,000080000001
WO-2080002,ASSET-00001,Emergency,DIE-WEAR,437,1337,000080000001
WO-2080003,ASSET-00002,Preventive,,0,,000080000003
WO-2080004,ASSET-00002,Corrective,CONTROLLER-FAULT,99,1878,000080000003
WO-2080005,ASSET-00002,Corrective,BELT-FAILURE,209,397,000080000003
WO-2080006,ASSET-00002,Corrective,SENSOR-FAULT,81,1453,000080000003
WO-2080007,ASSET-00002,Preventive,,0,,000080000003
WO-2080008,ASSET-00002,Preventive,,0,,000080000003
WO-2080009,ASSET-00003,Preventive,,0,,000080000004
WO-2080010,ASSET-00003,Corrective,MOTOR-BURNOUT,69,792,000080000004
WO-2080011,ASSET-00003,Emergency,SENSOR-FAULT,578,1544,000080000004
WO-2080012,ASSET-00003,Emergency,DIE-WEAR,503,1057,000080000004
WO-2080013,ASSET-00003,Emergency,MOTOR-BURNOUT,581,1894,000080000004
WO-2080014,ASSET-00003,Emergency,CONTROLLER-FAULT,244,246,000080000004
WO-2080015,ASSET-00004,Corrective,SPINDLE-SEIZURE,226,1465,000080000005
WO-2080016,ASSET-00004,Preventive,,0,,000080000005
WO-2080017,ASSET-00004,Preventive,,0,,000080000005
WO-2080018,ASSET-00004,Emergency,DIE-WEAR,137,706,000080000005
WO-2080019,ASSET-00004,Preventive,,0,,000080000005
WO-2080020,ASSET-00004,Emergency,BELT-FAILURE,477,580,000080000005
WO-2080021,ASSET-00005,Preventive,,0,,000080000006
WO-2080022,ASSET-00005,Preventive,,0,,000080000006
WO-2080023,ASSET-00005,Corrective,MOTOR-BURNOUT,144,736,000080000006
WO-2080024,ASSET-00005,Preventive,,0,,000080000006
WO-2080025,ASSET-00007,Emergency,CALIBRATION-DRIFT,241,739,000080000008
WO-2080026,ASSET-00007,Preventive,,0,,000080000008
WO-2080027,ASSET-00007,Preventive,,0,,000080000008
WO-2080028,ASSET-00007,Preventive,,0,,000080000008
WO-2080029,ASSET-00007,Preventive,,0,,000080000008
WO-2080030,ASSET-00007,Preventive,,0,,000080000008
WO-2080031,ASSET-00007,Preventive,,0,,000080000008
WO-2080032,ASSET-00007,Preventive,,0,,000080000008
WO-2080033,ASSET-00007,Corrective,HYDRAULIC-LEAK,206,1267,000080000008
WO-2080034,ASSET-00008,Emergency,PNEUMATIC-LEAK,346,1477,000080000009
WO-2080035,ASSET-00008,Corrective,BELT-FAILURE,187,234,000080000009
WO-2080036,ASSET-00008,Emergency,CALIBRATION-DRIFT,138,882,000080000009
WO-2080037,ASSET-00008,Preventive,,0,,000080000009
WO-2080038,ASSET-00008,Preventive,,0,,000080000009
WO-2080039,ASSET-00008,Preventive,,0,,000080000009
WO-2080040,ASSET-00008,Preventive,,0,,000080000009
WO-2080041,ASSET-00009,Preventive,,0,,000080000010
WO-2080042,ASSET-00009,Preventive,,0,,000080000010
WO-2080043,ASSET-00009,Corrective,BEARING-FAILURE,200,1891,000080000010
WO-2080044,ASSET-00009,Corrective,SPINDLE-SEIZURE,95,428,000080000010
