PlantCode,FixedAssetNo,AssetDesc,AcqValue,Manufacturer
P1070,000080000001,Screw Fastening Station,22586.12,DMG MORI
P1070,000080000002,Screw Fastening Station,16281.12,DMG MORI
P1070,000080000003,,232716.28,KUKA
P1070,000080000004,Screw Fastening Station,12696.13,Yaskawa Motoman
P1070,000080000005,Palletizing Robot,133353.62,Haas Automation
P1070,000080000006,Ultrasonic Welding Station,39427.16,Lincoln
P1070,000080000007,Wheel Alignment Rig,31095.82,KUKA AG
P1070,000080000008,Conveyor System,146024.00,lincoln electric
P1070,000080000009,Injection Molding Machine,470074.06,DMG
P1070,000080000010,Overhead Gantry Loader,123844.36,Yaskawa Motoman
P1070,000080000011,Ultrasonic Welding Station,56098.00,ABB Robotics
P1070,000080000012,Dimensional Measurement Arm,124787.07,KUKA AG
P1070,000080000013,Vision Inspection Station,52684.44,ABB Robotics
P1070,000080000014,Leak Test Station,24391.26,DMG MORI
P1070,000080000015,Battery Pack Assembly Cell,367165.11,kuka ag
P1070,000080000016,Battery Pack Assembly Cell,475154.61,kuka ag
P1070,000080000017,Screw Fastening Station,16340.87,KUKA
P1070,000080000018,Laser Welding Cell,291598.05,DMG MORI
P1070,000080000019,Robotic Welding Cell,264837.18,KUKA AG
P1070,000080000020,Final Functional Test Bench,153600.88,Haas Automation
P1070,000080000021,CNC Machining Center,413630.40,AIDA
P1070,000080000022,Overhead Gantry Loader,62645.60,Yaskawa
P1070,000080000023,Conveyor System,134700.49,INGERSOLL RAND
P1070,000080000024,Leak Test Station,20271.61,ABB Robotics
P1070,000080000025,Vision Inspection Station,76189.07,Schuler
P1070,000080000026,Overhead Gantry Loader,168296.47,Eisenmann
P1070,000080000027,Conveyor System,44439.27,AIDA Engineering
P1070,000080000028,Riveting Station,53139.20,ABB Robotics
P1070,000080000029,CNC Machining Center,269266.11,dematic
P1070,000080000030,Vision Inspection Station,52457.50,Mazak Corporation
P1070,000080000031,Laser Welding Cell,299540.36,KUKA AG
P1070,000080000032,Final Functional Test Bench,135645.74,Dematic
P1070,000080000033,Injection Molding Machine,327857.78,Haas Automation
P1070,000080000034,Coil Winding Machine,184028.45,Miller Electric
P1070,000080000035,Stamping Press,618203.96,FANUC Corporation
P1070,000080000036,Adhesive Dispensing Unit,67835.30,FANUC Corporation
P1070,000080000037,Coil Winding Machine,217682.77,KUKA AG
P1070,000080000038,CNC Machining Center,426604.82,ABB Robotics
P1070,000080000039,Torque Application Unit,36540.35,Fives Group
P1070,000080000040,Adhesive Dispensing Unit,47258.25,Mazak Corporation
P1070,000080000041,Torque Application Unit,42588.64,Lincoln Electric
P1070,000080000042,Dimensional Measurement Arm,52918.21,KUKA
P1070,000080000043,Stamping Press,551862.38,ABB
P1070,000080000044,CNC Machining Center,250846.69,Fives Group
P1070,000080000045,Riveting Station,61941.36,Mazak Corporation
P1070,000080000046,Wheel Alignment Rig,41001.23,Bosch Rexroth
P1070,000080000047,Palletizing Robot,92000.56,ABB
P1070,000080000048,Adhesive Dispensing Unit,83438.62,Abb Robotics
P1070,000080000049,Adhesive Dispensing Unit,80834.55,ABB Robotics
P1070,000080000050,Stamping Press,524934.42,ABB Robotics
P1070,000080000051,Coil Winding Machine,110745.09,Abb Robotics
P1070,000080000052,Paint Application Robot,202798.34,ABB
P1070,000080000053,Injection Molding Machine,282428.28,Miller Electric
P1070,000080000054,Overhead Gantry Loader,94453.41,KUKA
P1070,000080000055,CNC Machining Center,286478.67,ABB ROBOTICS
P1070,000080000056,Stamping Press,807411.25,ABB Robotics
P1070,000080000057,Leak Test Station,29581.95,Miller
P1070,000080000058,Injection Molding Machine,313784.36,KUKA AG
P1070,000080000059,Paint Application Robot,287350.27,Hexagon AB
P1070,000080000060,Torque Application Unit,24043.13,Mazak Corporation
P1070,000080000061,Ultrasonic Welding Station,70932.54,ABB Robotics
P1070,000080000062,Induction Heating Unit,85882.02,KUKA AG
P1070,000080000063,Leak Test Station,45740.75,ABB Robotics
P1070,000080000064,Final Functional Test Bench,100184.06,KUKA AG
P1070,000080000065,Stamping Press,932639.86,Hexagon AB
P1070,000080000066,,300509.45,Durr
P1070,000080000067,Automated Guided Vehicle,117092.89,DMG
P1070,000080000068,,77531.30,Miller
P1070,000080000069,Torque Application Unit,25014.26,Schneider Electric
P1070,000080000070,Wheel Alignment Rig,73133.98,Eisenmann SE
P1070,000080000071,Hydraulic Press,141184.81,Yaskawa Motoman
P1070,000080000072,Laser Welding Cell,297020.35,KUKA AG
P1070,000080000073,Injection Molding Machine,439455.13,Mazak Corporation
P1070,000080000074,Automated Guided Vehicle,44223.93,ABB
P1070,000080000075,Coil Winding Machine,197517.50,Mazak
P1070,000080000076,Battery Pack Assembly Cell,512616.50,Rockwell
P1070,000080000077,CNC Machining Center,242673.86,Lincoln Electric
P1070,000080000078,Battery Pack Assembly Cell,390316.95,Bosch Rexroth
P1070,000080000079,Paint Application Robot,235575.81,KUKA AG
P1070,000080000080,Assembly Torque Wrench Station,10866.83,Miller Electric
P1070,000080000081,Final Functional Test Bench,152449.03,Durr
P1070,000080000082,Injection Molding Machine,372950.46,Dematic
P1070,000080000083,Robotic Welding Cell,171664.91,DMG MORI
P1070,000080000084,Wheel Alignment Rig,73691.39,ABB Robotics
P1070,000080000085,Final Functional Test Bench,161025.77,KUKA AG
P1070,000080000086,Torque Application Unit,25966.51,Yaskawa Motoman
P1070,000080000087,Screw Fastening Station,30935.62,ABB Robotics
P1070,000080000088,Palletizing Robot,142565.57,Kuka Ag
P1070,000080000089,Paint Application Robot,203685.00,Lincoln Electric
P1070,000080000090,Overhead Gantry Loader,154005.12,Yaskawa Motoman
P1070,000080000091,Conveyor System,86201.99,KUKA AG
P1070,000080000092,,55936.29,Haas
P1070,000080000093,Palletizing Robot,173378.79,LINCOLN ELECTRIC
P1070,000080000094,Torque Application Unit,22160.89,Kuka Ag
P1070,000080000095,Hydraulic Press,282138.10,Ingersoll Rand
P1070,000080000096,Automated Guided Vehicle,114243.72,KUKA AG
P1070,000080000097,Final Functional Test Bench,106768.30,KUKA AG
P1070,000080000098,Conveyor System,140874.51,Comau
P1070,000080000099,Ultrasonic Welding Station,29297.31,Hexagon AB
P1070,000080000100,Palletizing Robot,152685.41,Haas Automation
P1070,000080000101,Leak Test Station,69562.53,ABB Robotics
P1070,000080000102,Wheel Alignment Rig,42441.67,Atlas Copco
P1070,000080000103,Adhesive Dispensing Unit,77644.40,ABB Robotics
P1070,000080000104,Leak Test Station,22993.28,ABB Robotics
P1070,000080000105,Dimensional Measurement Arm,144026.42,KUKA
P1070,000080000106,Battery Pack Assembly Cell,579519.81,Siemens
P1070,000080000107,Laser Welding Cell,212533.99,FANUC Corporation
P1070,000080000108,Leak Test Station,30192.07,KUKA AG
P1070,000080000109,Conveyor System,50032.19,KUKA
P1070,000080000110,Stamping Press,1158755.34,KUKA
P1070,000080000111,Leak Test Station,35170.36,KUKA
P1070,000080000112,Wheel Alignment Rig,38384.53,KUKA AG
P1070,000080000113,Assembly Torque Wrench Station,28132.67,Durr AG
P1070,000080000114,Torque Application Unit,28586.57,FANUC Corporation
P1070,000080000115,Dimensional Measurement Arm,109542.47,DMG MORI
P1070,000080000116,Conveyor System,77757.68,Miller Electric
P1070,000080000117,Overhead Gantry Loader,67421.05,ABB ROBOTICS
P1070,000080000118,Robotic Welding Cell,163312.96,KUKA AG
P1070,000080000119,Palletizing Robot,153010.88,ABB Robotics
P1070,000080000120,Palletizing Robot,103861.93,ABB Robotics
P1070,000080000121,Stamping Press,580096.11,Yaskawa Motoman
P1070,000080000122,Wheel Alignment Rig,64816.64,KUKA AG
P1070,000080000123,Robotic Welding Cell,131155.55,FANUC
P1070,000080000124,Automated Guided Vehicle,103552.27,FANUC Corporation
P1070,000080000125,Screw Fastening Station,28012.79,KUKA
P1070,000080000126,Adhesive Dispensing Unit,60973.10,ABB Robotics
P1070,000080000127,Adhesive Dispensing Unit,85033.33,Yaskawa Motoman
P1070,000080000128,Ultrasonic Welding Station,75072.71,ABB Robotics
P1070,000080000129,Induction Heating Unit,68889.63,KUKA AG
P1070,000080000130,Riveting Station,63792.95,ABB Robotics
P1070,000080000131,Laser Welding Cell,295751.32,KUKA
P1070,000080000132,Wheel Alignment Rig,73568.36,Eisenmann SE
P1070,000080000133,Palletizing Robot,117776.83,DURR AG
P1070,000080000134,Stamping Press,400416.98,Yaskawa
P1070,000080000135,Stamping Press,595831.66,Yaskawa Motoman
P1070,000080000136,Leak Test Station,26208.26,Durr
P1070,000080000137,Overhead Gantry Loader,80633.42,KUKA
P1070,000080000138,Induction Heating Unit,75783.19,ABB Robotics
P1070,000080000139,Automated Guided Vehicle,118129.86,Ingersoll Rand
P1070,000080000140,Hydraulic Press,295238.45,KUKA
P1070,000080000141,Robotic Welding Cell,148084.63,KUKA
P1070,000080000142,Torque Application Unit,21142.62,DMG MORI
P1070,000080000143,Adhesive Dispensing Unit,53771.43,KUKA AG
P1070,000080000144,Torque Application Unit,29186.78,ABB Robotics
P1070,000080000145,Coil Winding Machine,146648.06,KUKA AG
P1070,000080000146,Overhead Gantry Loader,85320.86,Mazak Corporation
P1070,000080000147,Palletizing Robot,102890.46,Haas Automation
P1070,000080000148,Ultrasonic Welding Station,53154.11,Fanuc Corporation
P1070,000080000149,Injection Molding Machine,490323.24,Lincoln Electric
P1070,000080000150,Riveting Station,27102.79,YASKAWA MOTOMAN
P1070,000080000151,Conveyor System,143179.41,KUKA AG
P1070,000080000152,Battery Pack Assembly Cell,399259.49,KUKA AG
P1070,000080000153,Riveting Station,31908.75,Lincoln Electric
P1070,000080000154,Riveting Station,33220.05,Lincoln Electric
P1070,000080000155,CNC Machining Center,281291.39,KUKA
P1070,000080000156,Overhead Gantry Loader,129224.52,Dematic
P1070,000080000157,Overhead Gantry Loader,75406.93,Haas
P1070,000080000158,Overhead Gantry Loader,120749.63,Miller Electric
P1070,000080000159,Robotic Welding Cell,251548.82,KUKA
P1070,000080000160,Assembly Torque Wrench Station,24226.12,Yaskawa
P1070,000080000161,Ultrasonic Welding Station,64695.30,ABB ROBOTICS
P1070,000080000162,Vision Inspection Station,85639.52,AIDA Engineering
P1070,000080000163,Vision Inspection Station,81998.52,Dematic
P1070,000080000164,Paint Application Robot,173156.52,ABB Robotics
P1070,000080000165,Battery Pack Assembly Cell,354324.11,ABB Robotics
P1070,000080000166,Ultrasonic Welding Station,29387.06,KUKA AG
P1070,000080000167,Assembly Torque Wrench Station,16305.95,KUKA AG
P1070,000080000168,Wheel Alignment Rig,61526.29,AIDA Engineering
