Facility,Line_Ref,Updated_On
Transmission Plant PL,TRANSMISSION PLANT PL LINE 1,2024-09-03
Transmission Plant PL,TRANSMISSION PLANT PL LINE 2,2023-12-17
Transmission Plant PL,TRANSMISSION PLANT PL LINE 3,2019-12-23
Transmission Plant PL,L04,
Transmission Plant PL,TRANSMISSION PLANT PL LINE 5,2023-07-07
Transmission Plant PL,TRANSMISSION PLANT PL LINE 6,2022-10-31
Transmission Plant PL,,
Transmission Plant PL,TRANSMISSION PLANT PL LINE 8,
Transmission Plant PL,L09,2021-12-05
Transmission Plant PL,TRANSMISSION PLANT PL LINE 10,2023-02-23
Transmission Plant PL,,2021-07-23
Transmission Plant PL,TRANSMISSION PLANT PL LINE 12,2025-02-26
Transmission Plant PL,TRANSMISSION PLANT PL LINE 13,2019-02-26
Transmission Plant PL,TRANSMISSION PLANT PL LINE 14,2022-01-29
Transmission Plant PL,,
Transmission Plant PL,TRANSMISSION PLANT PL LINE 16,2024-09-06
Transmission Plant PL,TRANSMISSION PLANT PL LINE 17,
Transmission Plant PL,,2024-12-22
Transmission Plant PL,L19,2022-06-09
Transmission Plant PL,TRANSMISSION PLANT PL LINE 20,2020-06-25
Transmission Plant PL,TRANSMISSION PLANT PL LINE 21,2021-02-15
Transmission Plant PL,TRANSMISSION PLANT PL LINE 22,2019-11-15
Transmission Plant PL,L23,
Transmission Plant PL,L24,2021-12-22
Transmission Plant PL,TRANSMISSION PLANT PL LINE 25,2021-07-26
Transmission Plant PL,TRANSMISSION PLANT PL LINE 26,2021-11-26
Transmission Plant PL,TRANSMISSION PLANT PL LINE 27,2024-06-29
Transmission Plant PL,TRANSMISSION PLANT PL LINE 28,2023-04-22
Transmission Plant PL,TRANSMISSION PLANT PL LINE 29,
Transmission Plant PL,TRANSMISSION PLANT PL LINE 30,2020-05-02
Transmission Plant PL,TRANSMISSION PLANT PL LINE 31,2024-01-10
Transmission Plant PL,TRANSMISSION PLANT PL LINE 32,2019-10-31
Transmission Plant PL,TRANSMISSION PLANT PL LINE 33,2024-04-15
Transmission Plant PL,TRANSMISSION PLANT PL LINE 34,2022-10-09
Transmission Plant PL,TRANSMISSION PLANT PL LINE 35,2023-01-30
Transmission Plant PL,TRANSMISSION PLANT PL LINE 36,2019-02-11
Transmission Plant PL,TRANSMISSION PLANT PL LINE 37,2020-01-02
Transmission Plant PL,TRANSMISSION PLANT PL LINE 38,2022-10-30
Transmission Plant PL,TRANSMISSION PLANT PL LINE 39,2022-11-04
