Line_No,Process_ID,Local_Process_Desc,WC_ID,Station_No,Linked_Asset_ID,Product_Ref,Material_Ref
L01,PR-0004,Visual Inspection,WU1,S01,000080000001,,
L01,PR-0039,Coating - Hood Panel,WU2,S01,000080000003,,
L01,PR-0037,Inspection - Glass Panel,WU3,S02,000080000004,,
L01,PR-0004,Visual Inspection,WU4,S02,000080000005,,
L01,PR-0003,Bolt Torquing,WU5,S03,000080000006,,
L01,PR-0007,Colour Coat Application,WU6,S03,000080000007,,
L01,PR-0043,Inspection - Door Module,WU7,S03,000080000008,,
L02,PR-0002,Resistance Welding,WU8,S01,000080000009,,
L02,PR-0096,Steering Column Alignment,WU9,S01,000080000010,,
L02,PR-0003,Bolt Torquing,WU10,S02,000080000011,,
L03,PR-0078,Assembly - Floor Pan,WU11,S01,000080000012,,
L03,PR-0001,Bead Application,WU12,S01,,,
L03,PR-0043,Inspection - Door Module,WU13,S02,000080000013,,
L03,PR-0015,Winding Operation,WU14,S02,000080000014,,
L03,PR-0027,Crankshaft Machining,WU15,S03,000080000015,,
L03,PR-0172,Center Console Fastening,WU16,S03,000080000017,,
L03,PR-0001,Bead Application,WU17,S04,000080000018,,
L03,PR-0001,Bead Application,WU18,S04,000080000019,,
L04,PR-0001,Bead Application,WU19,S01,000080000020,,
L04,PR-0012,Chassis Sealing,WU20,S01,000080000021,,
L04,PR-0063,Grinding - Body Panel,WU21,S02,,,
L04,PR-0001,Bead Application,WU22,S02,000080000022,,
L04,PR-0055,Adjustment - Engine Block,WU23,S03,000080000023,,
L04,PR-0007,Colour Coat Application,WU24,S04,000080000024,,
L05,PR-0142,Securing - Body Panel,WU25,S01,000080000025,,
L05,PR-0005,Leak Test,WU26,S01,000080000026,,
L05,PR-0183,Verification - Exhaust Manifold,WU27,S01,000080000027,,
L05,PR-0015,Winding Operation,WU28,S02,000080000028,,
L05,PR-0189,Packaging - Hood Panel,WU29,S02,000080000029,,
L05,PR-0023,Interior Fitting,WU30,S02,000080000030,,
L05,PR-0004,Visual Inspection,WU31,S03,000080000031,,
L05,PR-0063,Grinding - Body Panel,WU32,S03,000080000032,,
L06,PR-0010,Cable Routing,WU33,S01,000080000033,,
L06,PR-0003,Bolt Torquing,WU34,S01,000080000034,,
L06,PR-0009,Cell Stack Assembly,WU35,S02,000080000035,,
L06,PR-0094,Grinding - Chassis Frame,WU36,S03,000080000036,,
L07,PR-0042,Assembly - Wire Harness,WU37,S01,000080000037,,
L07,PR-0002,Resistance Welding,WU38,S02,,,
L07,PR-0078,Assembly - Floor Pan,WU39,S03,000080000038,,
L08,PR-0007,Colour Coat Application,WU40,S01,,,
L08,PR-0001,Bead Application,WU41,S01,,,
L08,PR-0001,Bead Application,WU42,S02,000080000039,,
L08,PR-0001,Bead Application,WU43,S02,000080000040,,
L08,PR-0030,Cylinder Boring,WU44,S02,000080000041,,
L09,PR-0003,Bolt Torquing,WU45,S01,000080000042,,
L09,PR-0001,Bead Application,WU46,S01,000080000043,,
L09,PR-0005,Leak Test,WU47,S02,000080000044,,
L09,PR-0092,Drilling - Fender Panel,WU48,S02,000080000045,,
L09,PR-0023,Interior Fitting,WU49,S03,000080000046,,
L09,PR-0010,Cable Routing,WU50,S04,000080000047,,
L10,PR-0042,Assembly - Wire Harness,WU51,S01,000080000048,,
L10,PR-0001,Bead Application,WU52,S01,000080000049,,
L10,PR-0101,Sealing - Rear Axle,WU53,S02,000080000050,,
L10,PR-0002,Resistance Welding,WU54,S03,000080000051,,
L10,PR-0001,Bead Application,WU55,S03,000080000052,,
L11,PR-0005,Leak Test,WU56,S01,000080000053,,
L11,PR-0001,Bead Application,WU57,S02,000080000054,,
L11,PR-0001,Bead Application,WU58,S02,000080000055,,
L11,PR-0043,Inspection - Door Module,WU59,S02,000080000056,,
L12,PR-0006,Electrocoat Dip,WU60,S01,,,
L12,PR-0001,Bead Application,WU61,S01,000080000057,,
L12,PR-0025,Formation Cycling,WU62,S02,000080000058,,
L12,PR-0036,Molding - Hood Panel,WU63,S02,000080000059,,
L12,PR-0113,Trimming Operation - Body Panel,WU64,S02,000080000060,,
L12,PR-0001,Bead Application,WU65,S03,000080000061,,
L12,PR-0087,Rear Axle Cutting,WU66,S03,000080000062,,
L12,PR-0036,Molding - Hood Panel,WU67,S03,000080000063,,
L13,PR-0015,Winding Operation,WU68,S01,000080000064,,
L13,PR-0003,Bolt Torquing,WU69,S01,000080000065,,
L13,PR-0008,Clearcoat Application,WU70,S02,000080000066,,
L13,PR-0002,Resistance Welding,WU71,S02,000080000067,,
L13,PR-0038,Setting - Body Panel,WU72,S02,000080000068,,
L13,PR-0035,Seal Application - Transmission Housing,WU73,S03,000080000069,,
L13,PR-0002,Resistance Welding,WU74,S03,000080000070,,
L13,PR-0002,Resistance Welding,WU75,S04,000080000071,,
L13,PR-0112,Molding - Glass Panel,WU76,S04,000080000072,,
L13,PR-0009,Cell Stack Assembly,WU77,S04,000080000073,,
L14,PR-0014,Alignment Check,WU78,S01,000080000074,,
L14,PR-0157,Cutting - Fuel Rail,WU79,S01,000080000075,,
L14,PR-0002,Resistance Welding,WU80,S02,000080000076,,
L14,PR-0022,Cover Stitching,WU81,S02,,,
L14,PR-0053,Press Forming - Door Module,WU82,S02,000080000077,,
L14,PR-0004,Visual Inspection,WU83,S03,000080000078,,
L14,PR-0003,Bolt Torquing,WU84,S03,000080000079,,
L14,PR-0109,Weld - Wheel Hub,WU85,S04,000080000080,,
L14,PR-0001,Bead Application,WU86,S04,000080000081,,
L14,PR-0001,Bead Application,WU87,S04,000080000082,,
L15,PR-0006,Electrocoat Dip,WU88,S01,000080000083,,
L15,PR-0061,Suspension Arm Cutting,WU89,S01,000080000084,,
L15,PR-0008,Clearcoat Application,WU90,S01,000080000085,,
L15,PR-0003,Bolt Torquing,WU91,S02,000080000086,,
L15,PR-0007,Colour Coat Application,WU92,S02,000080000087,,
L16,PR-0008,Clearcoat Application,WU93,S01,000080000088,,
L16,PR-0040,Glass Panel Forming,WU94,S01,,,
L16,PR-0093,Drilling - Chassis Frame,WU95,S02,000080000089,,
L16,PR-0004,Visual Inspection,WU96,S02,000080000090,,
L16,PR-0036,Molding - Hood Panel,WU97,S02,000080000091,,
L16,PR-0035,Seal Application - Transmission Housing,WU98,S03,000080000092,,
L16,PR-0051,Deposition - Battery Module,WU99,S04,000080000093,,
L17,PR-0017,Blank Cutting,WU100,S01,,,
L17,PR-0001,Bead Application,WU101,S01,,,
L17,PR-0027,Crankshaft Machining,WU102,S01,000080000094,,
L17,PR-0021,Cushion Molding,WU103,S02,000080000095,,
L17,PR-0020,Crimp Termination,WU104,S02,000080000096,,
L17,PR-0003,Bolt Torquing,WU105,S02,000080000097,,
L17,PR-0001,Bead Application,WU106,S03,000080000098,,
L17,PR-0002,Resistance Welding,WU107,S03,000080000099,,
L18,PR-0002,Resistance Welding,WU108,S01,000080000100,,
L18,PR-0002,Resistance Welding,WU109,S01,000080000101,,
L18,PR-0002,Resistance Welding,WU110,S02,000080000102,,
L18,PR-0001,Bead Application,WU111,S02,000080000103,,
L18,PR-0003,Bolt Torquing,WU112,S02,000080000104,,
L18,PR-0198,Baking - Transmission Housing,WU113,S03,000080000105,,
L18,PR-0011,End-of-Line Test,WU114,S03,000080000106,,
L19,PR-0004,Visual Inspection,WU115,S01,000080000107,,
L19,PR-0039,Coating - Hood Panel,WU116,S01,000080000108,,
L19,PR-0009,Cell Stack Assembly,WU117,S01,000080000109,,
L19,PR-0001,Bead Application,WU118,S02,000080000110,,
L19,PR-0014,Alignment Check,WU119,S03,000080000111,,
L19,PR-0003,Bolt Torquing,WU120,S03,000080000112,,
L19,PR-0016,Panel Stamping,WU121,S03,000080000113,,
L20,PR-0002,Resistance Welding,WU122,S01,000080000114,,
L20,PR-0010,Cable Routing,WU123,S02,000080000115,,
L20,PR-0002,Resistance Welding,WU124,S02,000080000116,,
L20,PR-0003,Bolt Torquing,WU125,S02,000080000117,,
L21,PR-0032,Testing - Fuel Rail,WU126,S01,000080000118,,
L21,PR-0002,Resistance Welding,WU127,S01,000080000119,,
L21,PR-0007,Colour Coat Application,WU128,S01,000080000121,,
L21,PR-0001,Bead Application,WU129,S02,000080000122,,
L21,PR-0032,Testing - Fuel Rail,WU130,S02,000080000123,,
L21,PR-0013,Door Fitment,WU131,S02,000080000124,,
L21,PR-0067,Shaping - Engine Block,WU132,S03,000080000125,,
L21,PR-0013,Door Fitment,WU133,S03,000080000126,,
L21,PR-0194,Dashboard Assembly Curing,WU134,S04,000080000127,,
L21,PR-0002,Resistance Welding,WU135,S04,000080000128,,
L22,PR-0044,Milling - Wheel Hub,WU136,S01,000080000129,,
L22,PR-0007,Colour Coat Application,WU137,S02,000080000130,,
L23,PR-0005,Leak Test,WU138,S01,000080000131,,
L23,PR-0041,Body Panel Coating,WU139,S01,000080000132,,
L23,PR-0154,Milling - Roof Rail,WU140,S02,000080000133,,
L23,PR-0048,Grinding - Trunk Lid,WU141,S02,000080000134,,
L23,PR-0004,Visual Inspection,WU142,S02,000080000136,,
L24,PR-0011,End-of-Line Test,WU143,S01,,,
L24,PR-0002,Resistance Welding,WU144,S01,000080000137,,
L24,PR-0022,Cover Stitching,WU145,S02,000080000138,,
L24,PR-0006,Electrocoat Dip,WU146,S02,000080000139,,
L24,PR-0002,Resistance Welding,WU147,S02,000080000140,,
L24,PR-0001,Bead Application,WU148,S03,000080000141,,
L24,PR-0129,Adjustment - Seat Frame,WU149,S03,000080000142,,
L24,PR-0001,Bead Application,WU150,S03,000080000143,,
L24,PR-0004,Visual Inspection,WU151,S04,,,
L24,PR-0002,Resistance Welding,WU152,S04,000080000144,,
L24,PR-0010,Cable Routing,WU153,S04,000080000145,,
L25,PR-0002,Resistance Welding,WU154,S01,,,
L25,PR-0043,Inspection - Door Module,WU155,S02,000080000146,,
L25,PR-0002,Resistance Welding,WU156,S02,000080000147,,
L25,PR-0002,Resistance Welding,WU157,S02,000080000148,,
L25,PR-0002,Resistance Welding,WU158,S03,000080000149,,
L26,PR-0003,Bolt Torquing,WU159,S01,000080000150,,
L26,PR-0024,PCBA Operation,WU160,S02,000080000151,,
L26,PR-0002,Resistance Welding,WU161,S02,,,
L26,PR-0034,Chassis Frame Molding,WU162,S02,000080000152,,
L26,PR-0007,Colour Coat Application,WU163,S03,000080000153,,
L26,PR-0002,Resistance Welding,WU164,S03,000080000154,,
L27,PR-0002,Resistance Welding,WU165,S01,000080000155,,
L27,PR-0012,Chassis Sealing,WU166,S02,000080000156,,
L27,PR-0005,Leak Test,WU167,S02,000080000157,,
L28,PR-0011,End-of-Line Test,WU168,S01,000080000158,,
L28,PR-0067,Shaping - Engine Block,WU169,S01,,,
L28,PR-0001,Bead Application,WU170,S01,000080000159,,
L28,PR-0006,Electrocoat Dip,WU171,S02,000080000160,,
L28,PR-0006,Electrocoat Dip,WU172,S03,000080000161,,
L28,PR-0002,Resistance Welding,WU173,S03,000080000162,,
L28,PR-0008,Clearcoat Application,WU174,S03,000080000163,,
L29,PR-0016,Panel Stamping,WU175,S01,000080000164,,
L29,PR-0017,Blank Cutting,WU176,S01,000080000165,,
L29,PR-0029,Connector Fitment,WU177,S01,,,
L29,PR-0001,Bead Application,WU178,S02,,,
L29,PR-0008,Clearcoat Application,WU179,S03,000080000166,,
L30,PR-0048,Grinding - Trunk Lid,WU180,S01,000080000167,,
L30,PR-0008,Clearcoat Application,WU181,S01,000080000168,,
L30,PR-0027,Crankshaft Machining,WU182,S02,000080000169,,
L30,PR-0018,Draw Forming,WU183,S02,000080000170,,
L30,PR-0009,Cell Stack Assembly,WU184,S02,000080000171,,
L31,PR-0001,Bead Application,WU185,S01,000080000172,,
L31,PR-0023,Interior Fitting,WU186,S01,000080000173,,
L31,PR-0013,Door Fitment,WU187,S02,000080000174,,
L32,PR-0001,Bead Application,WU188,S01,000080000175,,
L32,PR-0002,Resistance Welding,WU189,S01,000080000176,,
L32,PR-0001,Bead Application,WU190,S01,000080000177,,
L32,PR-0016,Panel Stamping,WU191,S02,,,
L32,PR-0001,Bead Application,WU192,S02,000080000178,,
L32,PR-0079,Fitting - Trunk Lid,WU193,S02,000080000179,,
L32,PR-0147,Trimming - Battery Module,WU194,S03,000080000180,,
L32,PR-0174,Molding - Rear Axle,WU195,S03,000080000181,,
