NCRNumber,Component,FailureMode,DetectionPoint,Disposition,PPMRate
NCR-PL-00001,MER-WIRING-HARNESS-0022,WELD-POROSITY,TRX-S02,Rework,319
NCR-PL-00002,MER-DOOR-PANELS-0019,ASSY-CROSS-THREAD,TRX-S01,Use-As-Is,110
NCR-PL-00003,MER-EXHAUST-PIPE-0042,DIM-OUT-OF-TOLERANCE,TRX-S03,Use-As-Is,395
NCR-PL-00004,MER-WIRING-HARNESS-0022,DIM-OUT-OF-TOLERANCE,TRX-S01,Scrap,87
NCR-PL-00005,MER-CYLINDER-HEAD-0028,PAINT-RUNS,TRX-S02,Rework,176
NCR-PL-00006,MER-MUFFLER-0041,ELEC-SHORT-CIRCUIT,TRX-S02,Rework,134
NCR-PL-00007,MER-GEARBOX-HOUSING-0032,ASSY-MISSING-FASTENER,TRX-S01,Rework,324
NCR-PL-00008,MER-FUEL-TANK-0036,SURFACE-SCRATCH,TRX-S04,Use-As-Is,153
NCR-PL-00009,MER-DASHBOARD-0017,PAINT-BLISTER,TRX-S02,Scrap,227
NCR-PL-00010,MER-CRANKSHAFT-0029,SEAL-LEAK,TRX-S01,Rework,91
NCR-PL-00011,MER-FRONT-SUSPENSION-0010,PAINT-ORANGE-PEEL,TRX-S01,Scrap,379
NCR-PL-00012,MER-CYLINDER-BLOCK-0027,PAINT-BLISTER,TRX-S01,Scrap,326
NCR-PL-00013,MER-LIGHTING-SYSTEM-0024,ASSY-CROSS-THREAD,TRX-S02,Rework,71
NCR-PL-00014,MER-FUEL-PUMP-0037,ELEC-SHORT-CIRCUIT,TRX-S02,Rework,438
NCR-PL-00015,MER-BUMPER-FRONT-0006,SURFACE-SCRATCH,TRX-S03,Rework,433
NCR-PL-00016,MER-FENDERS-0008,ASSY-WRONG-PART,TRX-S01,Rework,422
NCR-PL-00017,MER-HEADLINER-0020,ASSY-CROSS-THREAD,TRX-S02,Scrap,269
NCR-PL-00018,MER-FUEL-TANK-0036,ELEC-OPEN-CIRCUIT,TRX-S02,Use-As-Is,240
NCR-PL-00019,MER-MUFFLER-0041,WELD-UNDERCUT,TRX-S02,Rework,198
NCR-PL-00020,MER-WIRING-HARNESS-0022,MATERIAL-CONTAMINATION,TRX-S01,Rework,291
NCR-PL-00021,MER-BODY-SHELL-0003,WELD-UNDERCUT,TRX-S02,Rework,304
NCR-PL-00022,MER-BUMPER-REAR-0007,DIM-GAP-FLUSH,TRX-S03,Scrap,373
NCR-PL-00023,MER-STEERING-SYSTEM-0013,ELEC-OPEN-CIRCUIT,TRX-S02,Scrap,248
NCR-PL-00024,MER-WHEELS-0014,WELD-POROSITY,TRX-S01,Rework,352
NCR-PL-00025,MER-HEADLINER-0020,MATERIAL-CONTAMINATION,TRX-S01,Rework,171
NCR-PL-00026,MER-BODY-SHELL-0003,ELEC-CONNECTOR-MISMATE,TRX-S01,Use-As-Is,118
NCR-PL-00027,MER-DOOR-PANELS-0019,PAINT-BLISTER,TRX-S01,Scrap,291
NCR-PL-00028,MER-REAR-SUSPENSION-0011,PAINT-ORANGE-PEEL,TRX-S03,Scrap,108
NCR-PL-00029,MER-BRAKE-SYSTEM-0012,DIM-GAP-FLUSH,TRX-S02,Rework,380
NCR-PL-00030,MER-WHEELS-0014,PAINT-RUNS,TRX-S03,Use-As-Is,372
NCR-PL-00031,MER-WIRING-HARNESS-0022,PAINT-BLISTER,TRX-S01,Rework,376
NCR-PL-00032,MER-HEADLINER-0020,SEAL-LEAK,TRX-S02,Use-As-Is,128
NCR-PL-00033,MER-FENDERS-0008,ASSY-CROSS-THREAD,TRX-S02,Scrap,129
NCR-PL-00034,MER-CYLINDER-BLOCK-0027,PAINT-RUNS,TRX-S01,Use-As-Is,121
NCR-PL-00035,MER-CLUTCH-ASSEMBLY-0033,WELD-UNDERCUT,TRX-S03,Scrap,499
NCR-PL-00036,MER-LOW-VOLTAGE-BATT-0023,MATERIAL-CONTAMINATION,TRX-S02,Rework,206
NCR-PL-00037,MER-EXHAUST-PIPE-0042,PAINT-RUNS,TRX-S03,Rework,146
NCR-PL-00038,MER-VEH-SUV-0001,WELD-UNDERCUT,TRX-S03,Rework,279
NCR-PL-00039,MER-GEAR-SET-0034,PAINT-ORANGE-PEEL,TRX-S02,Rework,437
NCR-PL-00040,MER-CYLINDER-BLOCK-0027,ASSY-WRONG-PART,TRX-S03,Rework,176
NCR-PL-00041,MER-CYLINDER-HEAD-0028,WELD-MISALIGN,TRX-S03,Rework,171
NCR-PL-00042,MER-GEAR-SET-0034,ASSY-CROSS-THREAD,TRX-S01,Use-As-Is,378
NCR-PL-00043,MER-CATALYTIC-CONVER-0040,SEAL-LEAK,TRX-S02,Rework,404
NCR-PL-00044,MER-CYLINDER-BLOCK-0027,SURFACE-SCRATCH,TRX-S03,Rework,183
NCR-PL-00045,MER-PISTONS-0030,ELEC-CONNECTOR-MISMATE,TRX-S01,Rework,444
NCR-PL-00046,MER-SEATS-0016,PAINT-BLISTER,TRX-S01,Scrap,183
NCR-PL-00047,MER-EXHAUST-PIPE-0042,ASSY-MISSING-FASTENER,TRX-S01,Use-As-Is,97
NCR-PL-00048,MER-CENTER-CONSOLE-0018,ASSY-WRONG-PART,TRX-S01,Rework,444
NCR-PL-00049,MER-EXHAUST-PIPE-0042,ELEC-OPEN-CIRCUIT,TRX-S04,Use-As-Is,102
NCR-PL-00050,MER-CENTER-CONSOLE-0018,SEAL-LEAK,TRX-S04,Rework,442
NCR-PL-00051,MER-DOOR-PANELS-0019,SEAL-LEAK,TRX-S02,Scrap,179
NCR-PL-00052,MER-SEATS-0016,PAINT-BLISTER,TRX-S02,Rework,312
NCR-PL-00053,MER-PISTONS-0030,ASSY-CROSS-THREAD,TRX-S01,Rework,122
NCR-PL-00054,MER-WHEELS-0014,ASSY-CROSS-THREAD,TRX-S04,Scrap,103
NCR-PL-00055,MER-BODY-SHELL-0003,ELEC-CONNECTOR-MISMATE,TRX-S02,Scrap,353
NCR-PL-00056,MER-STEERING-SYSTEM-0013,MATERIAL-CONTAMINATION,TRX-S01,Use-As-Is,358
NCR-PL-00057,MER-DOORS-0004,PAINT-BLISTER,TRX-S03,Scrap,494
NCR-PL-00058,MER-CLUTCH-ASSEMBLY-0033,DIM-GAP-FLUSH,TRX-S03,Scrap,249
NCR-PL-00059,MER-VEH-SUV-0001,WELD-MISALIGN,TRX-S01,Rework,238
NCR-PL-00060,MER-FRONT-SUSPENSION-0010,ASSY-WRONG-PART,TRX-S03,Rework,453
NCR-PL-00061,MER-FUEL-PUMP-0037,ASSY-MISSING-FASTENER,TRX-S03,Use-As-Is,150
NCR-PL-00062,MER-BODY-SHELL-0003,ELEC-OPEN-CIRCUIT,TRX-S01,Rework,344
NCR-PL-00063,MER-BODY-SHELL-0003,PAINT-RUNS,TRX-S01,Scrap,226
NCR-PL-00064,MER-GEAR-SET-0034,WELD-UNDERCUT,TRX-S01,Scrap,494
NCR-PL-00065,MER-BUMPER-REAR-0007,WELD-MISALIGN,TRX-S02,Scrap,480
NCR-PL-00066,MER-HOOD-0005,ASSY-CROSS-THREAD,TRX-S01,Rework,139
NCR-PL-00067,MER-BRAKE-SYSTEM-0012,DIM-GAP-FLUSH,TRX-S01,Scrap,30
NCR-PL-00068,MER-BUMPER-FRONT-0006,ELEC-SHORT-CIRCUIT,TRX-S03,Use-As-Is,131
NCR-PL-00069,MER-WIRING-HARNESS-0022,ASSY-CROSS-THREAD,TRX-S03,Rework,149
NCR-PL-00070,MER-CRANKSHAFT-0029,WELD-UNDERCUT,TRX-S02,Scrap,288
NCR-PL-00071,MER-WHEELS-0014,SEAL-LEAK,TRX-S01,Rework,22
NCR-PL-00072,MER-LOW-VOLTAGE-BATT-0023,ELEC-CONNECTOR-MISMATE,TRX-S03,Rework,163
NCR-PL-00073,MER-SEATS-0016,ASSY-MISSING-FASTENER,TRX-S04,Rework,430
NCR-PL-00074,MER-INFOTAINMENT-UNI-0025,PAINT-RUNS,TRX-S02,Rework,487
NCR-PL-00075,MER-PISTONS-0030,WELD-POROSITY,TRX-S02,Rework,385
NCR-PL-00076,MER-BUMPER-FRONT-0006,ASSY-CROSS-THREAD,TRX-S01,Scrap,236
NCR-PL-00077,MER-PISTONS-0030,ELEC-OPEN-CIRCUIT,TRX-S02,Rework,194
NCR-PL-00078,MER-CENTER-CONSOLE-0018,PAINT-RUNS,TRX-S04,Rework,55
NCR-PL-00079,MER-FRONT-SUSPENSION-0010,WELD-MISALIGN,TRX-S01,Rework,267
NCR-PL-00080,MER-CLUTCH-ASSEMBLY-0033,MATERIAL-CONTAMINATION,TRX-S03,Scrap,65
NCR-PL-00081,MER-DASHBOARD-0017,PAINT-RUNS,TRX-S03,Rework,428
NCR-PL-00082,MER-CLUTCH-ASSEMBLY-0033,WELD-POROSITY,TRX-S02,Rework,320
NCR-PL-00083,MER-BODY-SHELL-0003,PAINT-ORANGE-PEEL,TRX-S02,Rework,119
NCR-PL-00084,MER-FRONT-SUSPENSION-0010,DIM-OUT-OF-TOLERANCE,TRX-S01,Rework,195
NCR-PL-00085,MER-DOORS-0004,PAINT-ORANGE-PEEL,TRX-S02,Rework,452
NCR-PL-00086,MER-FUEL-TANK-0036,SURFACE-SCRATCH,TRX-S02,Scrap,257
NCR-PL-00087,MER-VEH-COMPACT-0001,WELD-MISALIGN,TRX-S03,Scrap,153
NCR-PL-00088,MER-PISTONS-0030,ASSY-WRONG-PART,TRX-S01,Scrap,495
NCR-PL-00089,MER-CYLINDER-HEAD-0028,WELD-UNDERCUT,TRX-S03,Rework,486
NCR-PL-00090,MER-BODY-SHELL-0003,SURFACE-SCRATCH,TRX-S03,Rework,249
NCR-PL-00091,MER-CATALYTIC-CONVER-0040,SEAL-LEAK,TRX-S01,Rework,445
NCR-PL-00092,MER-PISTONS-0030,PAINT-RUNS,TRX-S02,Rework,409
NCR-PL-00093,MER-INFOTAINMENT-UNI-0025,SEAL-LEAK,TRX-S01,Rework,227
NCR-PL-00094,MER-FUEL-INJECTOR-0038,SEAL-LEAK,TRX-S01,Use-As-Is,376
NCR-PL-00095,MER-MUFFLER-0041,PAINT-RUNS,TRX-S01,Rework,168
NCR-PL-00096,MER-BODY-SHELL-0003,SEAL-LEAK,TRX-S03,Scrap,52
NCR-PL-00097,MER-DOOR-PANELS-0019,SEAL-LEAK,TRX-S01,Rework,444
NCR-PL-00098,MER-FENDERS-0008,DIM-OUT-OF-TOLERANCE,TRX-S03,Rework,470
NCR-PL-00099,MER-WHEELS-0014,PAINT-RUNS,TRX-S02,Rework,328
NCR-PL-00100,MER-FENDERS-0008,ELEC-SHORT-CIRCUIT,TRX-S01,Use-As-Is,368
NCR-PL-00101,MER-CLUTCH-ASSEMBLY-0033,SURFACE-SCRATCH,TRX-S03,Scrap,302
NCR-PL-00102,MER-VEH-SUV-0001,PAINT-BLISTER,TRX-S03,Scrap,441
