CharacteristicID,StationID,MeasuredValue,USL,LSL,Cpk
K1001,S01,196.616,198.998,195.312,2.16
K1001,S01,197.06,198.998,195.312,2.16
K1001,S01,197.026,198.998,195.312,2.16
K1002,S02,160.594,162.446,157.921,1.92
K1002,S02,160.7,162.446,157.921,1.92
K1002,S02,160.594,162.446,157.921,1.92
K1002,S02,160.27,162.446,157.921,1.92
K1003,S02,144.596,145.645,143.632,1.63
K1003,S02,144.758,145.645,143.632,1.63
K1004,S03,186.832,188.994,180.071,0.73
K1004,S03,188.253,188.994,180.071,0.73
K1004,S03,185.091,188.994,180.071,0.73
K1004,S03,184.011,188.994,180.071,0.73
K1005,S03,74.836,78.163,71.181,1.48
K1005,S03,76.04,78.163,71.181,1.48
K1006,S01,172.076,172.78,171.239,1.21
K1006,S01,172.417,172.78,171.239,1.21
K1006,S01,172.238,172.78,171.239,1.21
K1007,S01,33.501,36.839,30.22,0.68
K1007,S01,31.568,36.839,30.22,0.68
K1007,S01,34.866,36.839,30.22,0.68
K1007,S01,29.688,36.839,30.22,0.68
K1007,S01,32.443,36.839,30.22,0.68
K1008,S02,91.869,95.748,86.708,1.09
K1008,S02,91.406,95.748,86.708,1.09
K1008,S02,89.825,95.748,86.708,1.09
K1008,S02,90.618,95.748,86.708,1.09
K1008,S02,90.61,95.748,86.708,1.09
K1009,S02,165.843,169.535,164.011,1.28
K1009,S02,166.662,169.535,164.011,1.28
K1009,S02,168.354,169.535,164.011,1.28
K1010,S01,197.945,200.36,196.175,2.02
K1010,S01,198.137,200.36,196.175,2.02
K1010,S01,198.416,200.36,196.175,2.02
K1010,S01,198.39,200.36,196.175,2.02
K1011,S02,83.646,84.554,83.045,1.94
K1011,S02,83.716,84.554,83.045,1.94
K1012,S03,91.817,93.818,90.53,1.95
K1012,S03,92.008,93.818,90.53,1.95
K1013,S03,55.412,56.973,54.377,2.19
K1013,S03,55.775,56.973,54.377,2.19
K1013,S03,55.617,56.973,54.377,2.19
K1013,S03,55.542,56.973,54.377,2.19
K1013,S03,55.841,56.973,54.377,2.19
K1014,S04,153.95,155.797,148.118,1.37
K1014,S04,152.232,155.797,148.118,1.37
K1014,S04,151.184,155.797,148.118,1.37
K1014,S04,152.354,155.797,148.118,1.37
K1014,S04,151.942,155.797,148.118,1.37
K1015,S04,184.655,188.224,179.021,1.67
K1015,S04,182.624,188.224,179.021,1.67
K1015,S04,182.992,188.224,179.021,1.67
K1015,S04,184.185,188.224,179.021,1.67
K1015,S04,183.555,188.224,179.021,1.67
K1016,S01,25.169,27.453,23.831,0.86
K1016,S01,26.104,27.453,23.831,0.86
K1017,S01,170.693,173.862,167.457,1.26
K1017,S01,171.122,173.862,167.457,1.26
K1018,S01,188.396,191.961,184.571,1.91
K1018,S01,187.932,191.961,184.571,1.91
K1018,S01,189.144,191.961,184.571,1.91
K1018,S01,187.803,191.961,184.571,1.91
K1018,S01,187.821,191.961,184.571,1.91
K1019,S02,157.089,157.488,156.262,1.17
K1019,S02,157.121,157.488,156.262,1.17
K1019,S02,156.625,157.488,156.262,1.17
K1019,S02,156.788,157.488,156.262,1.17
K1019,S02,156.829,157.488,156.262,1.17
K1020,S03,42.179,44.752,37.827,1.73
K1020,S03,41.347,44.752,37.827,1.73
K1021,S04,11.655,13.809,7.644,1.1
K1021,S04,13.187,13.809,7.644,1.1
K1021,S04,12.128,13.809,7.644,1.1
K1021,S04,11.069,13.809,7.644,1.1
K1022,S04,14.619,19.867,11.408,1.15
K1022,S04,16.565,19.867,11.408,1.15
K1022,S04,16.811,19.867,11.408,1.15
K1022,S04,17.19,19.867,11.408,1.15
K1023,S01,143.706,145.805,142.947,1.0
K1023,S01,144.82,145.805,142.947,1.0
K1023,S01,144.163,145.805,142.947,1.0
K1023,S01,144.552,145.805,142.947,1.0
K1023,S01,144.832,145.805,142.947,1.0
K1024,S01,197.767,201.959,194.57,2.19
