PartNo,Bin,OnHandQty,IssuingPlant,ReceivingPlant
MAT-714602,G-06-2,291,Transmission Plant PL,Assembly Plant IN
MAT-410850,A-05-2,775,Transmission Plant PL,Assembly Plant IN
MAT-822554,A-27-4,4751,Transmission Plant PL,Assembly Plant IN
MAT-878961,H-26-4,985,Transmission Plant PL,Assembly Plant IN
MAT-284463,E-06-5,126,Transmission Plant PL,Assembly Plant IN
MAT-921451,H-10-2,367,Transmission Plant PL,Assembly Plant IN
MAT-331081,B-08-1,4021,Transmission Plant PL,Assembly Plant IN
MAT-214073,G-21-5,1150,Transmission Plant PL,Assembly Plant IN
MAT-919162,D-11-4,4779,Transmission Plant PL,Assembly Plant IN
MAT-149618,D-09-4,4086,Transmission Plant PL,Assembly Plant IN
MAT-719812,C-25-2,4666,Transmission Plant PL,Assembly Plant IN
MAT-313999,E-17-5,1553,Transmission Plant PL,Assembly Plant IN
MAT-355070,H-04-4,3595,Transmission Plant PL,Assembly Plant IN
MAT-976663,G-24-5,4574,Transmission Plant PL,Assembly Plant IN
MAT-381952,G-05-2,2513,Transmission Plant PL,Assembly Plant IN
MAT-251588,C-01-1,2695,Transmission Plant PL,Assembly Plant IN
MAT-532495,D-28-4,1978,Transmission Plant PL,Assembly Plant IN
MAT-329499,G-04-3,2835,Transmission Plant PL,Assembly Plant IN
MAT-228623,H-11-5,1473,Transmission Plant PL,Assembly Plant IN
MAT-805122,G-04-4,697,Transmission Plant PL,Assembly Plant IN
MAT-897537,C-08-1,4737,Transmission Plant PL,Assembly Plant IN
MAT-290552,H-06-3,2869,Transmission Plant PL,Assembly Plant IN
MAT-662839,C-23-4,4451,Transmission Plant PL,Assembly Plant IN
MAT-917500,B-04-2,4285,Transmission Plant PL,Assembly Plant IN
MAT-894916,C-23-5,3008,Transmission Plant PL,Assembly Plant IN
MAT-415246,C-10-4,386,Transmission Plant PL,Assembly Plant IN
MAT-909720,F-24-4,1057,Transmission Plant PL,Assembly Plant IN
MAT-107185,F-15-5,1742,Transmission Plant PL,Assembly Plant IN
